ori_node,des_node,ori_layer,des_layer,minutes,km
36,5039,5,5,2,1.069
36,38948,5,5,1,0.113
407,5777,5,5,2,1.227
407,33545,5,5,2,0.943
422,425,5,5,1,0.104
422,21328,5,5,4,2.94
423,1780,5,5,1,1.602
423,8919,5,5,1,2.507
423,260808,5,5,3,3.18
424,425,5,5,1,0.135
424,5781,5,5,4,2.183
425,422,5,5,1,0.104
425,424,5,5,1,0.135
908,31829,5,5,1,0.726
983,47025,5,5,1,0.387
983,47026,5,5,1,0.32
1053,32094,5,5,4,3.147
1165,9903,5,5,1,0.249
1165,44309,5,5,1,0.383
1364,108630,5,5,17,7.732
1367,1679,5,5,1,0.201
1367,24548,5,5,2,1.197
1678,1679,5,5,1,0.282
1678,1681,5,5,1,0.95
1679,1367,5,5,1,0.201
1679,1678,5,5,1,0.282
1680,1681,5,5,1,0.521
1680,15773,5,5,2,0.552
1680,176580,5,5,2,0.917
1681,1678,5,5,1,0.95
1681,1680,5,5,1,0.521
1780,423,5,5,2,1.602
1780,1783,5,5,2,1.551
1783,423,5,5,3,3.131
1783,1780,5,5,1,1.551
1783,42962,5,5,3,2.145
1810,8695,5,5,1,0.344
1810,18014,5,5,1,0.481
1811,18007,5,5,1,0.513
1811,28982,5,5,1,0.406
1811,28983,5,5,1,0.469
1811,29231,5,5,1,0.549
1889,14955,5,5,4,2.421
1889,38517,5,5,1,0.23
1889,201817,5,5,1,0.574
1901,15654,5,5,2,0.306
1901,22463,5,5,2,0.735
1901,44310,5,5,1,0.348
1950,15230,5,5,1,0.266
1950,26746,5,5,1,0.285
1955,114663,5,5,5,1.536
1955,123498,5,5,1,0.99
1961,21106,5,5,1,0.254
1961,24941,5,5,1,0.227
2004,24986,5,5,1,0.162
2004,50484,5,5,1,0.345
2296,2296,5,5,1,0
2296,28983,5,5,1,0.197
2296,28985,5,5,1,0.396
2296,47975,5,5,1,0.257
2516,3966,5,5,1,0.349
2516,13957,5,5,1,0.217
2581,21330,5,5,6,0.967
2581,21344,5,5,1,0.185
2581,42885,5,5,1,0.251
2581,244296,5,5,3,1.089
2764,17390,5,5,2,2.921
2764,39540,5,5,5,4.165
2764,39558,5,5,4,3.105
2764,40294,5,5,1,0.477
3205,3208,5,5,1,0.328
3205,20079,5,5,1,0.279
3205,249237,5,5,1,0.106
3208,3205,5,5,1,0.328
3208,19289,5,5,1,0.223
3244,1811,5,5,1,0.049
3244,21325,5,5,1,0.33
3280,19676,5,5,1,0.368
3280,30667,5,5,1,0.37
3743,10674,5,5,1,0.178
3743,10678,5,5,1,0.305
3966,18015,5,5,1,0.297
3966,29246,5,5,2,0.382
4351,26425,5,5,1,0.156
4351,199232,5,5,1,0.246
4394,29677,5,5,1,0.169
4394,39814,5,5,5,3.957
4486,32260,5,5,1,0.343
4486,38948,5,5,2,0.167
5021,19698,5,5,1,0.24
5021,30667,5,5,1,0.219
5037,29920,5,5,6,3.54
5037,241896,5,5,1,0.412
5038,5041,5,5,1,1.125
5038,227499,5,5,1,1.712
5039,36,5,5,2,1.069
5039,227499,5,5,2,1.692
5041,5038,5,5,1,1.125
5041,14589,5,5,2,2.011
5627,9897,5,5,1,0.333
5627,67905,5,5,1,0.349
5777,407,5,5,2,1.227
5777,33286,5,5,2,0.553
5781,424,5,5,3,2.183
5781,8237,5,5,3,1.352
6053,6056,5,5,3,0.222
6056,6053,5,5,3,0.222
6056,37083,5,5,2,0.289
6058,10101,5,5,3,2.793
6062,19376,5,5,6,3.994
6062,19382,5,5,2,4.258
6062,136233,5,5,1,0.496
6478,39808,5,5,3,0.854
6478,39811,5,5,1,0.406
6599,10060,5,5,1,0.281
6599,10101,5,5,1,0.294
6604,1364,5,5,10,4.653
6604,25787,5,5,5,3.881
6604,26501,5,5,2,3.201
6605,6605,5,5,1,0
6605,15266,5,5,4,0.802
6605,31506,5,5,6,2.915
6605,33030,5,5,14,6.56
6605,39540,5,5,2,0.585
6605,39547,5,5,1,0.353
6605,39548,5,5,1,0.757
6605,39553,5,5,5,0.919
6605,39557,5,5,4,1.655
6605,131033,5,5,1,0.436
6605,160676,5,5,1,0.347
6605,191871,5,5,1,0.503
6609,13681,5,5,2,1.317
6609,39544,5,5,4,3.501
6739,6745,5,5,1,0.44
6739,11281,5,5,4,1.792
6739,21527,5,5,5,3.958
6739,85170,5,5,1,1.516
6740,1889,5,5,6,3.455
6740,11281,5,5,5,1.748
6743,12345,5,5,5,2.514
6743,12410,5,5,3,2.25
6743,32504,5,5,7,4.703
6743,48608,5,5,7,3.326
6743,50686,5,5,1,1.166
6745,6739,5,5,1,0.44
6745,15145,5,5,1,1.572
6745,85170,5,5,1,1.658
7047,51458,5,5,1,0.174
7047,51459,5,5,1,0.16
7334,7335,5,5,1,0.729
7334,7931,5,5,1,0.349
7334,112055,5,5,1,0.133
7335,7334,5,5,1,0.729
7335,25695,5,5,4,1.532
7335,25697,5,5,1,1.607
7814,21337,5,5,1,0.305
7814,40405,5,5,1,0.408
7814,40409,5,5,1,0.28
7814,178417,5,5,5,0.325
7816,9898,5,5,1,0.249
7816,146392,5,5,1,0.345
7817,7816,5,5,2,0.459
7817,7819,5,5,1,0.279
7818,7816,5,5,1,0.623
7818,21340,5,5,1,0.261
7819,7817,5,5,1,0.279
7819,7820,5,5,1,0.221
7819,21337,5,5,2,0.401
7820,7819,5,5,1,0.221
7820,57456,5,5,1,0.272
7822,145956,5,5,4,0.423
7822,205669,5,5,1,0.136
7822,215282,5,5,1,0.145
7822,231234,5,5,1,0.377
7823,7822,5,5,1,0.477
7823,40418,5,5,1,0.268
7824,1961,5,5,2,0.414
7824,21106,5,5,1,0.297
7824,193936,5,5,4,1.42
7825,21106,5,5,1,0.322
7825,36841,5,5,1,0.343
7825,56153,5,5,1,0.345
7826,7827,5,5,1,0.158
7826,29146,5,5,1,0.345
7827,7826,5,5,1,0.158
7827,41759,5,5,1,0.33
7828,40403,5,5,1,0.327
7828,40409,5,5,2,0.574
7828,52292,5,5,6,0.778
7829,7828,5,5,1,0.256
7829,7830,5,5,1,0.293
7829,41759,5,5,1,0.459
7830,7829,5,5,1,0.293
7830,7832,5,5,1,0.256
7831,3280,5,5,3,1.272
7831,7832,5,5,1,0.37
7831,45820,5,5,2,0.437
7831,52292,5,5,2,0.479
7832,7830,5,5,1,0.256
7832,37196,5,5,1,0.281
7832,257553,5,5,1,0.236
7930,7931,5,5,1,0.244
7930,138516,5,5,1,0.324
7931,7334,5,5,1,0.349
7931,21527,5,5,1,0.301
7931,112055,5,5,2,0.306
7933,21527,5,5,1,0.546
7933,22215,5,5,2,2.712
7933,81279,5,5,4,2.275
8158,8197,5,5,2,0.88
8158,27024,5,5,1,0.35
8197,8158,5,5,2,0.88
8197,27061,5,5,2,0.663
8237,5781,5,5,3,1.352
8237,27024,5,5,1,0.175
8311,24984,5,5,1,0.415
8311,36739,5,5,1,0.31
8311,36741,5,5,1,0.129
8481,39542,5,5,1,0.201
8481,39552,5,5,1,0.126
8692,8713,5,5,1,0.297
8692,29239,5,5,1,0.229
8693,8695,5,5,1,0.147
8693,8715,5,5,1,0.212
8695,8693,5,5,1,0.147
8695,29241,5,5,1,0.24
8695,199958,5,5,1,0.19
8698,8713,5,5,1,0.223
8698,34943,5,5,1,0.354
8698,44289,5,5,1,0.327
8703,8708,5,5,1,0.199
8703,44301,5,5,1,0.243
8708,8703,5,5,1,0.199
8708,8715,5,5,1,0.255
8713,8692,5,5,1,0.297
8713,8698,5,5,1,0.223
8715,8693,5,5,1,0.212
8715,8708,5,5,1,0.255
8722,39968,5,5,2,0.288
8722,44300,5,5,1,0.261
8740,44302,5,5,1,0.413
8740,44309,5,5,1,0.248
8915,8919,5,5,2,0.452
8915,25780,5,5,1,0.194
8915,29726,5,5,4,3.289
8919,423,5,5,3,2.507
8919,8915,5,5,1,0.452
8919,25780,5,5,1,0.512
9307,9309,5,5,1,0.233
9307,67905,5,5,1,0.078
9308,5627,5,5,1,0.617
9308,9307,5,5,1,0.325
9308,158784,5,5,1,0.553
9308,176580,5,5,1,0.256
9309,9307,5,5,1,0.233
9309,9317,5,5,1,0.138
9310,9311,5,5,1,0.185
9310,9312,5,5,1,0.233
9310,122117,5,5,2,0.347
9311,9310,5,5,1,0.185
9311,9315,5,5,1,1.105
9311,42396,5,5,1,0.432
9312,9310,5,5,1,0.233
9312,29147,5,5,1,0.305
9315,9311,5,5,2,1.105
9315,12410,5,5,5,2.83
9315,21659,5,5,4,2.847
9315,29147,5,5,1,0.386
9315,47027,5,5,1,0.517
9315,47028,5,5,2,0.411
9316,9317,5,5,1,0.289
9316,29147,5,5,1,0.156
9317,9309,5,5,1,0.138
9317,9316,5,5,1,0.289
9522,15265,5,5,1,0.156
9522,15271,5,5,1,0.14
9895,15474,5,5,1,0.653
9895,22794,5,5,1,0.277
9895,24934,5,5,1,0.538
9895,37867,5,5,2,0.672
9896,41933,5,5,1,0.256
9896,87316,5,5,1,0.215
9897,5627,5,5,1,0.333
9897,21335,5,5,1,0.815
9897,42393,5,5,1,0.349
9897,86043,5,5,2,0.138
9898,7816,5,5,1,0.249
9898,142313,5,5,1,0.091
9899,29248,5,5,1,0.333
9899,29252,5,5,1,0.255
9899,39969,5,5,1,0.217
9901,15770,5,5,1,0.463
9901,49036,5,5,1,0.316
9901,135175,5,5,2,0.175
9901,176580,5,5,3,1.185
9902,9903,5,5,4,0.993
9902,31141,5,5,1,0.265
9902,48436,5,5,1,0.257
9902,48439,5,5,1,0.263
9902,144151,5,5,1,0.383
9903,1165,5,5,1,0.249
9903,9902,5,5,2,0.993
9903,29247,5,5,1,0.284
9903,31141,5,5,2,0.73
9903,44309,5,5,3,0.628
9974,9975,5,5,1,0.265
9974,25780,5,5,1,0.138
9974,50689,5,5,2,2.057
9975,9974,5,5,2,0.265
9975,20812,5,5,2,2.199
9975,25780,5,5,1,0.37
10060,6599,5,5,1,0.281
10060,21520,5,5,3,1.575
10101,6058,5,5,3,2.793
10101,6599,5,5,1,0.294
10404,15474,5,5,1,0.637
10404,29236,5,5,2,1.113
10404,48099,5,5,2,0.336
10598,10601,5,5,3,2.391
10598,33345,5,5,3,4.074
10601,10598,5,5,3,2.391
10601,22214,5,5,3,2.681
10673,10678,5,5,1,0.225
10673,11838,5,5,1,0.261
10674,3743,5,5,1,0.178
10674,10675,5,5,1,0.331
10674,10678,5,5,1,0.435
10675,10674,5,5,1,0.331
10675,11941,5,5,1,0.197
10676,11941,5,5,1,0.35
10676,32260,5,5,1,1.374
10678,3743,5,5,1,0.305
10678,10673,5,5,1,0.225
10679,11692,5,5,1,0.264
10679,38589,5,5,1,1.191
10690,10691,5,5,1,0.373
10690,16933,5,5,3,0.802
10691,10690,5,5,2,0.373
10691,10692,5,5,1,0.094
10692,10691,5,5,1,0.094
10692,48712,5,5,3,1.658
10748,26461,5,5,1,0.4
10748,29141,5,5,1,0.346
10772,25992,5,5,1,0.329
10772,39960,5,5,1,0.297
11272,11274,5,5,1,0.271
11272,11692,5,5,4,3.666
11274,11272,5,5,1,0.271
11274,11277,5,5,1,0.335
11277,11274,5,5,1,0.335
11277,11281,5,5,1,0.153
11281,6739,5,5,4,1.792
11281,6740,5,5,4,1.748
11281,11277,5,5,1,0.153
11281,11692,5,5,6,4.058
11667,11681,5,5,1,0.419
11667,39114,5,5,1,0.399
11681,11667,5,5,1,0.419
11681,31383,5,5,2,0.811
11692,10679,5,5,1,0.264
11692,11272,5,5,3,3.666
11692,11281,5,5,5,4.058
11838,10673,5,5,1,0.261
11838,22213,5,5,3,1.783
11941,10675,5,5,1,0.197
11941,10676,5,5,1,0.35
11957,34148,5,5,1,0.434
11957,34149,5,5,2,0.366
12345,6743,5,5,6,2.514
12345,48090,5,5,6,2.509
12410,6743,5,5,2,2.25
12410,17449,5,5,2,0.45
12410,110735,5,5,1,0.712
12418,21330,5,5,4,2.377
12418,41537,5,5,1,0.206
12570,15764,5,5,1,0.32
12570,15765,5,5,1,0.264
13136,26423,5,5,1,0.185
13136,26424,5,5,1,0.156
13410,31506,5,5,4,2.975
13410,39544,5,5,1,0.709
13410,192281,5,5,4,2.696
13410,215115,5,5,1,0.242
13681,6609,5,5,3,1.317
13681,31383,5,5,1,0.287
13682,31345,5,5,1,0.227
13682,31369,5,5,1,0.192
13957,2516,5,5,1,0.217
13957,20610,5,5,1,0.232
14487,40419,5,5,1,0.358
14487,40420,5,5,1,0.112
14557,25695,5,5,1,0.203
14557,41537,5,5,1,0.289
14589,5041,5,5,2,2.011
14589,22203,5,5,1,0.702
14589,53228,5,5,1,0.602
14955,1889,5,5,4,2.421
14955,28326,5,5,7,2.848
14955,173494,5,5,2,1.566
14972,29237,5,5,1,0.212
14972,199958,5,5,1,0.312
15145,6740,5,5,2,1.588
15145,6745,5,5,1,1.572
15145,19447,5,5,2,1.493
15230,1950,5,5,1,0.266
15230,3280,5,5,3,1.196
15265,9522,5,5,1,0.156
15265,24986,5,5,1,0.152
15266,15271,5,5,1,0.264
15266,237209,5,5,3,0.661
15271,9522,5,5,1,0.14
15271,15266,5,5,1,0.264
15465,15466,5,5,1,0.291
15465,41949,5,5,1,0.298
15466,15465,5,5,1,0.291
15466,15471,5,5,2,0.159
15467,15651,5,5,1,0.314
15467,224698,5,5,1,0.351
15469,15470,5,5,1,0.227
15469,41933,5,5,1,0.209
15469,42960,5,5,10,4.805
15470,15469,5,5,1,0.227
15470,15471,5,5,1,0.357
