node,layer,lat,lon,degree,geometry
36,5,52.22137,-1.034,4,"-1.034, 52.22137"
407,5,52.18273,-0.80496,6,"-0.80496, 52.18273"
422,5,52.31945,-0.83902,4,"-0.83902, 52.31945"
423,5,52.30522,-0.97945,6,"-0.97945, 52.30522"
424,5,52.32158,-0.83847,4,"-0.83847, 52.32158"
425,5,52.32036,-0.8386,4,"-0.8386, 52.32036"
908,5,52.3128,-1.13285,6,"-1.13285, 52.3128"
983,5,52.21382,-0.87934,4,"-0.87934, 52.21382"
1053,5,52.13067,-1.05604,6,"-1.05604, 52.13067"
1165,5,52.25096,-0.8985,4,"-0.8985, 52.25096"
1364,5,52.46616,-0.98434,4,"-0.98434, 52.46616"
1367,5,52.19438,-0.92841,4,"-0.92841, 52.19438"
1678,5,52.19713,-0.92804,4,"-0.92804, 52.19713"
1679,5,52.19505,-0.92566,4,"-0.92566, 52.19505"
1680,5,52.20987,-0.92213,6,"-0.92213, 52.20987"
1681,5,52.20544,-0.92466,4,"-0.92466, 52.20544"
1780,5,52.2974,-0.95961,4,"-0.95961, 52.2974"
1783,5,52.28726,-0.94388,5,"-0.94388, 52.28726"
1810,5,52.26317,-0.85021,4,"-0.85021, 52.26317"
1811,5,52.27254,-0.85338,9,"-0.85338, 52.27254"
1889,5,52.35333,-1.01056,7,"-1.01056, 52.35333"
1901,5,52.24192,-0.89858,6,"-0.89858, 52.24192"
1950,5,52.24408,-0.9556,4,"-0.9556, 52.24408"
1955,5,52.21827,-0.75102,4,"-0.75102, 52.21827"
1961,5,52.24686,-0.96323,5,"-0.96323, 52.24686"
2004,5,52.26875,-1.17309,4,"-1.17309, 52.26875"
2296,5,52.27592,-0.86071,8,"-0.86071, 52.27592"
2516,5,52.25645,-0.88047,4,"-0.88047, 52.25645"
2581,5,52.28658,-0.85305,8,"-0.85305, 52.28658"
2764,5,52.28662,-1.21071,8,"-1.21071, 52.28662"
3205,5,52.27005,-0.89216,6,"-0.89216, 52.27005"
3208,5,52.26803,-0.89569,4,"-0.89569, 52.26803"
3244,5,52.27269,-0.8527,6,"-0.8527, 52.27269"
3280,5,52.23323,-0.94435,5,"-0.94435, 52.23323"
3743,5,52.21123,-1.0107,4,"-1.0107, 52.21123"
3966,5,52.2585,-0.87657,4,"-0.87657, 52.2585"
4351,5,52.12861,-0.98464,4,"-0.98464, 52.12861"
4394,5,52.12844,-1.00123,6,"-1.00123, 52.12844"
4486,5,52.21948,-1.03631,4,"-1.03631, 52.21948"
5021,5,52.23685,-0.94354,4,"-0.94354, 52.23685"
5037,5,52.26725,-0.97821,4,"-0.97821, 52.26725"
5038,5,52.23114,-1.02944,4,"-1.02944, 52.23114"
5039,5,52.2307,-1.03007,4,"-1.03007, 52.2307"
5041,5,52.23157,-1.0129,4,"-1.0129, 52.23157"
5627,5,52.22298,-0.90752,4,"-0.90752, 52.22298"
5777,5,52.18759,-0.82116,4,"-0.82116, 52.18759"
5781,5,52.33131,-0.8105,4,"-0.8105, 52.33131"
6053,5,52.20326,-0.73875,2,"-0.73875, 52.20326"
6056,5,52.20437,-0.73603,4,"-0.73603, 52.20437"
6058,5,52.20124,-0.73572,4,"-0.73572, 52.20124"
6062,5,52.37034,-1.11367,5,"-1.11367, 52.37034"
6478,5,52.08425,-1.02919,7,"-1.02919, 52.08425"
6599,5,52.21388,-0.77603,4,"-0.77603, 52.21388"
6604,5,52.42842,-0.95443,7,"-0.95443, 52.42842"
