node,layer,lat,lon,degree,geometry
6605,4,52.2569,-1.16065,30,"-1.16065, 52.2569"
9311,4,52.22583,-0.89675,14,"-0.89675, 52.22583"
15654,4,52.23991,-0.89549,46,"-0.89549, 52.23991"
21527,4,52.32876,-0.90368,14,"-0.90368, 52.32876"
26433,4,52.13243,-0.98912,17,"-0.98912, 52.13243"
39114,4,52.23798,-1.05493,14,"-1.05493, 52.23798"
44311,4,52.24966,-0.90342,10,"-0.90342, 52.24966"
94748,4,52.24092,-0.89513,4,"-0.89513, 52.24092"
107604,4,52.22766,-0.89651,9,"-0.89651, 52.22766"
184695,4,52.1331,-0.9909,9,"-0.9909, 52.1331"
