ori_node,des_node,ori_layer,des_layer,minutes,km
73,37032,5,5,1,0.832
73,132824,5,5,1,0.488
357,132825,5,5,1,0.445
357,216557,5,5,1,0.484
358,18156,5,5,1,1.009
358,40398,5,5,1,0.952
712,7774,5,5,1,1.15
712,151954,5,5,5,2.386
712,220311,5,5,1,0.681
713,25572,5,5,2,1.844
713,35629,5,5,1,0.994
714,715,5,5,2,1.02
714,30506,5,5,1,0.757
714,35545,5,5,1,0.8
714,47653,5,5,3,1.408
714,119286,5,5,1,1.192
715,714,5,5,1,1.02
715,30506,5,5,3,1.513
716,104843,5,5,4,3.856
718,35545,5,5,1,2.345
718,189456,5,5,1,0.241
718,189457,5,5,1,0.223
719,30506,5,5,1,0.119
719,47654,5,5,1,0.448
822,823,5,5,1,0.196
822,6345,5,5,8,10.511
822,19707,5,5,8,6.86
822,19831,5,5,1,0.531
822,38812,5,5,2,0.892
822,46296,5,5,3,1.752
822,141745,5,5,4,1.006
822,155586,5,5,25,22.273
823,822,5,5,1,0.196
823,19711,5,5,10,9.485
823,38809,5,5,1,3.149
829,46296,5,5,2,0.688
829,57860,5,5,1,2.894
830,831,5,5,1,0.338
830,40672,5,5,8,6.49
830,46296,5,5,2,0.833
830,203847,5,5,4,0.807
830,245442,5,5,8,0.385
831,830,5,5,1,0.338
831,31330,5,5,3,2.286
831,40672,5,5,10,6.224
831,46296,5,5,3,1.139
831,240449,5,5,2,0.935
1349,50344,5,5,8,1.655
1349,50349,5,5,1,0.154
1349,173609,5,5,3,1.488
1351,24768,5,5,1,1.695
1351,45207,5,5,1,0.606
1352,24719,5,5,1,0.794
1352,49504,5,5,1,0.94
1418,31332,5,5,5,1.85
1418,40672,5,5,5,3.586
1504,1505,5,5,1,0.626
1504,20574,5,5,1,0.67
1504,173080,5,5,1,0.331
1505,1506,5,5,1,0.313
1505,153474,5,5,1,0.226
1506,1505,5,5,1,0.313
1506,2661,5,5,1,0.677
1506,153474,5,5,1,0.54
1521,1522,5,5,1,0.212
1521,9187,5,5,2,0.53
1522,1521,5,5,1,0.212
1522,16519,5,5,1,0.397
1523,1525,5,5,1,0.185
1523,232259,5,5,2,0.313
1525,1523,5,5,1,0.185
1525,9190,5,5,1,0.237
1526,38140,5,5,1,0.19
1526,82169,5,5,1,0.06
1527,9190,5,5,1,0.203
1527,128428,5,5,1,0.409
1531,1532,5,5,1,0.231
1531,16519,5,5,1,0.401
1531,178597,5,5,1,0.442
1532,20847,5,5,1,0.232
1532,69207,5,5,1,0.321
1774,34550,5,5,1,1.129
1774,47011,5,5,1,2.073
1774,50933,5,5,1,0.696
1774,245015,5,5,1,0.419
1932,8886,5,5,1,0.297
1932,8889,5,5,1,0.45
1936,3150,5,5,1,0.459
1936,24062,5,5,7,3.626
1936,24068,5,5,2,0.803
1936,33420,5,5,10,4.096
1936,81620,5,5,3,3.47
2144,2145,5,5,1,0.209
2144,34546,5,5,1,0.19
2145,2144,5,5,1,0.209
2145,29606,5,5,1,0.215
2148,2152,5,5,2,0.694
2148,34546,5,5,5,0.613
2148,34548,5,5,1,0.383
2148,47037,5,5,2,0.768
2148,54936,5,5,1,0.324
2148,123992,5,5,1,0.337
2149,2153,5,5,1,0.126
2149,13204,5,5,1,0.364
2149,244139,5,5,1,0.474
2151,15778,5,5,1,0.521
2151,83758,5,5,1,0.156
2151,156378,5,5,1,0.371
2152,15778,5,5,7,0.823
2152,119252,5,5,2,0.857
2152,197193,5,5,1,0.385
2152,244139,5,5,1,0.347
2153,2149,5,5,1,0.126
2153,15778,5,5,3,0.836
2153,244139,5,5,1,0.349
2280,8875,5,5,1,0.462
2280,38030,5,5,2,0.66
2599,14534,5,5,1,3.468
2599,16522,5,5,1,0.938
2599,25235,5,5,7,3.453
2600,12717,5,5,1,0.996
2600,26093,5,5,2,1.629
2601,8078,5,5,1,0.635
2601,8261,5,5,1,0.42
2601,16522,5,5,1,0.264
2601,135667,5,5,1,0.264
2661,1506,5,5,1,0.677
2661,17900,5,5,3,3.52
2661,30510,5,5,1,0.398
3105,3197,5,5,1,0.414
3105,135574,5,5,1,0.346
3150,1936,5,5,1,0.459
3150,24068,5,5,2,0.741
3150,27442,5,5,2,1.75
3151,3151,5,5,1,0
3151,27448,5,5,2,3.497
3151,35715,5,5,5,1.931
3153,3154,5,5,1,1.633
3153,10659,5,5,4,3.444
3153,96811,5,5,1,0.336
3154,3153,5,5,2,1.633
3154,35605,5,5,1,1.882
3155,96811,5,5,3,2.711
3155,216035,5,5,6,2.788
3156,22965,5,5,1,0.174
3156,27445,5,5,3,0.939
3156,27446,5,5,3,1.195
3157,38917,5,5,1,0.347
3157,168108,5,5,1,0.472
3194,149900,5,5,1,0.388
3194,149903,5,5,1,0.511
3195,3203,5,5,1,1.283
3195,10746,5,5,5,5.452
3195,96869,5,5,1,3.851
3196,8888,5,5,2,1.905
3196,178568,5,5,1,1.247
3197,3105,5,5,1,0.414
3197,8888,5,5,4,2.97
3197,178569,5,5,1,0.183
3199,3200,5,5,3,1.965
3199,35626,5,5,2,3.036
3199,159518,5,5,2,2.191
3200,3199,5,5,3,1.965
3200,7614,5,5,2,0.614
3202,3203,5,5,1,0.675
3202,3846,5,5,2,2.005
3202,31673,5,5,2,1.463
3203,3195,5,5,3,1.283
3203,3202,5,5,1,0.675
3203,17895,5,5,1,0.76
3273,12915,5,5,1,0.626
3273,34392,5,5,1,0.403
3281,6429,5,5,1,0.381
3281,8152,5,5,2,0.571
3281,15778,5,5,5,1.08
3281,16385,5,5,2,0.491
3281,28192,5,5,11,3.797
3281,40670,5,5,1,0.647
3342,168108,5,5,2,1.822
3342,211338,5,5,5,3.44
3344,3345,5,5,1,0.705
3344,22824,5,5,2,2.738
3344,211338,5,5,1,2.868
3345,3344,5,5,1,0.705
3345,35759,5,5,2,2.584
3345,111408,5,5,5,3.647
3345,165041,5,5,2,2.468
3345,211338,5,5,2,3.387
3346,22437,5,5,2,2.283
3346,22438,5,5,2,2.505
3346,35759,5,5,2,0.117
3843,28814,5,5,1,0.3
3843,255924,5,5,2,0.761
3844,30583,5,5,2,1.803
3844,30585,5,5,1,0.775
3846,3202,5,5,2,2.005
3846,4922,5,5,1,0.206
3846,177681,5,5,1,0.25
3847,12718,5,5,1,0.425
3847,34543,5,5,3,1.996
3848,33197,5,5,1,0.215
3848,155815,5,5,3,2.082
3849,33196,5,5,1,0.203
3849,33197,5,5,1,0.309
3928,13336,5,5,2,1.851
3928,35111,5,5,2,1.583
3929,35111,5,5,1,0.885
3929,217652,5,5,5,3.682
3931,23604,5,5,1,0.907
3931,28658,5,5,9,2.624
3931,37903,5,5,3,2.959
3931,47061,5,5,5,1.953
4463,22926,5,5,2,0.383
4463,35700,5,5,1,0.241
4463,47190,5,5,1,0.883
4575,22926,5,5,1,0.175
4575,48553,5,5,1,0.216
4922,3846,5,5,1,0.206
4922,135124,5,5,1,0.228
4922,148225,5,5,2,0.524
4922,252567,5,5,1,0.233
5324,18156,5,5,1,0.618
5324,41819,5,5,1,0.364
5358,5359,5,5,1,0.154
5358,5370,5,5,1,0.266
5359,5358,5,5,1,0.154
5359,32706,5,5,1,0.344
5360,5360,5,5,1,0
5360,5369,5,5,1,0.465
5360,8803,5,5,1,0.584
5361,5360,5,5,1,0.09
5361,5362,5,5,1,0.304
5362,5361,5,5,2,0.304
5362,32710,5,5,1,0.218
5364,32710,5,5,1,0.315
5364,37850,5,5,1,0.137
5369,5360,5,5,1,0.465
5369,5361,5,5,2,0.555
5369,257375,5,5,1,0.415
5370,5358,5,5,1,0.266
5370,26318,5,5,1,0.401
5572,18450,5,5,1,1.907
5572,33935,5,5,1,0.088
5573,5574,5,5,2,1.921
5573,26088,5,5,1,0.454
5574,5573,5,5,4,1.921
5574,33935,5,5,1,0.413
5575,5575,5,5,1,0
5575,33674,5,5,1,1.385
5576,5572,5,5,1,0.683
5576,8800,5,5,1,0.678
5576,12719,5,5,1,0.374
5612,20371,5,5,1,0.584
5612,239390,5,5,1,1.013
5614,7960,5,5,1,0.82
5615,7960,5,5,1,0.778
5615,239392,5,5,1,0.42
5779,110893,5,5,1,0.363
5779,119241,5,5,5,2.732
6345,6354,5,5,3,2.821
6345,31898,5,5,10,8.102
6345,105553,5,5,1,0.227
6346,6352,5,5,4,3.05
6346,38816,5,5,1,0.293
6346,38817,5,5,4,2.48
6352,6346,5,5,4,3.05
6352,47012,5,5,2,1.354
6354,6345,5,5,3,2.821
6354,40112,5,5,2,0.971
6426,6427,5,5,1,0.4
6426,16518,5,5,1,0.495
6427,6426,5,5,1,0.4
6427,6428,5,5,1,0.264
6428,6427,5,5,1,0.264
6428,91754,5,5,1,0.445
6429,6428,5,5,1,0.522
6429,6430,5,5,1,0.442
6429,16383,5,5,1,0.273
6429,48962,5,5,1,0.389
6429,82170,5,5,1,0.242
6430,6431,5,5,1,0.337
6430,91754,5,5,1,0.362
6431,6430,5,5,1,0.337
6431,6432,5,5,1,0.34
6432,6431,5,5,1,0.34
6432,6433,5,5,1,0.294
6432,25575,5,5,2,0.678
6433,6432,5,5,1,0.294
6433,25575,5,5,1,0.384
6433,56511,5,5,1,0.264
6589,44379,5,5,4,2.313
6598,9610,5,5,5,2.834
6598,9619,5,5,5,3.421
6845,6846,5,5,1,0.289
6845,33668,5,5,3,1.493
6846,6845,5,5,1,0.289
6846,33669,5,5,1,0.711
6852,6853,5,5,1,0.202
6852,35609,5,5,1,0.333
6853,6852,5,5,1,0.202
6853,35610,5,5,1,1.57
6894,6895,5,5,1,1.415
6894,50984,5,5,3,2.302
6894,50990,5,5,1,0.75
6895,6894,5,5,1,1.415
6895,13739,5,5,1,0.88
6896,6897,5,5,2,1.976
6896,50982,5,5,1,0.339
6897,6896,5,5,3,1.976
6897,181831,5,5,1,1.038
7370,28704,5,5,1,0.827
7370,28706,5,5,3,1.663
7533,7534,5,5,1,0.097
7533,31328,5,5,1,0.383
