ori_node,des_node,ori_layer,des_layer,minutes,km
60,1211,5,5,1,0.207
60,76599,5,5,1,0.295
146,31624,5,5,5,1.452
146,36007,5,5,1,0.525
365,366,5,5,1,0.292
365,23766,5,5,1,0.42
366,365,5,5,1,0.292
366,372,5,5,1,0.266
366,49260,5,5,1,0.342
367,13266,5,5,1,0.223
367,36007,5,5,4,1.729
367,43470,5,5,1,0.175
369,370,5,5,1,0.288
369,2208,5,5,1,0.186
370,369,5,5,1,0.288
370,23766,5,5,1,0.134
372,366,5,5,1,0.266
372,49260,5,5,1,0.093
372,129481,5,5,1,0.154
541,542,5,5,1,0.159
541,152531,5,5,1,0.234
542,541,5,5,1,0.159
542,4198,5,5,1,0.802
542,19662,5,5,1,0.131
543,541,5,5,1,0.327
543,44544,5,5,1,0.148
543,44549,5,5,1,0.123
544,544,5,5,1,0
544,5317,5,5,1,0.316
544,70160,5,5,1,0.072
545,9991,5,5,1,0.249
545,44544,5,5,1,0.199
586,587,5,5,1,0.217
586,14285,5,5,1,0.242
586,249008,5,5,1,0.307
587,586,5,5,1,0.217
587,8545,5,5,1,0.255
587,8547,5,5,1,0.282
587,13728,5,5,1,0.216
587,171692,5,5,1,0.217
589,7796,5,5,1,0.198
589,42788,5,5,1,0.34
623,624,5,5,1,0.247
623,5549,5,5,1,0.131
624,623,5,5,1,0.247
624,625,5,5,1,0.215
625,624,5,5,1,0.215
625,40530,5,5,1,0.106
625,119053,5,5,1,0.178
645,645,5,5,1,0
645,8300,5,5,1,0.533
645,9440,5,5,1,0.756
645,11291,5,5,1,0.969
645,11295,5,5,1,0.699
645,74868,5,5,1,0.631
645,243789,5,5,1,0.491
645,260340,5,5,1,0.432
646,44110,5,5,3,1.103
646,49475,5,5,3,1.891
646,49888,5,5,1,0.222
648,30888,5,5,1,0.261
648,34819,5,5,1,0.232
648,34822,5,5,1,0.085
650,23313,5,5,3,1.994
650,49885,5,5,1,0.572
653,3803,5,5,1,1.315
653,10343,5,5,1,3.087
653,207057,5,5,1,0.757
655,2358,5,5,5,4.057
655,2598,5,5,3,1.344
659,7726,5,5,2,1.317
659,34426,5,5,2,1.156
659,83103,5,5,1,0.712
668,669,5,5,1,0.216
668,43878,5,5,1,0.277
669,668,5,5,1,0.216
669,44544,5,5,1,0.261
717,27763,5,5,1,0.459
717,47881,5,5,1,0.594
760,760,5,5,1,0
760,17596,5,5,1,0.454
760,141933,5,5,1,0.256
760,151811,5,5,1,0.263
779,8933,5,5,1,0.284
779,23887,5,5,1,0.148
860,861,5,5,1,0.161
860,255905,5,5,1,0.211
861,860,5,5,1,0.161
861,863,5,5,1,0.191
862,372,5,5,1,0.315
862,17972,5,5,1,0.265
863,861,5,5,1,0.191
863,864,5,5,1,0.237
864,863,5,5,1,0.237
864,161429,5,5,1,0.087
865,28060,5,5,1,0.22
865,145687,5,5,1,0.341
865,234129,5,5,1,0.196
1015,1017,5,5,3,2.701
1015,2358,5,5,1,0.419
1015,11307,5,5,1,0.119
1015,17445,5,5,5,3.234
1015,20002,5,5,6,2.851
1015,23313,5,5,9,6.365
1015,34426,5,5,8,4.265
1017,1015,5,5,4,2.701
1017,11713,5,5,1,0.225
1017,20002,5,5,1,0.204
1018,11301,5,5,1,0.194
1018,11306,5,5,1,0.233
1018,16710,5,5,1,0.221
1019,11715,5,5,1,0.176
1019,11716,5,5,1,0.137
1019,37993,5,5,1,0.145
1097,1104,5,5,1,0.551
1097,32865,5,5,1,0.522
1097,46763,5,5,2,1.328
1097,118998,5,5,1,0.25
1097,151855,5,5,1,0.449
1098,17009,5,5,1,0.205
1098,37084,5,5,1,0.346
1098,50224,5,5,1,0.501
1098,118998,5,5,1,0.2
1098,151855,5,5,1,0.354
1099,1100,5,5,1,0.265
