node,layer,lat,lon,degree,geometry
60,5,52.91648,-1.16599,4,"-1.16599, 52.91648"
146,5,52.97119,-1.03708,4,"-1.03708, 52.97119"
365,5,53.00719,-1.1376,4,"-1.1376, 53.00719"
366,5,53.0096,-1.13584,6,"-1.13584, 53.0096"
367,5,52.97064,-1.06563,6,"-1.06563, 52.97064"
369,5,53.00557,-1.13432,4,"-1.13432, 53.00557"
370,5,53.00434,-1.13813,4,"-1.13813, 53.00434"
372,5,53.01147,-1.13334,6,"-1.13334, 53.01147"
541,5,52.90111,-1.17241,4,"-1.17241, 52.90111"
542,5,52.90042,-1.17032,6,"-1.17032, 52.90042"
543,5,52.90192,-1.17711,6,"-1.17711, 52.90192"
544,5,52.89399,-1.18573,6,"-1.18573, 52.89399"
545,5,52.9049,-1.1761,4,"-1.1761, 52.9049"
586,5,52.96145,-1.32703,8,"-1.32703, 52.96145"
587,5,52.96018,-1.3295,9,"-1.3295, 52.96018"
589,5,53.02372,-1.06531,4,"-1.06531, 53.02372"
623,5,52.96609,-1.18617,4,"-1.18617, 52.96609"
624,5,52.96401,-1.18749,4,"-1.18749, 52.96401"
625,5,52.96213,-1.18831,6,"-1.18831, 52.96213"
645,5,52.88515,-1.2881,33,"-1.2881, 52.88515"
646,5,52.84463,-1.25744,6,"-1.25744, 52.84463"
648,5,52.8787,-1.08102,6,"-1.08102, 52.8787"
650,5,52.8681,-1.00318,4,"-1.00318, 52.8681"
653,5,52.80902,-1.18674,6,"-1.18674, 52.80902"
655,5,52.90379,-0.92535,4,"-0.92535, 52.90379"
659,5,52.95945,-0.96731,7,"-0.96731, 52.95945"
668,5,52.90468,-1.18335,4,"-1.18335, 52.90468"
669,5,52.90322,-1.1812,5,"-1.1812, 52.90322"
717,5,52.94289,-1.30875,4,"-1.30875, 52.94289"
760,5,52.97854,-1.23029,8,"-1.23029, 52.97854"
779,5,52.9764,-1.22875,4,"-1.22875, 52.9764"
