ori_node,des_node,ori_layer,des_layer,minutes,km
4597,17289,3,3,2,1.055
4597,35378,3,3,2,1.156
4597,36173,3,3,1,0.429
5300,38699,3,3,2,1.599
5300,45546,3,3,1,1.153
12162,26062,3,3,2,0.66
14036,35378,3,3,2,1.183
14036,39609,3,3,2,0.828
17068,17068,3,3,1,0
17068,26062,3,3,1,0.652
17068,28144,3,3,2,0.827
17289,4597,3,3,1,1.055
17289,22866,3,3,2,0.472
20055,20055,3,3,1,0
20055,22866,3,3,1,0.582
20055,28144,3,3,1,0.667
22866,17289,3,3,2,0.472
22866,20055,3,3,2,0.582
22866,22866,3,3,2,0
26062,12162,3,3,2,0.66
26062,17068,3,3,2,0.652
28144,17068,3,3,2,0.827
28144,20055,3,3,2,0.667
29859,14036,3,3,2,1.392
29859,31762,3,3,1,0.423
31762,29859,3,3,2,0.423
31762,35378,3,3,1,0.787
35378,14036,3,3,2,1.183
35378,31762,3,3,1,0.787
35378,35378,3,3,1,0
35378,36173,3,3,2,0.728
36173,4597,3,3,1,0.429
36173,29859,3,3,2,1.724
36173,35378,3,3,2,0.728
38699,5300,3,3,2,1.599
38699,39609,3,3,1,0.943
39609,14036,3,3,2,0.828
39609,38699,3,3,2,0.943
45546,5300,3,3,2,1.153
