node,layer,lat,lon,degree,geometry
4597,3,52.98169,-1.17858,19,"-1.17858, 52.98169"
5300,3,53.02887,-1.18858,4,"-1.18858, 53.02887"
12162,3,52.94709,-1.14638,124,"-1.14638, 52.94709"
14036,3,52.99972,-1.19623,43,"-1.19623, 52.99972"
17068,3,52.95655,-1.15386,57,"-1.15386, 52.95655"
17289,3,52.9722,-1.1795,12,"-1.1795, 52.9722"
20055,3,52.96585,-1.1697,18,"-1.1697, 52.96585"
22866,3,52.97074,-1.17286,20,"-1.17286, 52.97074"
26062,3,52.95304,-1.14604,13,"-1.14604, 52.95304"
28144,3,52.9624,-1.16152,4,"-1.16152, 52.9624"
29859,3,52.989,-1.20705,14,"-1.20705, 52.989"
31762,3,52.98901,-1.20072,20,"-1.20072, 52.98901"
35378,3,52.98998,-1.18905,9,"-1.18905, 52.98998"
36173,3,52.9849,-1.18216,20,"-1.18216, 52.9849"
38699,3,53.01449,-1.187,20,"-1.187, 53.01449"
39609,3,53.00619,-1.19005,21,"-1.19005, 53.00619"
45546,3,53.03831,-1.19581,34,"-1.19581, 53.03831"
