ori_node,des_node,ori_layer,des_layer,minutes,km
5067,5442,5,5,2,1.192
5170,33934,5,5,1,1.169
5337,17990,5,5,6,6.384
5337,24985,5,5,12,8.307
5440,5442,5,5,5,2.381
5440,17990,5,5,18,11.679
5440,149229,5,5,23,12.362
5442,5067,5,5,2,1.192
5442,5440,5,5,5,2.381
5903,19794,5,5,1,0.243
5903,50901,5,5,1,0.109
6155,33932,5,5,7,2.963
6155,33934,5,5,1,1.208
6328,25567,5,5,1,0.349
6328,39353,5,5,1,0.193
6417,6418,5,5,1,0.232
6417,23579,5,5,1,0.153
6417,50915,5,5,1,0.227
6417,74045,5,5,1,0.357
6418,6417,5,5,1,0.232
6418,74045,5,5,1,0.126
6419,49600,5,5,1,0.136
6419,213542,5,5,1,0.22
10841,44707,5,5,1,0.593
10841,44708,5,5,1,1.349
10841,44717,5,5,1,0.617
10841,213541,5,5,1,0.068
11322,154179,5,5,4,3.787
11336,164013,5,5,1,0.178
11336,247082,5,5,1,0.248
11336,251117,5,5,1,0.256
12228,12233,5,5,1,0.25
12228,154180,5,5,1,0.164
12233,12228,5,5,1,0.25
12809,6155,5,5,5,3.59
12809,12809,5,5,1,0
12809,33930,5,5,1,1.256
12809,33932,5,5,5,0.942
15252,36778,5,5,5,3.347
16911,17979,5,5,1,1.251
16911,25131,5,5,4,1.645
16914,16916,5,5,5,5.3
16914,25131,5,5,4,0.985
16916,16914,5,5,5,5.3
16916,36778,5,5,1,1.232
17979,16911,5,5,1,1.251
17979,17980,5,5,5,2.924
17980,17979,5,5,5,2.924
17980,27522,5,5,5,2.464
17990,5337,5,5,7,6.384
17990,5440,5,5,20,11.679
17990,50915,5,5,4,3.458
17990,50928,5,5,6,3.235
17990,149229,5,5,3,0.712
19794,5903,5,5,1,0.243
19794,19794,5,5,1,0
23103,45465,5,5,5,3.768
23103,164014,5,5,4,0.973
23579,6417,5,5,1,0.153
23579,25567,5,5,1,0.276
23579,50915,5,5,1,0.308
23621,23626,5,5,1,0.15
23621,34982,5,5,1,0.225
23626,23621,5,5,1,0.15
23626,247846,5,5,1,0.108
24985,5337,5,5,15,8.307
24985,25888,5,5,6,5.368
25131,16911,5,5,4,1.645
25131,16914,5,5,5,0.985
25567,6328,5,5,1,0.349
