node,layer,lat,lon,degree,geometry
5067,5,56.29122,-5.63366,6,"-5.63366, 56.29122"
5170,5,56.38817,-5.07146,12,"-5.07146, 56.38817"
5337,5,56.33181,-5.51122,4,"-5.51122, 56.33181"
5440,5,56.30838,-5.58899,6,"-5.58899, 56.30838"
5442,5,56.2922,-5.61439,6,"-5.61439, 56.2922"
5903,5,56.39996,-5.46386,4,"-5.46386, 56.39996"
6155,5,56.402,-5.04197,29,"-5.04197, 56.402"
6328,5,56.39782,-5.48285,4,"-5.48285, 56.39782"
6417,5,56.4018,-5.47277,7,"-5.47277, 56.4018"
6418,5,56.40367,-5.47106,4,"-5.47106, 56.40367"
6419,5,56.40649,-5.48557,4,"-5.48557, 56.40649"
10841,5,56.46506,-5.39567,8,"-5.39567, 56.46506"
11322,5,56.44532,-5.4391,13,"-5.4391, 56.44532"
11336,5,56.44589,-5.44345,8,"-5.44345, 56.44589"
12228,5,56.42336,-5.4747,4,"-5.4747, 56.42336"
12233,5,56.42133,-5.4765,8,"-5.4765, 56.42133"
12809,5,56.40117,-4.98354,29,"-4.98354, 56.40117"
15252,5,56.41805,-5.19016,12,"-5.19016, 56.41805"
16911,5,56.35779,-5.17931,4,"-5.17931, 56.35779"
16914,5,56.38084,-5.18414,4,"-5.18414, 56.38084"
16916,5,56.42257,-5.22609,4,"-5.22609, 56.42257"
17979,5,56.34741,-5.18725,4,"-5.18725, 56.34741"
17980,5,56.32671,-5.21664,4,"-5.21664, 56.32671"
17990,5,56.37386,-5.4404,9,"-5.4404, 56.37386"
19794,5,56.40183,-5.46178,4,"-5.46178, 56.40183"
23103,5,56.45233,-5.38543,14,"-5.38543, 56.45233"
23579,5,56.40154,-5.47523,7,"-5.47523, 56.40154"
23621,5,56.40328,-5.46533,4,"-5.46533, 56.40328"
23626,5,56.40406,-5.46333,4,"-5.46333, 56.40406"
24985,5,56.25967,-5.47532,4,"-5.47532, 56.25967"
25131,5,56.3726,-5.17818,4,"-5.17818, 56.3726"
25567,5,56.39974,-5.47835,4,"-5.47835, 56.39974"
25888,5,56.23642,-5.55165,4,"-5.55165, 56.23642"
27522,5,56.30807,-5.23839,4,"-5.23839, 56.30807"
29883,5,56.40607,-5.46967,12,"-5.46967, 56.40607"
33930,5,56.40279,-4.96329,5,"-4.96329, 56.40279"
33932,5,56.40706,-4.99459,5,"-4.99459, 56.40706"
33934,5,56.39456,-5.05632,12,"-5.05632, 56.39456"
34982,5,56.4016,-5.46738,4,"-5.46738, 56.4016"
35497,5,56.40801,-5.46909,6,"-5.46909, 56.40801"
36778,5,56.43079,-5.23959,32,"-5.23959, 56.43079"
36949,5,56.40845,-5.48048,7,"-5.48048, 56.40845"
37975,5,56.40306,-4.95492,4,"-4.95492, 56.40306"
39353,5,56.39693,-5.48555,4,"-5.48555, 56.39693"
39355,5,56.39605,-5.48847,4,"-5.48847, 56.39605"
44339,5,56.27789,-5.27677,4,"-5.27677, 56.27789"
44707,5,56.47041,-5.39579,4,"-5.39579, 56.47041"
44708,5,56.47712,-5.39839,6,"-5.39839, 56.47712"
44709,5,56.48796,-5.40464,4,"-5.40464, 56.48796"
44710,5,56.49281,-5.40199,4,"-5.40199, 56.49281"
44711,5,56.51724,-5.34584,4,"-5.34584, 56.51724"
44712,5,56.52171,-5.31885,4,"-5.31885, 56.52171"
44713,5,56.55009,-5.29201,4,"-5.29201, 56.55009"
44714,5,56.55263,-5.32245,4,"-5.32245, 56.55263"
44717,5,56.45978,-5.39249,9,"-5.39249, 56.45978"
45458,5,56.46188,-5.29299,4,"-5.29299, 56.46188"
45465,5,56.44845,-5.3244,14,"-5.3244, 56.44845"
45467,5,56.456,-5.24271,4,"-5.24271, 56.456"
46632,5,56.39704,-5.51026,11,"-5.51026, 56.39704"
49600,5,56.40711,-5.48365,4,"-5.48365, 56.40711"
50446,5,56.45904,-5.37839,7,"-5.37839, 56.45904"
50447,5,56.5607,-5.35734,4,"-5.35734, 56.5607"
50449,5,56.47058,-5.33807,4,"-5.33807, 56.47058"
50554,5,56.441,-5.30109,12,"-5.30109, 56.441"
50901,5,56.39982,-5.46562,4,"-5.46562, 56.39982"
50915,5,56.39998,-5.47108,10,"-5.47108, 56.39998"
50928,5,56.39876,-5.46776,8,"-5.46776, 56.39876"
69419,5,56.44421,-5.44802,2,"-5.44802, 56.44421"
69498,5,56.40788,-5.46719,4,"-5.46719, 56.40788"
72610,5,56.40693,-5.4685,6,"-5.4685, 56.40693"
72611,5,56.40097,-5.47085,2,"-5.47085, 56.40097"
74045,5,56.40478,-5.47056,3,"-5.47056, 56.40478"
82352,5,56.38927,-5.51751,2,"-5.51751, 56.38927"
82356,5,56.4516,-5.44157,3,"-5.44157, 56.4516"
90117,5,56.40849,-5.47182,5,"-5.47182, 56.40849"
109804,5,56.43732,-5.47007,4,"-5.47007, 56.43732"
122952,5,56.43478,-5.47201,2,"-5.47201, 56.43478"
149229,5,56.37618,-5.42959,4,"-5.42959, 56.37618"
153354,5,56.41051,-5.47139,6,"-5.47139, 56.41051"
154179,5,56.41686,-5.47314,11,"-5.47314, 56.41686"
154180,5,56.42468,-5.47349,2,"-5.47349, 56.42468"
157158,5,56.26329,-5.28114,2,"-5.28114, 56.26329"
158977,5,56.54959,-5.29597,2,"-5.29597, 56.54959"
164013,5,56.44507,-5.44596,2,"-5.44596, 56.44507"
164014,5,56.45908,-5.39556,8,"-5.39556, 56.45908"
173788,5,56.4102,-5.46985,4,"-5.46985, 56.4102"
183554,5,56.4216,-5.46533,2,"-5.46533, 56.4216"
183555,5,56.42011,-5.46424,2,"-5.46424, 56.42011"
183556,5,56.40955,-5.47093,5,"-5.47093, 56.40955"
183557,5,56.41988,-5.46996,2,"-5.46996, 56.41988"
183558,5,56.42013,-5.47039,2,"-5.47039, 56.42013"
183559,5,56.42121,-5.46894,2,"-5.46894, 56.42121"
183560,5,56.41868,-5.47241,2,"-5.47241, 56.41868"
200216,5,56.43432,-5.47265,2,"-5.47265, 56.43432"
