ori_node,des_node,ori_layer,des_layer,minutes,km
2291,65638,0,0,18,53.123
2291,71220,0,0,16,44.062
2291,161285,0,0,16,44.094
2291,179772,0,0,14,37.935
2291,203010,0,0,11,27.464
2291,239917,0,0,11,26.665
65638,2291,0,0,18,53.123
65638,71220,0,0,10,26.514
65638,179772,0,0,7,15.199
71220,2291,0,0,16,44.062
71220,65638,0,0,10,26.514
71220,161285,0,0,2,2.955
71220,203010,0,0,8,19.133
161285,2291,0,0,16,44.094
161285,71220,0,0,2,2.955
161285,239917,0,0,11,28.132
179772,2291,0,0,14,37.935
179772,65638,0,0,7,15.199
179772,71220,0,0,9,21.429
179772,239917,0,0,6,11.559
203010,2291,0,0,11,27.464
203010,71220,0,0,9,19.133
239917,2291,0,0,11,26.665
239917,161285,0,0,10,28.132
239917,179772,0,0,6,11.559
