node,layer,lat,lon,degree,geometry
18462,5,52.89354,-3.036,34,"-3.036, 52.89354"
51862,5,52.90381,-2.85908,3,"-2.85908, 52.90381"
51875,5,52.77431,-3.15803,4,"-3.15803, 52.77431"
52121,5,52.81192,-3.31273,2,"-3.31273, 52.81192"
53830,5,52.90398,-2.85936,3,"-2.85936, 52.90398"
54177,5,52.93196,-3.18761,3,"-3.18761, 52.93196"
54190,5,52.92725,-3.16063,2,"-3.16063, 52.92725"
54203,5,52.88389,-3.03119,4,"-3.03119, 52.88389"
54204,5,52.88413,-3.03106,3,"-3.03106, 52.88413"
54428,5,52.80357,-3.00882,4,"-3.00882, 52.80357"
55818,5,52.85904,-3.05319,9,"-3.05319, 52.85904"
55819,5,52.85899,-3.05303,2,"-3.05303, 52.85899"
56218,5,52.78593,-2.94654,2,"-2.94654, 52.78593"
56219,5,52.78607,-2.9464,2,"-2.9464, 52.78607"
56294,5,52.86206,-3.05129,13,"-3.05129, 52.86206"
56326,5,52.81626,-2.96719,2,"-2.96719, 52.81626"
56327,5,52.81608,-2.96744,2,"-2.96744, 52.81608"
56328,5,52.82059,-2.96834,2,"-2.96834, 52.82059"
56331,5,52.82395,-2.97085,6,"-2.97085, 52.82395"
58704,5,52.76422,-3.26985,3,"-3.26985, 52.76422"
58705,5,52.76432,-3.26977,3,"-3.26977, 52.76432"
58707,5,52.82255,-3.40411,2,"-3.40411, 52.82255"
59882,5,52.85471,-3.1572,2,"-3.1572, 52.85471"
59968,5,52.87233,-3.00062,4,"-3.00062, 52.87233"
59969,5,52.87215,-3.00053,4,"-3.00053, 52.87215"
60929,5,52.86184,-3.05058,10,"-3.05058, 52.86184"
61038,5,52.85919,-3.06676,2,"-3.06676, 52.85919"
63013,5,52.83788,-2.95278,2,"-2.95278, 52.83788"
63790,5,52.88981,-2.8406,2,"-2.8406, 52.88981"
63791,5,52.88959,-2.84394,2,"-2.84394, 52.88959"
63938,5,52.81162,-2.96643,3,"-2.96643, 52.81162"
64211,5,52.86333,-3.04105,5,"-3.04105, 52.86333"
64212,5,52.86017,-3.0416,4,"-3.0416, 52.86017"
64213,5,52.86026,-3.0415,5,"-3.0415, 52.86026"
66192,5,52.75815,-3.08463,8,"-3.08463, 52.75815"
66453,5,52.92482,-2.94249,4,"-2.94249, 52.92482"
66454,5,52.92462,-2.94205,4,"-2.94205, 52.92462"
66455,5,52.92515,-2.94587,2,"-2.94587, 52.92515"
66456,5,52.92497,-2.94584,2,"-2.94584, 52.92497"
66457,5,52.92161,-2.92833,2,"-2.92833, 52.92161"
66458,5,52.92187,-2.92975,2,"-2.92975, 52.92187"
66459,5,52.92418,-2.93611,2,"-2.93611, 52.92418"
66460,5,52.92398,-2.93584,2,"-2.93584, 52.92398"
66565,5,52.84241,-3.05849,5,"-3.05849, 52.84241"
66566,5,52.84263,-3.05832,5,"-3.05832, 52.84263"
66567,5,52.83978,-3.05785,2,"-3.05785, 52.83978"
66568,5,52.83978,-3.05761,3,"-3.05761, 52.83978"
66569,5,52.83638,-3.05708,5,"-3.05708, 52.83638"
66570,5,52.83658,-3.05688,5,"-3.05688, 52.83658"
69341,5,52.84307,-3.10605,2,"-3.10605, 52.84307"
69467,5,52.82504,-3.30129,2,"-3.30129, 52.82504"
71026,5,52.77985,-3.0941,3,"-3.0941, 52.77985"
71121,5,52.77431,-3.20053,6,"-3.20053, 52.77431"
71496,5,52.85598,-3.04343,2,"-3.04343, 52.85598"
71497,5,52.85599,-3.04355,4,"-3.04355, 52.85599"
71602,5,52.8428,-3.05886,2,"-3.05886, 52.8428"
71603,5,52.84274,-3.05884,2,"-3.05884, 52.84274"
71692,5,52.8319,-2.94306,2,"-2.94306, 52.8319"
71693,5,52.83183,-2.94278,2,"-2.94278, 52.83183"
71808,5,52.90584,-2.88506,4,"-2.88506, 52.90584"
71809,5,52.90533,-2.88487,5,"-2.88487, 52.90533"
72617,5,52.91382,-3.06695,3,"-3.06695, 52.91382"
72618,5,52.91388,-3.06667,3,"-3.06667, 52.91388"
73744,5,52.90949,-3.02415,4,"-3.02415, 52.90949"
73745,5,52.90958,-3.02442,4,"-3.02442, 52.90958"
74410,5,52.85687,-2.9012,2,"-2.9012, 52.85687"
74411,5,52.85674,-2.90142,2,"-2.90142, 52.85674"
75610,5,52.89176,-2.94816,3,"-2.94816, 52.89176"
75626,5,52.79853,-2.95024,4,"-2.95024, 52.79853"
75627,5,52.79864,-2.95041,2,"-2.95041, 52.79864"
75882,5,52.80841,-3.08536,5,"-3.08536, 52.80841"
75883,5,52.80824,-3.08638,5,"-3.08638, 52.80824"
76417,5,52.85466,-3.15743,2,"-3.15743, 52.85466"
77236,5,52.79415,-2.99368,4,"-2.99368, 52.79415"
77237,5,52.79429,-2.99362,5,"-2.99362, 52.79429"
77257,5,52.80973,-3.06612,6,"-3.06612, 52.80973"
77420,5,52.82187,-3.1007,5,"-3.1007, 52.82187"
77421,5,52.82205,-3.10051,5,"-3.10051, 52.82205"
77504,5,52.79127,-3.23113,2,"-3.23113, 52.79127"
77505,5,52.79099,-3.23127,4,"-3.23127, 52.79099"
77776,5,52.85784,-3.05695,13,"-3.05695, 52.85784"
78671,5,52.90971,-2.8392,2,"-2.8392, 52.90971"
78672,5,52.9099,-2.83885,2,"-2.83885, 52.9099"
78684,5,52.90721,-2.8935,4,"-2.8935, 52.90721"
79214,5,52.85896,-3.15305,3,"-3.15305, 52.85896"
79215,5,52.84562,-3.17572,2,"-3.17572, 52.84562"
80996,5,52.8205,-2.96856,2,"-2.96856, 52.8205"
81999,5,52.9149,-3.02134,2,"-3.02134, 52.9149"
82000,5,52.91486,-3.0211,2,"-3.0211, 52.91486"
82014,5,52.82408,-2.97069,6,"-2.97069, 52.82408"
82453,5,52.90996,-2.90284,3,"-2.90284, 52.90996"
82454,5,52.90979,-2.90286,4,"-2.90286, 52.90979"
82577,5,52.87121,-2.92078,2,"-2.92078, 52.87121"
82578,5,52.87109,-2.92079,2,"-2.92079, 52.87109"
82579,5,52.78413,-3.0362,2,"-3.0362, 52.78413"
82580,5,52.78426,-3.03617,2,"-3.03617, 52.78426"
82581,5,52.78399,-3.04075,3,"-3.04075, 52.78399"
82582,5,52.7839,-3.04082,3,"-3.04082, 52.7839"
83171,5,52.8596,-3.05652,8,"-3.05652, 52.8596"
84859,5,52.91622,-3.05861,2,"-3.05861, 52.91622"
85061,5,52.90041,-3.06555,3,"-3.06555, 52.90041"
85062,5,52.90036,-3.06528,3,"-3.06528, 52.90036"
86788,5,52.87301,-3.00182,2,"-3.00182, 52.87301"
86789,5,52.873,-3.00165,2,"-3.00165, 52.873"
86791,5,52.87419,-3.00256,3,"-3.00256, 52.87419"
88135,5,52.8378,-2.95319,2,"-2.95319, 52.8378"
88359,5,52.81157,-2.96615,3,"-2.96615, 52.81157"
89243,5,52.8432,-3.10619,2,"-3.10619, 52.8432"
90121,5,52.8523,-3.04092,2,"-3.04092, 52.8523"
90440,5,52.80945,-3.06653,9,"-3.06653, 52.80945"
90495,5,52.90803,-2.89868,2,"-2.89868, 52.90803"
90496,5,52.90817,-2.89863,4,"-2.89863, 52.90817"
90701,5,52.90631,-2.82333,2,"-2.82333, 52.90631"
90702,5,52.9061,-2.82322,2,"-2.82322, 52.9061"
90798,5,52.85814,-3.04405,4,"-3.04405, 52.85814"
91586,5,52.77463,-3.15303,5,"-3.15303, 52.77463"
91590,5,52.77471,-3.15281,6,"-3.15281, 52.77471"
91597,5,52.84342,-3.17514,2,"-3.17514, 52.84342"
92864,5,52.86136,-3.04025,3,"-3.04025, 52.86136"
93440,5,52.81959,-3.02155,2,"-3.02155, 52.81959"
93441,5,52.81973,-3.02219,2,"-3.02219, 52.81973"
93442,5,52.81477,-3.01523,3,"-3.01523, 52.81477"
93443,5,52.81804,-3.01986,5,"-3.01986, 52.81804"
94240,5,52.88638,-3.02755,2,"-3.02755, 52.88638"
94241,5,52.88622,-3.02748,3,"-3.02748, 52.88622"
95618,5,52.81843,-3.01986,5,"-3.01986, 52.81843"
95738,5,52.86233,-3.04207,5,"-3.04207, 52.86233"
95869,5,52.85902,-3.03299,4,"-3.03299, 52.85902"
97241,5,52.84454,-3.12163,2,"-3.12163, 52.84454"
97242,5,52.84439,-3.12145,2,"-3.12145, 52.84439"
97702,5,52.83453,-2.98225,4,"-2.98225, 52.83453"
97703,5,52.8346,-2.98203,6,"-2.98203, 52.8346"
97887,5,52.87162,-3.00143,2,"-3.00143, 52.87162"
97888,5,52.87171,-3.00153,2,"-3.00153, 52.87171"
98493,5,52.86509,-3.06149,2,"-3.06149, 52.86509"
99074,5,52.90644,-2.89677,2,"-2.89677, 52.90644"
99762,5,52.86212,-3.06631,2,"-3.06631, 52.86212"
101023,5,52.87615,-3.02118,2,"-3.02118, 52.87615"
101723,5,52.76106,-3.45135,4,"-3.45135, 52.76106"
101724,5,52.76121,-3.45909,3,"-3.45909, 52.76121"
102022,5,52.88244,-2.98673,5,"-2.98673, 52.88244"
102023,5,52.88248,-2.98714,5,"-2.98714, 52.88248"
102239,5,52.85085,-3.05904,4,"-3.05904, 52.85085"
102240,5,52.85084,-3.05927,3,"-3.05927, 52.85084"
102241,5,52.85247,-3.05924,5,"-3.05924, 52.85247"
102242,5,52.85237,-3.05944,3,"-3.05944, 52.85237"
102244,5,52.84837,-3.05846,3,"-3.05846, 52.84837"
102245,5,52.84831,-3.05869,4,"-3.05869, 52.84831"
102849,5,52.92604,-3.05529,4,"-3.05529, 52.92604"
102850,5,52.92571,-3.05534,3,"-3.05534, 52.92571"
104647,5,52.77777,-3.10203,3,"-3.10203, 52.77777"
104648,5,52.7776,-3.10196,2,"-3.10196, 52.7776"
104876,5,52.85187,-3.04201,5,"-3.04201, 52.85187"
104877,5,52.85203,-3.04208,3,"-3.04208, 52.85203"
104878,5,52.85271,-3.04638,4,"-3.04638, 52.85271"
104879,5,52.85284,-3.04622,4,"-3.04622, 52.85284"
105400,5,52.78207,-2.98286,5,"-2.98286, 52.78207"
105401,5,52.78394,-2.98154,4,"-2.98154, 52.78394"
106403,5,52.85786,-3.03709,2,"-3.03709, 52.85786"
106606,5,52.79547,-3.07577,2,"-3.07577, 52.79547"
106607,5,52.79533,-3.07559,2,"-3.07559, 52.79533"
106608,5,52.79964,-3.07303,6,"-3.07303, 52.79964"
106609,5,52.79959,-3.0728,7,"-3.0728, 52.79959"
106610,5,52.79074,-3.07903,9,"-3.07903, 52.79074"
107178,5,52.7809,-3.08927,4,"-3.08927, 52.7809"
107179,5,52.78084,-3.08923,6,"-3.08923, 52.78084"
107887,5,52.86483,-3.0481,2,"-3.0481, 52.86483"
108106,5,52.84221,-3.06613,2,"-3.06613, 52.84221"
108107,5,52.84236,-3.066,2,"-3.066, 52.84236"
108363,5,52.85411,-3.04639,5,"-3.04639, 52.85411"
110365,5,52.87055,-3.11579,5,"-3.11579, 52.87055"
110366,5,52.87038,-3.11584,5,"-3.11584, 52.87038"
111318,5,52.83362,-3.09966,4,"-3.09966, 52.83362"
111319,5,52.83361,-3.09948,4,"-3.09948, 52.83361"
111705,5,52.81038,-2.94236,2,"-2.94236, 52.81038"
111706,5,52.81038,-2.94211,2,"-2.94211, 52.81038"
113626,5,52.80533,-3.17103,5,"-3.17103, 52.80533"
113686,5,52.80542,-3.17087,5,"-3.17087, 52.80542"
113758,5,52.92705,-3.07207,2,"-3.07207, 52.92705"
114219,5,52.81836,-3.1011,4,"-3.1011, 52.81836"
116238,5,52.92731,-3.00388,2,"-3.00388, 52.92731"
116239,5,52.92421,-3.0082,4,"-3.0082, 52.92421"
116240,5,52.92433,-3.0076,4,"-3.0076, 52.92433"
119084,5,52.88345,-3.03317,7,"-3.03317, 52.88345"
119085,5,52.88347,-3.03393,8,"-3.03393, 52.88347"
120638,5,52.78023,-3.08843,6,"-3.08843, 52.78023"
121360,5,52.84338,-3.09341,5,"-3.09341, 52.84338"
121361,5,52.8433,-3.09317,5,"-3.09317, 52.8433"
121448,5,52.90731,-2.90702,2,"-2.90702, 52.90731"
121667,5,52.80346,-3.00843,4,"-3.00843, 52.80346"
122397,5,52.86205,-3.05107,9,"-3.05107, 52.86205"
122907,5,52.92426,-3.04494,3,"-3.04494, 52.92426"
122908,5,52.92064,-3.04402,5,"-3.04402, 52.92064"
123030,5,52.93394,-3.14144,3,"-3.14144, 52.93394"
123031,5,52.93579,-3.1383,2,"-3.1383, 52.93579"
124254,5,52.92279,-3.00987,2,"-3.00987, 52.92279"
124255,5,52.92275,-3.01013,2,"-3.01013, 52.92275"
125064,5,52.79342,-2.89778,2,"-2.89778, 52.79342"
125065,5,52.79347,-2.89806,2,"-2.89806, 52.79347"
125746,5,52.83243,-3.03117,3,"-3.03117, 52.83243"
125747,5,52.83263,-3.03106,3,"-3.03106, 52.83263"
128400,5,52.86401,-3.04132,7,"-3.04132, 52.86401"
128427,5,52.86527,-3.04938,2,"-3.04938, 52.86527"
129636,5,52.90864,-2.90547,4,"-2.90547, 52.90864"
129660,5,52.84277,-3.07722,5,"-3.07722, 52.84277"
130136,5,52.92424,-3.04469,3,"-3.04469, 52.92424"
130153,5,52.91978,-3.04397,5,"-3.04397, 52.91978"
130193,5,52.84819,-3.00388,2,"-3.00388, 52.84819"
130194,5,52.84835,-3.00408,2,"-3.00408, 52.84835"
131114,5,52.8517,-3.04596,3,"-3.04596, 52.8517"
131651,5,52.81849,-3.1013,4,"-3.1013, 52.81849"
131815,5,52.78208,-2.98308,4,"-2.98308, 52.78208"
132354,5,52.79426,-2.90317,2,"-2.90317, 52.79426"
132355,5,52.79404,-2.90307,2,"-2.90307, 52.79404"
132356,5,52.79347,-2.901,4,"-2.901, 52.79347"
132357,5,52.79325,-2.90068,4,"-2.90068, 52.79325"
132373,5,52.92483,-2.96654,4,"-2.96654, 52.92483"
132374,5,52.92474,-2.96616,4,"-2.96616, 52.92474"
132654,5,52.87833,-3.02698,2,"-3.02698, 52.87833"
132655,5,52.87815,-3.02774,2,"-3.02774, 52.87815"
132656,5,52.87767,-3.02352,2,"-3.02352, 52.87767"
132657,5,52.87756,-3.02368,2,"-3.02368, 52.87756"
134289,5,52.86325,-3.03995,2,"-3.03995, 52.86325"
134663,5,52.87145,-3.10216,4,"-3.10216, 52.87145"
134664,5,52.87134,-3.10243,4,"-3.10243, 52.87134"
136139,5,52.83415,-2.92227,2,"-2.92227, 52.83415"
136140,5,52.83417,-2.92279,2,"-2.92279, 52.83417"
136598,5,52.87638,-2.99933,2,"-2.99933, 52.87638"
136599,5,52.87658,-2.99939,2,"-2.99939, 52.87658"
137366,5,52.86712,-3.04037,7,"-3.04037, 52.86712"
138500,5,52.80542,-3.13875,4,"-3.13875, 52.80542"
138501,5,52.80471,-3.13833,3,"-3.13833, 52.80471"
140730,5,52.92473,-3.00294,2,"-3.00294, 52.92473"
140731,5,52.92487,-3.00311,2,"-3.00311, 52.92487"
140732,5,52.92457,-3.00544,2,"-3.00544, 52.92457"
140733,5,52.92471,-3.00581,2,"-3.00581, 52.92471"
141304,5,52.87194,-3.0162,5,"-3.0162, 52.87194"
141474,5,52.87587,-3.0211,2,"-3.0211, 52.87587"
141477,5,52.87374,-3.01778,3,"-3.01778, 52.87374"
141478,5,52.87416,-3.01815,3,"-3.01815, 52.87416"
142862,5,52.86899,-3.12812,2,"-3.12812, 52.86899"
142863,5,52.86911,-3.12796,2,"-3.12796, 52.86911"
142985,5,52.91768,-3.0192,5,"-3.0192, 52.91768"
144878,5,52.86289,-3.03161,4,"-3.03161, 52.86289"
144879,5,52.86472,-3.03529,3,"-3.03529, 52.86472"
146042,5,52.90542,-2.90253,2,"-2.90253, 52.90542"
146043,5,52.90539,-2.90215,4,"-2.90215, 52.90539"
146443,5,52.77439,-3.15818,3,"-3.15818, 52.77439"
146586,5,52.85491,-3.04471,2,"-3.04471, 52.85491"
146588,5,52.85825,-3.03891,4,"-3.03891, 52.85825"
146590,5,52.85703,-3.03824,4,"-3.03824, 52.85703"
