ori_node,des_node,ori_layer,des_layer,minutes,km
2451,17231,2,2,4,2.629
2451,148013,2,2,5,5.714
7432,8108,2,2,4,7.399
7432,12168,2,2,4,4.77
7432,20293,2,2,11,15.936
7432,21960,2,2,4,3.184
7432,50924,2,2,7,8.356
8108,7432,2,2,5,7.399
9626,20293,2,2,11,14.313
9626,36791,2,2,4,4.206
12168,7432,2,2,7,4.77
12168,20293,2,2,10,11.452
12168,21960,2,2,2,1.701
12168,50924,2,2,2,3.716
12288,21395,2,2,11,10.522
14553,17231,2,2,8,10.239
14553,53159,2,2,4,4.757
14566,17231,2,2,5,5.363
14566,53159,2,2,3,1.972
17231,2451,2,2,4,2.629
17231,14553,2,2,8,10.239
17231,14566,2,2,5,5.363
17231,20293,2,2,13,19.987
17231,24911,2,2,6,9.457
17231,53159,2,2,6,7.334
20293,7432,2,2,11,15.936
20293,8108,2,2,15,21.767
20293,9626,2,2,8,14.313
20293,14553,2,2,21,29.636
20293,17231,2,2,13,19.987
20293,21395,2,2,13,8.317
20293,21960,2,2,8,12.787
20293,24911,2,2,9,10.664
20293,50924,2,2,6,7.744
21395,12288,2,2,12,10.522
21395,20293,2,2,14,8.317
21960,7432,2,2,4,3.184
21960,12168,2,2,1,1.701
21960,50924,2,2,3,5.171
24911,17231,2,2,7,9.457
24911,20293,2,2,8,10.664
24911,148013,2,2,3,1.549
36791,9626,2,2,4,4.206
50924,7432,2,2,8,8.356
50924,12168,2,2,4,3.716
50924,20293,2,2,8,7.744
50924,21960,2,2,4,5.171
53159,14553,2,2,3,4.757
53159,14566,2,2,4,1.972
53159,17231,2,2,6,7.334
148013,2451,2,2,5,5.714
148013,24911,2,2,3,1.549
