node,layer,lat,lon,degree,geometry
1977,5,51.6672,-4.8733,16,"-4.8733, 51.6672"
6443,5,51.67637,-4.91922,16,"-4.91922, 51.67637"
7797,5,51.69392,-4.93808,29,"-4.93808, 51.69392"
10716,5,51.72209,-4.71662,12,"-4.71662, 51.72209"
15210,5,51.73211,-4.71519,39,"-4.71519, 51.73211"
18300,5,51.67295,-4.70673,29,"-4.70673, 51.67295"
43201,5,51.67295,-4.90607,13,"-4.90607, 51.67295"
45706,5,51.65892,-4.72209,12,"-4.72209, 51.65892"
52723,5,51.67782,-4.73656,2,"-4.73656, 51.67782"
52796,5,51.74471,-4.68039,2,"-4.68039, 51.74471"
59690,5,51.73954,-4.72886,2,"-4.72886, 51.73954"
59691,5,51.74387,-4.73007,2,"-4.73007, 51.74387"
60323,5,51.70053,-4.93302,1,"-4.93302, 51.70053"
69287,5,51.71958,-4.75313,2,"-4.75313, 51.71958"
69288,5,51.72247,-4.79171,2,"-4.79171, 51.72247"
69289,5,51.72545,-4.82444,3,"-4.82444, 51.72545"
69290,5,51.72268,-4.80335,3,"-4.80335, 51.72268"
69292,5,51.72296,-4.7708,3,"-4.7708, 51.72296"
70392,5,51.6568,-4.74055,2,"-4.74055, 51.6568"
71951,5,51.59929,-4.9372,2,"-4.9372, 51.59929"
72231,5,51.63986,-4.96509,2,"-4.96509, 51.63986"
72232,5,51.63432,-4.9815,3,"-4.9815, 51.63432"
72233,5,51.6298,-4.915,3,"-4.915, 51.6298"
72234,5,51.61322,-4.93948,5,"-4.93948, 51.61322"
72235,5,51.64513,-5.01534,2,"-5.01534, 51.64513"
72236,5,51.65483,-5.05792,5,"-5.05792, 51.65483"
72237,5,51.63874,-4.98972,3,"-4.98972, 51.63874"
72238,5,51.64483,-5.01431,3,"-5.01431, 51.64483"
73655,5,51.73197,-4.69014,2,"-4.69014, 51.73197"
73658,5,51.73196,-4.66049,2,"-4.66049, 51.73196"
73659,5,51.733,-4.65533,3,"-4.65533, 51.733"
78990,5,51.72029,-4.82452,4,"-4.82452, 51.72029"
78991,5,51.71472,-4.82288,2,"-4.82288, 51.71472"
78992,5,51.70894,-4.81815,3,"-4.81815, 51.70894"
78993,5,51.70253,-4.77679,2,"-4.77679, 51.70253"
78994,5,51.6952,-4.81611,2,"-4.81611, 51.6952"
78996,5,51.69377,-4.82867,4,"-4.82867, 51.69377"
81967,5,51.67105,-4.91339,2,"-4.91339, 51.67105"
81970,5,51.67387,-4.93132,2,"-4.93132, 51.67387"
81971,5,51.67705,-4.93289,2,"-4.93289, 51.67705"
81974,5,51.68492,-5.09555,4,"-5.09555, 51.68492"
81975,5,51.6861,-5.10612,3,"-5.10612, 51.6861"
83414,5,51.72698,-4.69545,2,"-4.69545, 51.72698"
83415,5,51.71946,-4.70504,4,"-4.70504, 51.71946"
83416,5,51.71451,-4.70154,5,"-4.70154, 51.71451"
83417,5,51.72389,-4.68414,3,"-4.68414, 51.72389"
83418,5,51.72275,-4.68687,8,"-4.68687, 51.72275"
84003,5,51.67933,-4.91795,3,"-4.91795, 51.67933"
84014,5,51.68639,-4.92389,4,"-4.92389, 51.68639"
88713,5,51.67687,-4.77544,2,"-4.77544, 51.67687"
88714,5,51.68418,-4.77315,3,"-4.77315, 51.68418"
88715,5,51.66895,-4.72395,5,"-4.72395, 51.66895"
88716,5,51.67241,-4.71699,3,"-4.71699, 51.67241"
88717,5,51.6779,-4.73641,3,"-4.73641, 51.6779"
88718,5,51.65725,-4.73064,4,"-4.73064, 51.65725"
88719,5,51.65817,-4.72559,2,"-4.72559, 51.65817"
88720,5,51.66554,-4.7242,2,"-4.7242, 51.66554"
89421,5,51.65674,-4.74056,2,"-4.74056, 51.65674"
89422,5,51.67149,-4.72055,3,"-4.72055, 51.67149"
91550,5,51.67282,-4.91106,6,"-4.91106, 51.67282"
91555,5,51.68152,-4.9145,3,"-4.9145, 51.68152"
91559,5,51.6756,-4.92083,3,"-4.92083, 51.6756"
91560,5,51.67465,-4.91642,4,"-4.91642, 51.67465"
93085,5,51.72456,-4.71866,4,"-4.71866, 51.72456"
93086,5,51.73001,-4.72218,5,"-4.72218, 51.73001"
93088,5,51.71952,-4.75327,2,"-4.75327, 51.71952"
93090,5,51.70261,-4.77678,2,"-4.77678, 51.70261"
93452,5,51.71902,-4.75237,3,"-4.75237, 51.71902"
93463,5,51.70891,-4.81805,4,"-4.81805, 51.70891"
96716,5,51.6749,-4.71311,3,"-4.71311, 51.6749"
98609,5,51.74142,-4.67009,3,"-4.67009, 51.74142"
99017,5,51.6714,-4.72047,3,"-4.72047, 51.6714"
100138,5,51.73507,-4.67658,2,"-4.67658, 51.73507"
101216,5,51.68158,-4.94891,2,"-4.94891, 51.68158"
101217,5,51.6855,-4.95138,4,"-4.95138, 51.6855"
101218,5,51.68857,-4.94698,5,"-4.94698, 51.68857"
101219,5,51.688,-4.94067,4,"-4.94067, 51.688"
101571,5,51.62498,-4.90272,4,"-4.90272, 51.62498"
101572,5,51.61238,-4.99741,4,"-4.99741, 51.61238"
102732,5,51.71481,-4.82277,2,"-4.82277, 51.71481"
102733,5,51.72036,-4.82464,2,"-4.82464, 51.72036"
102734,5,51.72536,-4.82439,2,"-4.82439, 51.72536"
102735,5,51.72264,-4.80325,4,"-4.80325, 51.72264"
102736,5,51.7225,-4.79166,2,"-4.79166, 51.7225"
106732,5,51.65639,-4.7549,3,"-4.7549, 51.65639"
106741,5,51.65545,-4.79645,2,"-4.79645, 51.65545"
106743,5,51.61484,-4.93925,3,"-4.93925, 51.61484"
107698,5,51.6511,-4.76931,2,"-4.76931, 51.6511"
107699,5,51.6513,-4.76797,3,"-4.76797, 51.6513"
107700,5,51.65714,-4.73063,3,"-4.73063, 51.65714"
107703,5,51.66542,-4.72432,2,"-4.72432, 51.66542"
107704,5,51.67167,-4.70123,7,"-4.70123, 51.67167"
107705,5,51.67252,-4.71705,5,"-4.71705, 51.67252"
108362,5,51.72246,-4.72382,5,"-4.72382, 51.72246"
108364,5,51.72216,-4.72404,4,"-4.72404, 51.72216"
110638,5,51.69356,-4.70808,2,"-4.70808, 51.69356"
110639,5,51.67687,-4.7031,2,"-4.7031, 51.67687"
110663,5,51.71101,-4.70006,8,"-4.70006, 51.71101"
110666,5,51.70529,-4.70665,3,"-4.70665, 51.70529"
117563,5,51.65862,-4.84931,2,"-4.84931, 51.65862"
117564,5,51.65579,-4.81254,3,"-4.81254, 51.65579"
117565,5,51.69257,-4.8352,2,"-4.8352, 51.69257"
117567,5,51.66576,-4.90822,4,"-4.90822, 51.66576"
117568,5,51.64659,-4.79495,6,"-4.79495, 51.64659"
117569,5,51.64756,-4.78215,3,"-4.78215, 51.64756"
119037,5,51.69396,-4.9289,4,"-4.9289, 51.69396"
119038,5,51.69261,-4.93255,2,"-4.93255, 51.69261"
119039,5,51.6925,-4.92147,2,"-4.92147, 51.6925"
119041,5,51.6877,-4.97117,2,"-4.97117, 51.6877"
121096,5,51.67493,-4.71446,2,"-4.71446, 51.67493"
121133,5,51.67498,-4.71643,1,"-4.71643, 51.67498"
126241,5,51.72137,-4.72767,4,"-4.72767, 51.72137"
126269,5,51.68809,-4.76562,2,"-4.76562, 51.68809"
126279,5,51.71704,-4.73078,2,"-4.73078, 51.71704"
127190,5,51.63994,-4.87983,3,"-4.87983, 51.63994"
127191,5,51.64492,-4.8707,4,"-4.8707, 51.64492"
127192,5,51.67258,-4.89735,2,"-4.89735, 51.67258"
127193,5,51.64985,-4.86676,2,"-4.86676, 51.64985"
127194,5,51.66581,-4.87045,2,"-4.87045, 51.66581"
128192,5,51.68843,-4.94791,2,"-4.94791, 51.68843"
128729,5,51.69127,-4.96487,4,"-4.96487, 51.69127"
129054,5,51.69791,-4.70837,2,"-4.70837, 51.69791"
130558,5,51.6477,-4.78227,3,"-4.78227, 51.6477"
140387,5,51.69843,-4.7081,2,"-4.7081, 51.69843"
142696,5,51.69244,-4.94776,3,"-4.94776, 51.69244"
142698,5,51.69241,-4.95165,3,"-4.95165, 51.69241"
142701,5,51.69241,-4.95307,4,"-4.95307, 51.69241"
142709,5,51.68642,-4.92494,4,"-4.92494, 51.68642"
142710,5,51.68523,-4.92636,6,"-4.92636, 51.68523"
146919,5,51.71914,-4.7524,3,"-4.7524, 51.71914"
147127,5,51.69744,-4.82771,4,"-4.82771, 51.69744"
147128,5,51.69747,-4.82436,4,"-4.82436, 51.69747"
147129,5,51.6769,-4.77561,2,"-4.77561, 51.6769"
147130,5,51.67427,-4.77774,2,"-4.77774, 51.67427"
147131,5,51.6953,-4.81626,2,"-4.81626, 51.6953"
147132,5,51.6946,-4.81249,4,"-4.81249, 51.6946"
152366,5,51.72302,-4.77059,2,"-4.77059, 51.72302"
153965,5,51.6846,-5.09072,2,"-5.09072, 51.6846"
153966,5,51.68484,-5.09543,2,"-5.09543, 51.68484"
154980,5,51.69078,-4.94975,5,"-4.94975, 51.69078"
154981,5,51.6925,-4.95166,3,"-4.95166, 51.6925"
154984,5,51.6919,-4.94245,3,"-4.94245, 51.6919"
154985,5,51.69246,-4.95321,4,"-4.95321, 51.69246"
156990,5,51.72185,-4.72644,3,"-4.72644, 51.72185"
156991,5,51.71468,-4.71121,2,"-4.71121, 51.71468"
156994,5,51.71732,-4.73148,5,"-4.73148, 51.71732"
156995,5,51.68419,-4.77324,2,"-4.77324, 51.68419"
164124,5,51.73964,-4.72903,2,"-4.72903, 51.73964"
164796,5,51.68154,-4.91468,2,"-4.91468, 51.68154"
164799,5,51.6882,-4.94789,3,"-4.94789, 51.6882"
166743,5,51.70388,-4.70234,5,"-4.70234, 51.70388"
166744,5,51.70396,-4.70237,4,"-4.70237, 51.70396"
166747,5,51.69142,-4.70773,6,"-4.70773, 51.69142"
166749,5,51.67598,-4.70665,2,"-4.70665, 51.67598"
166750,5,51.68079,-4.71156,2,"-4.71156, 51.68079"
174960,5,51.6847,-5.09077,3,"-5.09077, 51.6847"
176560,5,51.67674,-4.7183,3,"-4.7183, 51.67674"
176561,5,51.67695,-4.7146,9,"-4.7146, 51.67695"
176562,5,51.67501,-4.71297,3,"-4.71297, 51.67501"
176563,5,51.67911,-4.71329,8,"-4.71329, 51.67911"
176564,5,51.68134,-4.71227,2,"-4.71227, 51.68134"
177892,5,51.68802,-4.9417,2,"-4.9417, 51.68802"
177893,5,51.68087,-4.91352,2,"-4.91352, 51.68087"
177894,5,51.68241,-4.91576,2,"-4.91576, 51.68241"
177896,5,51.70599,-4.7031,2,"-4.7031, 51.70599"
181311,5,51.656,-4.75606,3,"-4.75606, 51.656"
181313,5,51.6582,-4.72581,2,"-4.72581, 51.6582"
181316,5,51.66883,-4.72373,5,"-4.72373, 51.66883"
185713,5,51.65562,-4.79617,2,"-4.79617, 51.65562"
187651,5,51.73686,-4.69801,4,"-4.69801, 51.73686"
187669,5,51.7375,-4.69771,5,"-4.69771, 51.7375"
188081,5,51.69392,-4.92916,4,"-4.92916, 51.69392"
188082,5,51.69506,-4.92934,2,"-4.92934, 51.69506"
191365,5,51.61329,-4.93961,4,"-4.93961, 51.61329"
191366,5,51.63444,-4.98162,3,"-4.98162, 51.63444"
191367,5,51.63876,-4.98988,3,"-4.98988, 51.63876"
191368,5,51.63978,-4.9652,2,"-4.9652, 51.63978"
