ori_node,des_node,ori_layer,des_layer,minutes,km
961,961,5,5,1,0
961,170837,5,5,1,0.5
961,170838,5,5,1,0.713
961,170839,5,5,2,0.91
961,222027,5,5,1,0.546
1898,1898,5,5,1,0
1898,121577,5,5,1,0.535
1898,131334,5,5,2,0.848
10059,10059,5,5,1,0
10059,101858,5,5,2,1.637
10059,180607,5,5,1,0.438
10059,180608,5,5,1,0.439
10059,227650,5,5,1,0.335
21094,192708,5,5,1,0.811
21094,192712,5,5,1,0.999
21094,192718,5,5,1,0.367
47291,131333,5,5,1,0.525
47291,151183,5,5,1,0.074
47291,227649,5,5,1,0.38
49861,49861,5,5,1,0
49861,54938,5,5,1,0.061
49861,200869,5,5,1,0.603
49861,256166,5,5,1,0.521
52135,257831,5,5,1,0.172
52164,56741,5,5,1,0.363
52164,257833,5,5,1,0.252
52533,121369,5,5,1,0.249
52533,150835,5,5,1,0.378
53430,225129,5,5,2,0.077
53431,53430,5,5,3,0.133
53434,53440,5,5,1,0.12
53434,53441,5,5,1,0.123
53435,53441,5,5,1,0.129
53436,53431,5,5,1,0.097
53437,53431,5,5,2,0.069
53437,53436,5,5,1,0.153
53438,53434,5,5,1,0.122
53439,82405,5,5,1,0.134
53440,53434,5,5,1,0.12
53440,53435,5,5,1,0.126
53441,64552,5,5,3,1.487
53441,82399,5,5,5,1.129
53441,82404,5,5,1,0.175
53441,197543,5,5,2,0.198
53807,68855,5,5,1,0.151
53815,92209,5,5,1,0.223
53815,176467,5,5,2,0.139
53821,1898,5,5,1,0.48
54545,121576,5,5,1,0.131
54546,1898,5,5,1,0.454
54546,121577,5,5,1,0.145
54549,245066,5,5,1,0.265
54550,111715,5,5,1,0.212
54938,49861,5,5,1,0.061
54938,75931,5,5,1,0.542
54938,200869,5,5,2,0.576
54938,257833,5,5,7,0.696
55601,101858,5,5,3,1.424
56738,56742,5,5,1,0.249
56738,56743,5,5,1,0.102
56738,257834,5,5,1,0.232
56739,56748,5,5,1,0.163
56740,56742,5,5,1,0.236
56740,249662,5,5,1,0.223
56741,56740,5,5,1,0.269
56742,225946,5,5,1,0.276
56743,257834,5,5,1,0.199
56747,66384,5,5,1,0.185
56748,56747,5,5,1,0.088
60177,228380,5,5,2,1.061
60955,207187,5,5,3,1.022
60955,207190,5,5,2,1.024
60956,191048,5,5,1,0.2
63134,53437,5,5,1,0.123
63135,259570,5,5,2,1.105
63136,63137,5,5,1,0.095
63136,190789,5,5,1,0.596
63137,63139,5,5,3,2.087
63139,222353,5,5,1,0.17
63140,63135,5,5,2,2.18
64552,82398,5,5,2,0.707
66383,75932,5,5,1,0.086
66384,66387,5,5,1,0.164
66386,66383,5,5,1,0.207
66387,66386,5,5,1,0.151
68855,121576,5,5,1,0.074
69060,170835,5,5,1,0.147
69060,170836,5,5,1,0.306
72650,72655,5,5,1,0.776
72651,72650,5,5,2,0.952
72653,72651,5,5,1,0.074
72654,72653,5,5,1,0.502
72655,82401,5,5,1,0.444
72656,180992,5,5,2,0.889
75928,85606,5,5,1,0.316
75929,75930,5,5,1,0.244
75929,239744,5,5,4,1.646
75930,49861,5,5,2,0.654
75930,54938,5,5,4,0.624
75931,221530,5,5,5,2.324
75932,221530,5,5,4,1.698
75932,235872,5,5,1,0.188
78493,78494,5,5,1,0.597
78494,222026,5,5,7,3.734
80119,72654,5,5,1,0.158
80119,197545,5,5,1,0.162
82396,82398,5,5,4,0.725
82396,82399,5,5,4,0.707
82397,82402,5,5,2,0.213
82397,82403,5,5,2,0.184
82398,53438,5,5,3,1.111
82398,82397,5,5,2,0.722
82398,82404,5,5,4,1.154
82398,197543,5,5,3,1.304
82399,82397,5,5,3,0.704
82399,197544,5,5,2,0.703
82400,72656,5,5,1,0.787
82401,82403,5,5,1,0.157
82402,82400,5,5,1,0.428
82403,82396,5,5,1,0.18
82403,82402,5,5,1,0.167
82404,53439,5,5,1,0.151
82405,53438,5,5,1,0.197
82405,64552,5,5,3,1.448
85600,150295,5,5,2,0.563
85601,85604,5,5,5,2.053
85602,85605,5,5,2,0.392
