node,layer,lat,lon,degree,geometry
961,5,50.17048,-5.44432,41,"-5.44432, 50.17048"
1898,5,50.20865,-5.47679,29,"-5.47679, 50.20865"
10059,5,50.17929,-5.44145,34,"-5.44145, 50.17929"
21094,5,50.14658,-5.47806,14,"-5.47806, 50.14658"
47291,5,50.19228,-5.46147,14,"-5.46147, 50.19228"
49861,5,50.12168,-5.53247,30,"-5.53247, 50.12168"
52135,5,50.12743,-5.54567,3,"-5.54567, 50.12743"
52164,5,50.12684,-5.54081,3,"-5.54081, 50.12684"
52533,5,50.15372,-5.66894,5,"-5.66894, 50.15372"
53430,5,50.1153,-5.55251,2,"-5.55251, 50.1153"
53431,5,50.11631,-5.55352,3,"-5.55352, 50.11631"
53434,5,50.09871,-5.55073,4,"-5.55073, 50.09871"
53435,5,50.09863,-5.55071,2,"-5.55071, 50.09863"
53436,5,50.11716,-5.55388,2,"-5.55388, 50.11716"
53437,5,50.11578,-5.55404,3,"-5.55404, 50.11578"
53438,5,50.09934,-5.55215,5,"-5.55215, 50.09934"
53439,5,50.09897,-5.55678,2,"-5.55678, 50.09897"
53440,5,50.0995,-5.54956,3,"-5.54956, 50.0995"
53441,5,50.09928,-5.55222,6,"-5.55222, 50.09928"
53807,5,50.21207,-5.48623,2,"-5.48623, 50.21207"
53815,5,50.20811,-5.4912,5,"-5.4912, 50.20811"
53821,5,50.21122,-5.48223,2,"-5.48223, 50.21122"
54545,5,50.21033,-5.4859,2,"-5.4859, 50.21033"
54546,5,50.21127,-5.4817,3,"-5.4817, 50.21127"
54549,5,50.21177,-5.49126,2,"-5.49126, 50.21177"
54550,5,50.21196,-5.49102,2,"-5.49102, 50.21196"
54938,5,50.12158,-5.53162,14,"-5.53162, 50.12158"
55601,5,50.17631,-5.44275,2,"-5.44275, 50.17631"
56738,5,50.1214,-5.54042,5,"-5.54042, 50.1214"
56739,5,50.12375,-5.53809,2,"-5.53809, 50.12375"
56740,5,50.1213,-5.53876,4,"-5.53876, 50.1213"
56741,5,50.12361,-5.53994,3,"-5.53994, 50.12361"
56742,5,50.11923,-5.53952,3,"-5.53952, 50.11923"
56743,5,50.12179,-5.53911,2,"-5.53911, 50.12179"
56747,5,50.12499,-5.53537,2,"-5.53537, 50.12499"
56748,5,50.12429,-5.53596,2,"-5.53596, 50.12429"
60177,5,50.17186,-5.61239,2,"-5.61239, 50.17186"
60955,5,50.06635,-5.71001,4,"-5.71001, 50.06635"
60956,5,50.1238,-5.68131,1,"-5.68131, 50.1238"
63134,5,50.11522,-5.55254,3,"-5.55254, 50.11522"
63135,5,50.11991,-5.57828,2,"-5.57828, 50.11991"
63136,5,50.11984,-5.57823,3,"-5.57823, 50.11984"
63137,5,50.11985,-5.57957,2,"-5.57957, 50.11985"
63139,5,50.12871,-5.60544,2,"-5.60544, 50.12871"
63140,5,50.12885,-5.60555,2,"-5.60555, 50.12885"
64552,5,50.08599,-5.5549,5,"-5.5549, 50.08599"
66383,5,50.12905,-5.5404,2,"-5.5404, 50.12905"
66384,5,50.12658,-5.53458,2,"-5.53458, 50.12658"
66386,5,50.12761,-5.53854,2,"-5.53854, 50.12761"
66387,5,50.12675,-5.53688,2,"-5.53688, 50.12675"
68855,5,50.21088,-5.48518,2,"-5.48518, 50.21088"
69060,5,50.16537,-5.43104,4,"-5.43104, 50.16537"
72650,5,50.09437,-5.53882,2,"-5.53882, 50.09437"
72651,5,50.10155,-5.54615,2,"-5.54615, 50.10155"
72653,5,50.10197,-5.54696,2,"-5.54696, 50.10197"
72654,5,50.1062,-5.54946,2,"-5.54946, 50.1062"
72655,5,50.08809,-5.53401,2,"-5.53401, 50.08809"
72656,5,50.09444,-5.5391,2,"-5.5391, 50.09444"
75928,5,50.12807,-5.52541,3,"-5.52541, 50.12807"
75929,5,50.12816,-5.5253,3,"-5.5253, 50.12816"
75930,5,50.12605,-5.5263,6,"-5.5263, 50.12605"
75931,5,50.1259,-5.52806,2,"-5.52806, 50.1259"
75932,5,50.12911,-5.54161,3,"-5.54161, 50.12911"
78493,5,50.13058,-5.46391,2,"-5.46391, 50.13058"
78494,5,50.13595,-5.4644,2,"-5.4644, 50.13595"
80119,5,50.10762,-5.54931,4,"-5.54931, 50.10762"
82396,5,50.08496,-5.54032,3,"-5.54032, 50.08496"
