ori_node,des_node,ori_layer,des_layer,minutes,km
81,82,5,5,1,0.29
81,36309,5,5,2,1.109
82,81,5,5,1,0.29
82,30573,5,5,1,0.309
217,121640,5,5,1,0.196
217,249055,5,5,1,0.298
431,10818,5,5,1,1.294
431,201816,5,5,2,0.681
431,238774,5,5,1,0.636
730,68510,5,5,1,0.169
730,221020,5,5,1,0.234
730,221021,5,5,1,0.169
1341,8783,5,5,1,0.095
1341,44496,5,5,1,0.294
1341,257532,5,5,1,0.184
1342,73455,5,5,5,2.19
1342,120852,5,5,1,1.727
1414,34570,5,5,1,0.325
1414,90081,5,5,1,0.306
1922,5705,5,5,1,0.177
1922,131686,5,5,3,0.77
1922,174230,5,5,1,0.215
1922,239080,5,5,1,0.235
1927,4546,5,5,2,1.575
1927,5065,5,5,1,0.184
2028,42528,5,5,8,6.792
2028,51128,5,5,1,0.284
2028,77857,5,5,1,0.183
2031,19040,5,5,1,0.403
2031,24918,5,5,4,1.068
2031,33720,5,5,2,2.357
2031,39650,5,5,3,1.452
2031,45737,5,5,2,2.77
2031,84337,5,5,6,1.104
2031,176224,5,5,2,0.671
2031,176225,5,5,1,0.121
2779,12898,5,5,1,0.197
2779,95542,5,5,1,0.203
2779,231621,5,5,1,0.198
3087,121644,5,5,1,0.104
3087,174235,5,5,1,0.192
3087,174236,5,5,1,0.247
3840,204722,5,5,1,0.157
3840,248176,5,5,1,0.275
3979,24069,5,5,1,0.344
3979,24918,5,5,2,0.537
3979,151280,5,5,1,0.16
4471,38733,5,5,1,0.354
4471,220382,5,5,3,2.831
4471,235749,5,5,1,1.098
4546,1927,5,5,2,1.575
4546,122109,5,5,5,2.771
5065,1927,5,5,1,0.184
5065,5066,5,5,1,0.182
5066,5065,5,5,1,0.182
5066,5068,5,5,1,0.119
5068,5066,5,5,1,0.119
5068,48322,5,5,1,0.174
5095,15996,5,5,1,0.527
5095,22238,5,5,5,2.452
5095,115266,5,5,10,5.078
5095,241739,5,5,1,0.744
5201,5201,5,5,1,0
5201,8254,5,5,1,0.364
5201,15996,5,5,1,1.067
5201,21151,5,5,1,0.63
5201,241739,5,5,2,2.328
5311,22910,5,5,1,0.33
5311,55060,5,5,1,0.326
5311,120817,5,5,1,0.176
5396,730,5,5,1,0.32
5396,45409,5,5,1,0.154
5396,46511,5,5,3,2.568
5396,62540,5,5,1,0.169
5396,221020,5,5,1,0.552
5396,221021,5,5,1,0.289
5599,2028,5,5,1,0.278
5599,34134,5,5,1,2.924
5600,34134,5,5,1,0.125
5600,35274,5,5,1,0.222
5705,1922,5,5,1,0.177
5705,174229,5,5,1,0.709
5937,30628,5,5,1,0.977
5937,30629,5,5,1,0.305
6268,6270,5,5,1,0.212
6268,25413,5,5,1,0.466
6270,6268,5,5,1,0.212
6270,6271,5,5,1,0.284
6271,6270,5,5,1,0.284
6271,6272,5,5,1,0.165
6271,238773,5,5,5,0.823
6272,6271,5,5,1,0.165
6272,38251,5,5,1,0.257
7029,22910,5,5,1,0.31
7029,41126,5,5,1,0.617
7029,210040,5,5,1,0.303
7029,213037,5,5,2,0.229
7034,33010,5,5,1,0.256
7034,39650,5,5,2,0.369
7034,98245,5,5,2,0.398
7034,111818,5,5,1,0.099
7034,131426,5,5,1,0.109
7034,164488,5,5,1,0.238
7487,26677,5,5,1,0.381
7487,211423,5,5,1,0.451
7865,19631,5,5,2,0.978
7865,114549,5,5,2,2.159
7865,232985,5,5,3,0.958
7997,55060,5,5,2,0.439
7997,201785,5,5,1,0.187
