node,layer,lat,lon,degree,geometry
651,5,52.56204,-0.25883,8,"-0.25883, 52.56204"
801,5,52.66974,-0.36129,6,"-0.36129, 52.66974"
916,5,52.5595,-0.11628,7,"-0.11628, 52.5595"
965,5,52.56851,-0.3885,3,"-0.3885, 52.56851"
1006,5,52.57802,-0.29077,4,"-0.29077, 52.57802"
1007,5,52.60576,-0.2392,4,"-0.2392, 52.60576"
1008,5,52.64322,-0.31557,7,"-0.31557, 52.64322"
1009,5,52.6376,-0.30963,7,"-0.30963, 52.6376"
1010,5,52.6383,-0.29806,7,"-0.29806, 52.6383"
1011,5,52.54834,-0.24998,8,"-0.24998, 52.54834"
1012,5,52.55544,-0.25934,6,"-0.25934, 52.55544"
1013,5,52.55587,-0.25522,4,"-0.25522, 52.55587"
1135,5,52.57583,-0.20824,4,"-0.20824, 52.57583"
1136,5,52.5771,-0.21221,5,"-0.21221, 52.5771"
1137,5,52.57867,-0.21493,6,"-0.21493, 52.57867"
1138,5,52.57925,-0.21083,4,"-0.21083, 52.57925"
1139,5,52.57103,-0.22486,4,"-0.22486, 52.57103"
1140,5,52.57096,-0.22194,4,"-0.22194, 52.57096"
1141,5,52.57096,-0.21803,6,"-0.21803, 52.57096"
1142,5,52.57262,-0.21138,4,"-0.21138, 52.57262"
1144,5,52.57288,-0.26488,13,"-0.26488, 52.57288"
1145,5,52.57289,-0.26052,4,"-0.26052, 52.57289"
1248,5,52.7121,-0.38728,4,"-0.38728, 52.7121"
1334,5,52.66599,-0.74393,6,"-0.74393, 52.66599"
1350,5,52.59375,-0.63351,13,"-0.63351, 52.59375"
1353,5,52.63442,-0.54706,4,"-0.54706, 52.63442"
1361,5,52.62171,-0.62109,4,"-0.62109, 52.62171"
1497,5,52.50048,-0.2946,6,"-0.2946, 52.50048"
1585,5,52.53637,-0.47266,6,"-0.47266, 52.53637"
1587,5,52.53764,-0.47559,13,"-0.47559, 52.53764"
2370,5,52.55033,-0.49237,13,"-0.49237, 52.55033"
2731,5,52.76614,-0.36765,4,"-0.36765, 52.76614"
2732,5,52.76331,-0.37376,6,"-0.37376, 52.76331"
2733,5,52.76839,-0.37718,20,"-0.37718, 52.76839"
2734,5,52.77685,-0.37626,4,"-0.37626, 52.77685"
2881,5,52.52512,-0.39441,8,"-0.39441, 52.52512"
2945,5,52.48965,-0.29592,8,"-0.29592, 52.48965"
3007,5,52.65622,-0.43118,9,"-0.43118, 52.65622"
3265,5,52.89268,-0.34191,8,"-0.34191, 52.89268"
3299,5,52.80254,-0.37342,5,"-0.37342, 52.80254"
3352,5,52.53035,-0.39539,7,"-0.39539, 52.53035"
3420,5,52.47049,-0.47304,5,"-0.47304, 52.47049"
3464,5,52.45165,-0.45617,4,"-0.45617, 52.45165"
3622,5,52.50301,-0.49871,4,"-0.49871, 52.50301"
3877,5,52.90257,-0.33863,12,"-0.33863, 52.90257"
4619,5,52.49881,-0.12673,5,"-0.12673, 52.49881"
4862,5,52.5945,-0.77544,4,"-0.77544, 52.5945"
4863,5,52.64623,-0.51433,8,"-0.51433, 52.64623"
4866,5,52.73566,-0.7191,4,"-0.7191, 52.73566"
4867,5,52.67615,-0.53652,14,"-0.53652, 52.67615"
5005,5,52.55744,-0.26487,4,"-0.26487, 52.55744"
5006,5,52.54806,-0.27008,6,"-0.27008, 52.54806"
5008,5,52.5807,-0.24329,6,"-0.24329, 52.5807"
5009,5,52.5804,-0.23925,7,"-0.23925, 52.5804"
5010,5,52.57711,-0.24045,8,"-0.24045, 52.57711"
5011,5,52.56537,-0.25142,4,"-0.25142, 52.56537"
5710,5,52.65719,-0.49709,6,"-0.49709, 52.65719"
5722,5,52.89514,-0.34065,9,"-0.34065, 52.89514"
5775,5,52.75245,-0.53453,4,"-0.53453, 52.75245"
