ori_node,des_node,ori_layer,des_layer,minutes,km
27,13526,5,5,3,4.801
27,238114,5,5,1,0.368
84,87288,5,5,1,0.337
84,209630,5,5,4,3.063
1424,21642,5,5,2,2.068
1424,192081,5,5,2,1.913
2536,14700,5,5,3,0.118
2536,37340,5,5,3,0.678
4347,5743,5,5,3,3.227
4347,17078,5,5,2,1.084
4347,59399,5,5,1,0.163
4347,116166,5,5,1,0.605
4468,17079,5,5,5,3.581
4468,20515,5,5,10,3.676
4468,241002,5,5,10,6.643
4468,241003,5,5,10,6.623
5607,34532,5,5,4,3.835
5607,42300,5,5,5,2.91
5743,17078,5,5,6,3.534
5743,32494,5,5,3,3.514
5743,59399,5,5,4,3.391
5743,172504,5,5,8,7.686
6767,13939,5,5,2,4.287
6767,15229,5,5,4,2.647
6767,214182,5,5,1,0.54
6876,10105,5,5,1,0.844
6876,16854,5,5,1,0.824
6876,38418,5,5,2,2.268
8120,13245,5,5,3,2.335
8120,34532,5,5,4,2.816
8120,42300,5,5,13,9.405
8120,143256,5,5,50,11.67
9876,48934,5,5,1,0.358
9876,49205,5,5,2,1.777
10105,6876,5,5,2,0.844
10105,16851,5,5,1,1.865
10105,21643,5,5,8,3.496
10233,78976,5,5,5,2.121
10233,129705,5,5,5,3.316
11451,38737,5,5,2,1.179
11451,247636,5,5,2,0.885
12843,48933,5,5,2,2.369
13245,8120,5,5,3,2.335
13245,20505,5,5,4,2.431
13245,24268,5,5,16,9.823
13526,27,5,5,3,4.801
13526,13939,5,5,1,0.828
13526,126672,5,5,2,1.041
13526,243608,5,5,2,3.082
13939,6767,5,5,3,4.287
13939,13526,5,5,1,0.828
13939,126672,5,5,4,1.487
14652,21641,5,5,2,0.974
14652,21642,5,5,3,2.155
14652,21643,5,5,4,6.336
14700,2536,5,5,2,0.118
14700,48917,5,5,1,1.289
14700,172500,5,5,1,2.198
15229,6767,5,5,5,2.647
15229,143254,5,5,6,3.549
15229,258269,5,5,2,2.46
15229,260605,5,5,2,2.342
15777,44639,5,5,7,5.312
15777,134868,5,5,10,10.615
15777,152145,5,5,7,5.559
15926,15926,5,5,1,0
15926,106390,5,5,13,4.772
15926,250933,5,5,5,3.672
15926,260892,5,5,5,4.025
16851,10105,5,5,2,1.865
16851,21643,5,5,2,1.728
16851,79033,5,5,2,1.663
16854,6876,5,5,1,0.824
16854,38418,5,5,2,1.444
17078,4347,5,5,1,1.084
17078,17079,5,5,5,5.651
17078,47703,5,5,2,2.039
17079,4468,5,5,5,3.581
17079,17078,5,5,5,5.651
17079,47703,5,5,2,3.639
17079,154510,5,5,1,0.542
18688,36282,5,5,2,2.199
18688,79034,5,5,5,3.47
18879,34361,5,5,3,2.975
18879,49205,5,5,2,1.686
19628,45766,5,5,15,7.601
19628,143254,5,5,3,2.184
19628,179218,5,5,3,4.452
19628,179219,5,5,5,4.449
19629,29993,5,5,3,3.541
19629,179219,5,5,3,0.143
20505,8120,5,5,22,4.324
20505,13245,5,5,4,2.431
20505,24268,5,5,30,8.219
20505,34482,5,5,3,3.915
20505,48997,5,5,4,1.323
20515,4468,5,5,10,3.676
20515,44508,5,5,4,7.49
20515,47703,5,5,2,3.638
21641,14652,5,5,1,0.974
21642,1424,5,5,1,2.068
21642,14652,5,5,2,2.155
21642,21641,5,5,5,2.932
21643,16851,5,5,1,1.728
21643,21641,5,5,5,7.017
21643,52829,5,5,1,0.361
21643,79034,5,5,1,0.072
24268,13245,5,5,16,9.823
24268,20505,5,5,8,8.219
24268,34482,5,5,6,4.312
24268,48997,5,5,4,9.424
26509,30172,5,5,3,2.303
26509,143256,5,5,2,2.098
26651,30172,5,5,2,2.17
26651,34767,5,5,3,3.501
29916,34783,5,5,5,1.225
29916,50249,5,5,2,1.067
29919,37773,5,5,4,3.647
29919,39492,5,5,1,0.675
29919,84338,5,5,2,1.726
29993,19629,5,5,4,3.541
29993,40111,5,5,3,1.964
