ori_node,des_node,ori_layer,des_layer,minutes,km
962,962,5,5,1,0
962,165938,5,5,1,0.258
962,175700,5,5,1,0.331
962,195226,5,5,1,0.381
962,202476,5,5,1,0.332
8773,8773,5,5,2,0
8773,27133,5,5,15,5.696
8773,91800,5,5,1,0.485
8773,91803,5,5,1,0.366
8773,134364,5,5,2,0.511
8773,181903,5,5,1,0.558
8773,181904,5,5,2,0.51
8773,181906,5,5,2,0.698
8773,185497,5,5,1,0.417
8773,196427,5,5,6,1.326
8773,212998,5,5,14,4.471
8773,230574,5,5,5,0.821
8773,247575,5,5,3,0.569
8773,250233,5,5,1,0.287
10102,249979,5,5,1,0.281
17161,115825,5,5,3,0.747
27133,8773,5,5,15,5.696
27133,27133,5,5,1,0
27133,98179,5,5,1,0.433
27133,111288,5,5,2,0.935
27133,129874,5,5,1,0.893
27133,129877,5,5,2,1.357
27133,195956,5,5,5,4.724
33814,39157,5,5,1,0.08
33814,121183,5,5,1,0.489
36564,36564,5,5,1,0
36564,176730,5,5,1,0.322
36564,176732,5,5,1,0.361
36564,240814,5,5,1,0.542
39157,33814,5,5,1,0.08
39157,39157,5,5,1,0
39157,78754,5,5,1,0.392
39157,121186,5,5,1,0.347
39157,158725,5,5,1,0.663
39157,180199,5,5,1,0.364
39157,180200,5,5,1,0.379
39157,196425,5,5,1,0.342
39157,196428,5,5,2,0.399
39568,74358,5,5,1,0.455
44675,44675,5,5,1,0
44675,193327,5,5,1,0.461
44677,146148,5,5,1,0.4
44677,187914,5,5,1,0.299
46932,46932,5,5,1,0
46932,58698,5,5,1,0.287
46932,102712,5,5,3,0.752
46932,259882,5,5,1,0.268
46932,259883,5,5,1,0.198
51401,51401,5,5,1,0
51401,81773,5,5,1,0.49
51401,187181,5,5,1,0.325
51401,196865,5,5,1,0.259
51539,182036,5,5,1,0.205
52947,103166,5,5,1,0.233
53347,168830,5,5,1,0.398
53349,227252,5,5,1,0.236
53960,57561,5,5,1,1.181
54298,54302,5,5,1,0.311
54299,173054,5,5,1,0.239
54300,152409,5,5,1,0.245
54300,255366,5,5,1,0.124
54301,54303,5,5,1,0.25
54302,54300,5,5,1,0.255
54303,54299,5,5,1,0.271
54323,200663,5,5,1,0.485
54324,125524,5,5,2,0.996
54325,226896,5,5,1,0.226
54326,77350,5,5,6,2.376
54326,96260,5,5,3,1.605
54326,171000,5,5,3,1.893
54326,200666,5,5,2,1.939
54326,226893,5,5,3,2.031
54326,256347,5,5,1,0.455
54327,63985,5,5,4,3.998
54327,218498,5,5,7,3.957
54328,54325,5,5,1,0.081
54328,68849,5,5,1,0.08
54939,100501,5,5,1,0.065
54939,100502,5,5,1,0.261
54939,215523,5,5,12,3.858
54991,57518,5,5,1,0.211
54991,71596,5,5,1,0.328
54991,150755,5,5,1,0.326
54991,226829,5,5,1,0.147
55238,103540,5,5,1,0.236
55310,55318,5,5,1,0.311
55311,55318,5,5,1,0.311
55312,64893,5,5,1,0.119
55312,64899,5,5,1,0.357
55312,64900,5,5,1,0.115
55313,64901,5,5,1,0.538
55314,55315,5,5,1,0.165
55315,64902,5,5,1,0.166
55316,55313,5,5,1,0.122
55316,64902,5,5,1,0.169
55316,115821,5,5,1,0.446
55316,149867,5,5,3,0.628
55318,84154,5,5,1,0.347
55470,168829,5,5,1,0.261
55470,198065,5,5,1,0.236
55471,149199,5,5,1,0.233
55472,67782,5,5,1,0.226
55472,150649,5,5,1,0.215
55472,221726,5,5,1,0.728
55473,190578,5,5,2,0.245
55999,237329,5,5,1,0.153
56001,56002,5,5,1,0.176
56001,79719,5,5,1,0.26
56001,194136,5,5,1,0.229
56002,245343,5,5,1,0.073
56004,71521,5,5,1,0.201
56005,160199,5,5,1,0.203
56759,142464,5,5,1,0.262
56760,168829,5,5,1,0.05
56760,246690,5,5,1,0.268
56761,123824,5,5,1,0.318
56762,56760,5,5,1,0.173
56763,188402,5,5,1,0.26
56763,255162,5,5,1,0.46
56764,84829,5,5,1,0.178
56765,227252,5,5,1,0.226
56766,188401,5,5,1,0.253
57175,87093,5,5,1,0.283
57176,96824,5,5,3,0.689
57176,116309,5,5,1,0.712
57176,207537,5,5,1,0.579
57176,246691,5,5,2,0.662
57208,206381,5,5,1,0.22
57304,258442,5,5,1,0.191
