ori_node,des_node,ori_layer,des_layer,minutes,km
86,134979,5,5,1,0.215
86,144996,5,5,1,0.378
86,179222,5,5,1,0.457
2695,246708,5,5,1,0.332
2695,256526,5,5,1,0.451
2695,256528,5,5,1,0.311
2704,2704,5,5,1,0
2704,144993,5,5,1,0.364
2704,144994,5,5,1,0.327
2704,144998,5,5,2,0.423
2704,154913,5,5,1,0.683
7382,7382,5,5,1,0
7382,58940,5,5,3,0.42
7382,74258,5,5,2,0.517
7382,76964,5,5,3,0.337
7382,84039,5,5,2,0.497
7382,87917,5,5,2,0.389
7382,87919,5,5,1,0.404
7382,87921,5,5,2,0.372
7382,87922,5,5,2,0.378
7382,87923,5,5,5,0.41
7382,133191,5,5,11,7.716
7382,178217,5,5,1,0.312
7382,182851,5,5,7,3.107
7382,209170,5,5,9,4.625
7382,228713,5,5,2,0.403
7382,229578,5,5,6,4.782
14552,172746,5,5,1,1.135
28520,28520,5,5,1,0
28520,163474,5,5,1,0.268
28520,183034,5,5,1,0.403
28520,191246,5,5,1,0.472
28520,207250,5,5,1,0.48
30590,30590,5,5,1,0
30590,182489,5,5,5,0.601
30590,211677,5,5,1,0.397
30590,221593,5,5,1,0.312
33675,125102,5,5,1,0.41
33675,134976,5,5,1,0.492
33675,186262,5,5,4,2.147
45825,228466,5,5,1,0.204
45825,228471,5,5,1,0.376
54716,54718,5,5,1,0.184
54717,54722,5,5,1,0.426
54718,54725,5,5,1,0.709
54719,54717,5,5,1,0.199
54720,197145,5,5,1,0.857
54720,200325,5,5,4,3.699
54720,229572,5,5,5,3.827
54721,54723,5,5,1,0.346
54722,54720,5,5,1,0.36
54723,54716,5,5,1,0.433
54725,255754,5,5,1,0.646
54726,54719,5,5,1,0.691
54726,197145,5,5,2,1.617
54726,229572,5,5,4,4.538
55485,84344,5,5,1,0.233
55486,92043,5,5,3,0.826
55486,103684,5,5,1,0.194
55486,182851,5,5,2,0.565
55487,55485,5,5,1,0.274
55850,250199,5,5,1,0.262
56180,78212,5,5,1,0.223
56181,56182,5,5,1,0.343
56181,65678,5,5,1,0.409
56182,56189,5,5,1,0.183
56183,56182,5,5,1,0.323
56184,56183,5,5,2,0.386
56185,56184,5,5,1,0.246
56186,56180,5,5,1,0.269
56187,56186,5,5,1,0.073
56187,163472,5,5,1,0.562
56188,56187,5,5,1,0.403
56189,163475,5,5,1,0.348
57055,180276,5,5,8,2.764
57720,67367,5,5,1,0.632
58584,210001,5,5,1,0.506
58935,68551,5,5,2,0.662
58939,178217,5,5,1,0.206
58940,7382,5,5,2,0.42
58940,57720,5,5,3,0.845
58940,168385,5,5,1,0.313
58940,178217,5,5,1,0.204
60404,174489,5,5,1,0.631
60808,45825,5,5,1,0.282
61967,76964,5,5,1,0.344
61985,120767,5,5,1,0.148
61985,170005,5,5,1,0.122
62158,228708,5,5,1,0.248
62281,189740,5,5,1,0.181
62281,209173,5,5,1,0.209
63186,97470,5,5,5,0.979
