node,layer,lat,lon,degree,geometry
86,5,50.68649,-2.11013,18,"-2.11013, 50.68649"
2695,5,50.72518,-2.01937,17,"-2.01937, 50.72518"
2704,5,50.69287,-2.11526,23,"-2.11526, 50.69287"
7382,5,50.71941,-1.98333,60,"-1.98333, 50.71941"
14552,5,50.67996,-1.95002,10,"-1.95002, 50.67996"
28520,5,50.7231,-1.94896,17,"-1.94896, 50.7231"
30590,5,50.60995,-1.9603,23,"-1.9603, 50.60995"
33675,5,50.63833,-2.05512,26,"-2.05512, 50.63833"
45825,5,50.72894,-1.9396,13,"-1.9396, 50.72894"
54716,5,50.80054,-2.07261,2,"-2.07261, 50.80054"
54717,5,50.80037,-2.07248,2,"-2.07248, 50.80037"
54718,5,50.80021,-2.07518,2,"-2.07518, 50.80021"
54719,5,50.80026,-2.07532,2,"-2.07532, 50.80026"
54720,5,50.79364,-2.07567,4,"-2.07567, 50.79364"
54721,5,50.79385,-2.07565,4,"-2.07565, 50.79385"
54722,5,50.79658,-2.0735,2,"-2.0735, 50.79658"
54723,5,50.79669,-2.0736,2,"-2.0736, 50.79669"
54725,5,50.79812,-2.08473,4,"-2.08473, 50.79812"
54726,5,50.79817,-2.0846,4,"-2.0846, 50.79817"
55485,5,50.74531,-2.01182,2,"-2.01182, 50.74531"
55486,5,50.74295,-2.0121,4,"-2.0121, 50.74295"
55487,5,50.74285,-2.01225,4,"-2.01225, 50.74285"
55850,5,50.72849,-1.93899,2,"-1.93899, 50.72849"
56180,5,50.71704,-1.95017,2,"-1.95017, 50.71704"
56181,5,50.7187,-1.95298,3,"-1.95298, 50.7187"
56182,5,50.72137,-1.95545,3,"-1.95545, 50.72137"
56183,5,50.71874,-1.95347,2,"-1.95347, 50.71874"
56184,5,50.71527,-1.95398,2,"-1.95398, 50.71527"
56185,5,50.71348,-1.95191,2,"-1.95191, 50.71348"
56186,5,50.71878,-1.95284,3,"-1.95284, 50.71878"
56187,5,50.71936,-1.95334,3,"-1.95334, 50.71936"
56188,5,50.72299,-1.9537,3,"-1.9537, 50.72299"
56189,5,50.72277,-1.95407,2,"-1.95407, 50.72277"
57055,5,50.81118,-2.03189,2,"-2.03189, 50.81118"
57720,5,50.71498,-1.98897,4,"-1.98897, 50.71498"
57721,5,50.71525,-1.98759,2,"-1.98759, 50.71525"
58584,5,50.75344,-2.07964,2,"-2.07964, 50.75344"
58935,5,50.72532,-1.91801,2,"-1.91801, 50.72532"
58939,5,50.71789,-1.97777,1,"-1.97777, 50.71789"
58940,5,50.71789,-1.97785,8,"-1.97785, 50.71789"
60404,5,50.73502,-2.08797,2,"-2.08797, 50.73502"
60808,5,50.72914,-1.94361,2,"-1.94361, 50.72914"
61967,5,50.71795,-1.97838,2,"-1.97838, 50.71795"
61985,5,50.74635,-1.94407,3,"-1.94407, 50.74635"
62158,5,50.72988,-1.9867,2,"-1.9867, 50.72988"
62281,5,50.74841,-1.98386,5,"-1.98386, 50.74841"
63186,5,50.76372,-1.98457,3,"-1.98457, 50.76372"
63190,5,50.71394,-1.98205,3,"-1.98205, 50.71394"
63477,5,50.80451,-1.95446,2,"-1.95446, 50.80451"
63479,5,50.79535,-1.97794,2,"-1.97794, 50.79535"
63480,5,50.80333,-1.98615,4,"-1.98615, 50.80333"
63917,5,50.80681,-1.95539,2,"-1.95539, 50.80681"
64117,5,50.89573,-2.00388,2,"-2.00388, 50.89573"
64118,5,50.89629,-2.0029,2,"-2.0029, 50.89629"
64120,5,50.87674,-1.97732,2,"-1.97732, 50.87674"
64121,5,50.89615,-2.00245,2,"-2.00245, 50.89615"
64125,5,50.87688,-1.97734,2,"-1.97734, 50.87688"
65010,5,50.66022,-2.09195,2,"-2.09195, 50.66022"
65066,5,50.73096,-2.02154,3,"-2.02154, 50.73096"
65417,5,50.72187,-2.0813,2,"-2.0813, 50.72187"
65614,5,50.73512,-2.02571,2,"-2.02571, 50.73512"
65674,5,50.72344,-1.96227,2,"-1.96227, 50.72344"
65676,5,50.72129,-1.9571,2,"-1.9571, 50.72129"
65678,5,50.72122,-1.95723,2,"-1.95723, 50.72122"
65682,5,50.74217,-1.99807,2,"-1.99807, 50.74217"
65777,5,50.71057,-1.94762,2,"-1.94762, 50.71057"
65778,5,50.71183,-1.94966,3,"-1.94966, 50.71183"
65781,5,50.68773,-1.94202,3,"-1.94202, 50.68773"
65782,5,50.69208,-1.93439,3,"-1.93439, 50.69208"
66269,5,50.73532,-1.97181,3,"-1.97181, 50.73532"
67364,5,50.71373,-2.00446,2,"-2.00446, 50.71373"
67366,5,50.71182,-1.99578,2,"-1.99578, 50.71182"
67367,5,50.71195,-1.99659,2,"-1.99659, 50.71195"
67368,5,50.71311,-2.00025,3,"-2.00025, 50.71311"
68547,5,50.72359,-1.90983,3,"-1.90983, 50.72359"
68548,5,50.72351,-1.90988,4,"-1.90988, 50.72351"
68549,5,50.72452,-1.91405,2,"-1.91405, 50.72452"
68550,5,50.72433,-1.91359,2,"-1.91359, 50.72433"
68551,5,50.72306,-1.92673,5,"-1.92673, 50.72306"
68552,5,50.7234,-1.92608,3,"-1.92608, 50.7234"
68553,5,50.72609,-1.92502,2,"-1.92502, 50.72609"
68554,5,50.72621,-1.9249,2,"-1.9249, 50.72621"
68556,5,50.72271,-1.93221,2,"-1.93221, 50.72271"
68557,5,50.72263,-1.93176,2,"-1.93176, 50.72263"
70452,5,50.74334,-1.9859,3,"-1.9859, 50.74334"
70453,5,50.73204,-1.98312,2,"-1.98312, 50.73204"
70454,5,50.73481,-1.97694,2,"-1.97694, 50.73481"
70455,5,50.73516,-1.9768,2,"-1.9768, 50.73516"
70456,5,50.73692,-1.9764,2,"-1.9764, 50.73692"
70457,5,50.73706,-1.97594,2,"-1.97594, 50.73706"
72708,5,50.75593,-1.98344,2,"-1.98344, 50.75593"
72709,5,50.75319,-1.98509,2,"-1.98509, 50.75319"
72710,5,50.7554,-1.98718,2,"-1.98718, 50.7554"
72711,5,50.75591,-1.98358,2,"-1.98358, 50.75591"
72712,5,50.75456,-1.98364,2,"-1.98364, 50.75456"
72713,5,50.75551,-1.98718,2,"-1.98718, 50.75551"
74258,5,50.71695,-1.97708,4,"-1.97708, 50.71695"
74517,5,50.74192,-2.0056,2,"-2.0056, 50.74192"
74518,5,50.74036,-2.00204,2,"-2.00204, 50.74036"
74519,5,50.74024,-2.00102,2,"-2.00102, 50.74024"
74520,5,50.74001,-1.99836,3,"-1.99836, 50.74001"
74522,5,50.74064,-1.99671,4,"-1.99671, 50.74064"
74523,5,50.74045,-1.99646,3,"-1.99646, 50.74045"
74524,5,50.74347,-1.99933,2,"-1.99933, 50.74347"
74525,5,50.74287,-2.00771,2,"-2.00771, 50.74287"
74526,5,50.74159,-2.00492,2,"-2.00492, 50.74159"
74869,5,50.61192,-2.04181,3,"-2.04181, 50.61192"
74884,5,50.63141,-2.0524,3,"-2.0524, 50.63141"
75027,5,50.73725,-2.02763,4,"-2.02763, 50.73725"
75028,5,50.73764,-2.02343,5,"-2.02343, 50.73764"
75029,5,50.73774,-2.02836,4,"-2.02836, 50.73774"
75030,5,50.73542,-2.02588,2,"-2.02588, 50.73542"
76902,5,50.73885,-1.9184,4,"-1.9184, 50.73885"
76963,5,50.71618,-1.98258,5,"-1.98258, 50.71618"
76964,5,50.7164,-1.98262,5,"-1.98262, 50.7164"
77226,5,50.62198,-1.96059,2,"-1.96059, 50.62198"
77227,5,50.62188,-1.96098,2,"-1.96098, 50.62188"
77228,5,50.62307,-1.96353,2,"-1.96353, 50.62307"
77229,5,50.61219,-1.95791,2,"-1.95791, 50.61219"
78007,5,50.75502,-1.97637,2,"-1.97637, 50.75502"
78008,5,50.75633,-1.97783,2,"-1.97783, 50.75633"
78009,5,50.75594,-1.97546,2,"-1.97546, 50.75594"
78010,5,50.7533,-1.97556,2,"-1.97556, 50.7533"
78011,5,50.75299,-1.97579,2,"-1.97579, 50.75299"
78012,5,50.75056,-1.97857,2,"-1.97857, 50.75056"
78208,5,50.71804,-1.97885,2,"-1.97885, 50.71804"
78209,5,50.71369,-1.95045,2,"-1.95045, 50.71369"
78210,5,50.71368,-1.95001,2,"-1.95001, 50.71368"
78211,5,50.71591,-1.94748,2,"-1.94748, 50.71591"
78212,5,50.71613,-1.94733,2,"-1.94733, 50.71613"
78213,5,50.71684,-1.94995,2,"-1.94995, 50.71684"
78216,5,50.71801,-1.97872,2,"-1.97872, 50.71801"
78540,5,50.643,-2.09695,2,"-2.09695, 50.643"
78541,5,50.65107,-2.09814,2,"-2.09814, 50.65107"
82928,5,50.75633,-2.03703,1,"-2.03703, 50.75633"
83353,5,50.7769,-1.94476,2,"-1.94476, 50.7769"
83354,5,50.78136,-1.95506,4,"-1.95506, 50.78136"
83355,5,50.77504,-1.9388,2,"-1.9388, 50.77504"
83356,5,50.78148,-1.95584,4,"-1.95584, 50.78148"
84039,5,50.7174,-1.97701,8,"-1.97701, 50.7174"
84305,5,50.8099,-1.96287,2,"-1.96287, 50.8099"
84306,5,50.80992,-1.96301,2,"-1.96301, 50.80992"
