ori_node,des_node,ori_layer,des_layer,minutes,km
51536,140156,5,5,1,0.43
53582,231499,5,5,11,4.88
55821,219030,5,5,3,1.159
62326,169531,5,5,6,2.607
62652,110075,5,5,7,5.209
62652,219336,5,5,8,4.717
62958,199483,5,5,12,12.633
63147,106616,5,5,1,3.455
70541,94976,5,5,9,3.288
71088,90298,5,5,5,2.889
71088,159392,5,5,5,2.774
75854,191621,5,5,15,17.169
75854,193292,5,5,2,5.63
78939,231503,5,5,8,3.826
78939,231504,5,5,6,6.336
78939,231506,5,5,2,6.415
82256,199626,5,5,5,10.937
90296,106614,5,5,7,2.358
90298,91658,5,5,12,5.109
91658,75854,5,5,7,5.554
94976,153693,5,5,5,3.377
96083,106613,5,5,10,8.928
96083,151481,5,5,13,9.904
96083,221869,5,5,13,9.664
100061,116416,5,5,12,4.813
100061,116417,5,5,8,4.322
100061,151481,5,5,14,7.094
100062,153504,5,5,9,4.92
100062,171640,5,5,3,1.658
100062,211027,5,5,4,1.987
102753,82256,5,5,5,4.579
106613,62958,5,5,10,9.122
106613,116416,5,5,10,3.461
106613,151481,5,5,3,1.07
106613,155946,5,5,1,1.68
106613,221868,5,5,2,2.675
106613,221869,5,5,2,0.741
106614,90296,5,5,7,2.358
106614,247289,5,5,7,3.895
106616,106613,5,5,1,0.4
106616,221869,5,5,2,1.11
109728,51536,5,5,3,2.788
109728,241261,5,5,1,1.139
110075,221867,5,5,1,0.218
111675,239703,5,5,7,2.854
116416,100061,5,5,12,4.813
116416,199626,5,5,1,0.553
116417,100061,5,5,8,4.322
127980,53582,5,5,1,0.737
127980,239703,5,5,3,1.573
128990,199483,5,5,11,4.943
140156,231504,5,5,4,2.397
140991,151481,5,5,2,1.358
140991,221869,5,5,1,1.255
140991,241262,5,5,1,1.801
145867,159392,5,5,13,5.662
146647,231175,5,5,1,0.21
150881,248449,5,5,4,10.913
151481,62958,5,5,13,10.098
151481,100061,5,5,14,7.094
151481,106613,5,5,3,1.07
151481,110075,5,5,30,14.792
151481,155946,5,5,2,1.157
151481,178743,5,5,5,1.364
151481,178745,5,5,3,0.145
151481,191621,5,5,6,1.957
151481,221869,5,5,2,0.431
151481,241262,5,5,3,1.038
151481,248449,5,5,13,13.659
153504,127980,5,5,1,0.747
153693,161011,5,5,6,2.603
155946,150881,5,5,1,1.758
157836,231499,5,5,2,1.678
159392,71088,5,5,5,2.774
159392,128990,5,5,13,5.631
161011,157836,5,5,8,3.665
161011,207597,5,5,7,3.373
164042,173816,5,5,1,0.555
164042,241260,5,5,1,1.221
164117,181843,5,5,9,3.335
169531,164117,5,5,5,3.35
171640,211027,5,5,1,0.335
173816,224600,5,5,1,1.93
178743,151481,5,5,5,1.364
178744,178745,5,5,2,0.3
178745,151481,5,5,3,0.145
178745,178744,5,5,2,0.3
181843,146647,5,5,5,1.834
189415,219336,5,5,10,3.548
189415,247289,5,5,1,0.36
191621,75854,5,5,20,17.169
191621,151481,5,5,6,1.957
193292,232693,5,5,12,5.051
199483,55821,5,5,3,1.161
199626,140991,5,5,1,1.545
207597,157836,5,5,1,0.345
211027,62326,5,5,6,3.375
219030,96083,5,5,12,12.801
219030,145867,5,5,11,4.924
219336,62652,5,5,8,4.717
219336,82256,5,5,7,7.16
219336,189415,5,5,8,3.548
221867,70541,5,5,5,1.832
221868,241263,5,5,1,2.393
221869,62958,5,5,13,9.858
221869,106613,5,5,2,0.741
221869,116416,5,5,7,2.845
221869,151481,5,5,2,0.431
221869,155946,5,5,1,1.056
221869,191621,5,5,6,2.175
221869,241262,5,5,1,0.695
224600,109728,5,5,4,3.194
224600,140156,5,5,4,5.493
229757,164042,5,5,1,1.261
231175,62652,5,5,7,5.219
231175,151481,5,5,30,14.781
231498,100062,5,5,1,0.888
231499,231498,5,5,1,0.844
231502,78939,5,5,4,4.139
231503,231502,5,5,2,1.426
231504,78939,5,5,7,6.336
231504,231506,5,5,2,1.094
231505,241257,5,5,1,0.435
231506,231505,5,5,1,1.321
232693,71088,5,5,5,2.871
239703,111675,5,5,7,2.854
239703,127980,5,5,3,1.573
241257,241258,5,5,1,0.937
241258,109728,5,5,1,2.055
241259,164042,5,5,1,0.551
241260,63147,5,5,4,3.152
241261,241259,5,5,1,4.149
241261,247977,5,5,3,2.232
241262,106613,5,5,1,0.06
241262,151481,5,5,1,1.038
241262,221869,5,5,12,0.695
241263,229757,5,5,1,2.007
247289,106614,5,5,8,3.895
247289,189415,5,5,1,0.36
247289,258441,5,5,12,0.324
247977,241259,5,5,2,1.922
248449,191558,5,5,5,4.543
248449,219336,5,5,6,7.168
258441,106614,5,5,15,4.215
258441,247289,5,5,1,0.324
