ori_node,des_node,ori_layer,des_layer,minutes,km
728,53706,5,5,1,0.211
728,147768,5,5,1,0.335
728,162740,5,5,1,0.296
832,832,5,5,1,0
832,107065,5,5,1,0.398
832,107068,5,5,1,0.435
832,166219,5,5,1,0.422
2185,46669,5,5,2,0.814
2185,97402,5,5,4,6.33
2185,220712,5,5,1,0.181
2185,224387,5,5,1,0.384
8076,8076,5,5,1,0
8076,23052,5,5,10,4.713
8076,116915,5,5,1,0.435
8076,116920,5,5,1,0.389
8076,126599,5,5,1,0.439
8076,136460,5,5,1,0.275
8076,179293,5,5,1,0.383
8076,260114,5,5,1,0.267
10275,10275,5,5,1,0
10275,60245,5,5,1,0.514
10275,96532,5,5,1,0.306
10275,96535,5,5,1,0.558
10275,194246,5,5,7,1.408
10275,250781,5,5,1,0.36
10976,94042,5,5,1,0.486
10976,238473,5,5,1,0.509
10976,238476,5,5,1,0.375
10976,251626,5,5,1,0.343
13097,13097,5,5,1,0
13097,173229,5,5,5,1.731
13097,173929,5,5,1,0.284
13097,202504,5,5,5,0.901
13097,202505,5,5,2,0.351
13097,202508,5,5,1,0.416
13097,222056,5,5,1,0.358
13097,222058,5,5,1,0.258
15616,122247,5,5,1,0.463
15616,143003,5,5,1,0.254
21211,21211,5,5,1,0
21211,65668,5,5,4,0.849
21211,111510,5,5,1,0.728
21211,121386,5,5,1,1.212
21211,223654,5,5,1,0.668
21211,253478,5,5,1,0.398
21211,254784,5,5,1,0.57
23052,8076,5,5,9,4.713
23052,23052,5,5,1,0
23052,165088,5,5,1,0.535
23052,187612,5,5,12,3.757
23052,190002,5,5,1,0.326
23052,194322,5,5,1,1.16
24513,77063,5,5,1,0.472
24513,77067,5,5,1,0.452
24513,89927,5,5,1,0.328
24513,96536,5,5,1,0.339
24513,238789,5,5,3,1.063
24513,238793,5,5,1,0.332
30778,86701,5,5,1,0.286
30778,102054,5,5,1,0.295
30778,111906,5,5,1,0.166
30778,111908,5,5,1,0.55
30778,111910,5,5,1,0.172
31793,48599,5,5,5,1.2
31793,53251,5,5,5,1.1
31793,55505,5,5,1,0.491
31793,74540,5,5,1,0.283
32002,32002,5,5,1,0
32002,210798,5,5,1,0.517
32002,210802,5,5,1,0.553
34205,66803,5,5,9,2.69
34205,105055,5,5,8,3.65
34205,131499,5,5,2,0.679
34205,159622,5,5,1,0.433
34205,182451,5,5,1,0.145
34205,192096,5,5,1,0.423
40110,13097,5,5,1,0.598
40110,79505,5,5,2,0.336
40110,151873,5,5,1,0.62
40110,163410,5,5,2,0.706
40110,222057,5,5,1,0.278
40110,232405,5,5,1,0.462
41040,41040,5,5,2,0
41040,66724,5,5,1,0.501
41040,97400,5,5,2,0.604
41040,97401,5,5,1,0.584
41040,107069,5,5,1,0.467
41040,143316,5,5,20,3.268
41040,144001,5,5,1,0.592
41040,213679,5,5,3,0.409
41040,242689,5,5,1,0.487
42940,145731,5,5,1,0.324
42940,187612,5,5,1,0.256
42940,246124,5,5,1,0.208
46118,46118,5,5,1,0
46118,103698,5,5,1,0.51
