ori_node,des_node,ori_layer,des_layer,minutes,km
728,15616,4,4,3,1.352
728,46669,4,4,2,1.923
2185,31793,4,4,10,4.937
2185,46669,4,4,2,0.814
10976,31793,4,4,10,1.423
10976,74542,4,4,2,1.046
15616,728,4,4,3,1.352
15616,34205,4,4,3,1.607
24513,31793,4,4,15,7.887
24513,74542,4,4,10,8.591
24513,163666,4,4,15,7.711
30778,34205,4,4,2,1.903
30778,42940,4,4,5,2.545
31793,2185,4,4,8,4.937
31793,10976,4,4,5,1.423
31793,24513,4,4,15,7.887
31793,48599,4,4,5,1.2
31793,74543,4,4,2,0.804
31793,163666,4,4,5,2.11
31793,241361,4,4,5,1.068
34205,15616,4,4,3,1.607
34205,30778,4,4,2,1.903
40110,42940,4,4,15,10.92
42940,30778,4,4,5,2.545
42940,40110,4,4,15,10.92
46669,728,4,4,2,1.923
46669,2185,4,4,5,0.814
48599,31793,4,4,5,1.2
48599,236811,4,4,5,1.382
53252,31793,4,4,4,1.077
74542,31793,4,4,10,0.8
74543,10976,4,4,3,1.064
74543,24513,4,4,13,8.585
163666,24513,4,4,15,7.711
163666,31793,4,4,5,2.11
236811,48599,4,4,5,1.382
