node,layer,lat,lon,degree,geometry
728,4,50.85588,-1.05111,14,"-1.05111, 50.85588"
2185,4,50.83514,-1.07179,18,"-1.07179, 50.83514"
10976,4,50.78514,-1.09995,26,"-1.09995, 50.78514"
15616,4,50.86739,-1.04478,12,"-1.04478, 50.86739"
24513,4,50.85177,-1.17936,26,"-1.17936, 50.85177"
30778,4,50.89425,-1.01833,18,"-1.01833, 50.89425"
31793,4,50.79695,-1.10784,64,"-1.10784, 50.79695"
34205,4,50.87968,-1.03266,20,"-1.03266, 50.87968"
40110,4,51.00314,-0.93473,20,"-0.93473, 51.00314"
42940,4,50.91315,-0.99774,14,"-0.99774, 50.91315"
46669,4,50.84191,-1.06733,51,"-1.06733, 50.84191"
48599,4,50.79848,-1.09091,43,"-1.09091, 50.79848"
53252,4,50.80012,-1.09333,8,"-1.09333, 50.80012"
74542,4,50.7944,-1.09717,9,"-1.09717, 50.7944"
74543,4,50.79455,-1.09702,11,"-1.09702, 50.79455"
163666,4,50.81192,-1.0893,10,"-1.0893, 50.81192"
236811,4,50.81051,-1.08585,14,"-1.08585, 50.81051"
241361,4,50.80024,-1.09353,2,"-1.09353, 50.80024"
