node,layer,lat,lon,degree,geometry
9544,5,53.69886,-2.68714,23,"-2.68714, 53.69886"
9880,5,53.61295,-2.60306,25,"-2.60306, 53.61295"
9958,5,53.72385,-2.68709,15,"-2.68709, 53.72385"
12425,5,53.66049,-2.67202,22,"-2.67202, 53.66049"
12972,5,53.65255,-2.62678,55,"-2.62678, 53.65255"
18044,5,53.7808,-2.69813,13,"-2.69813, 53.7808"
18962,5,53.75687,-2.70812,65,"-2.70812, 53.75687"
19801,5,53.75012,-2.89332,12,"-2.89332, 53.75012"
23846,5,53.75449,-2.86793,14,"-2.86793, 53.75449"
30922,5,53.66757,-2.77775,17,"-2.77775, 53.66757"
30932,5,53.72679,-2.66077,20,"-2.66077, 53.72679"
51692,5,53.76725,-2.7031,2,"-2.7031, 53.76725"
51736,5,53.90795,-2.77406,2,"-2.77406, 53.90795"
51787,5,53.65644,-2.65912,6,"-2.65912, 53.65644"
51788,5,53.65956,-2.66044,4,"-2.66044, 53.65956"
51789,5,53.66676,-2.67542,2,"-2.67542, 53.66676"
51790,5,53.67402,-2.7196,3,"-2.7196, 53.67402"
51791,5,53.67459,-2.7196,2,"-2.7196, 53.67459"
51793,5,53.68134,-2.71746,2,"-2.71746, 53.68134"
51820,5,53.67742,-2.92982,4,"-2.92982, 53.67742"
51997,5,53.77381,-2.68982,2,"-2.68982, 53.77381"
52053,5,53.87642,-2.8895,12,"-2.8895, 53.87642"
52124,5,53.83002,-2.61745,5,"-2.61745, 53.83002"
52540,5,53.64237,-2.60489,2,"-2.60489, 53.64237"
52541,5,53.64254,-2.60481,2,"-2.60481, 53.64254"
52635,5,53.86179,-2.82283,3,"-2.82283, 53.86179"
52636,5,53.87925,-2.76415,3,"-2.76415, 53.87925"
52637,5,53.87715,-2.76863,2,"-2.76863, 53.87715"
52638,5,53.8773,-2.76813,2,"-2.76813, 53.8773"
52639,5,53.86738,-2.81585,2,"-2.81585, 53.86738"
52640,5,53.86305,-2.7278,4,"-2.7278, 53.86305"
53036,5,53.76119,-2.69599,3,"-2.69599, 53.76119"
53037,5,53.76091,-2.69584,6,"-2.69584, 53.76091"
53039,5,53.76048,-2.69569,1,"-2.69569, 53.76048"
53040,5,53.76069,-2.69575,2,"-2.69575, 53.76069"
53041,5,53.76073,-2.69578,2,"-2.69578, 53.76073"
53042,5,53.76086,-2.69583,2,"-2.69583, 53.76086"
53043,5,53.76082,-2.69581,1,"-2.69581, 53.76082"
53075,5,53.7694,-2.73565,7,"-2.73565, 53.7694"
53078,5,53.76173,-2.7289,2,"-2.7289, 53.76173"
53079,5,53.7686,-2.74017,5,"-2.74017, 53.7686"
53080,5,53.77486,-2.65201,3,"-2.65201, 53.77486"
53081,5,53.76626,-2.69571,2,"-2.69571, 53.76626"
53083,5,53.78014,-2.74462,2,"-2.74462, 53.78014"
53084,5,53.74956,-2.68269,2,"-2.68269, 53.74956"
53277,5,53.66723,-2.7233,2,"-2.7233, 53.66723"
