ori_node,des_node,ori_layer,des_layer,minutes,km
4590,203324,5,5,1,0.445
4590,251144,5,5,1,0.373
9792,9792,5,5,1,0
9792,98494,5,5,1,0.474
9792,118140,5,5,1,0.33
9792,127766,5,5,1,0.675
9792,162497,5,5,1,0.485
17490,17490,5,5,1,0
17490,93458,5,5,1,0.912
17490,112946,5,5,2,0.653
17490,146508,5,5,1,0.328
17490,185749,5,5,1,0.283
23021,85725,5,5,5,2.966
23021,182094,5,5,1,0.369
23021,233365,5,5,1,0.335
27673,27673,5,5,1,0
27673,85718,5,5,1,0.648
27673,85721,5,5,1,0.524
27673,201592,5,5,1,1.018
39792,139528,5,5,1,0.501
39792,257986,5,5,5,3.677
39792,257989,5,5,4,2.841
47655,47655,5,5,1,0
47655,142766,5,5,2,0.667
47655,178229,5,5,1,0.326
47655,255182,5,5,1,0.328
51527,232064,5,5,1,0.588
51528,232063,5,5,1,1.113
51529,216015,5,5,1,0.224
51530,225894,5,5,1,0.485
51531,61226,5,5,1,0.29
52268,70770,5,5,1,0.256
55023,166658,5,5,2,1.995
55581,136240,5,5,2,0.571
55581,142776,5,5,5,0.339
55582,180111,5,5,2,1.571
55583,106904,5,5,3,1.46
55584,55583,5,5,3,1.855
55585,55905,5,5,2,2.375
55586,55585,5,5,6,1.557
55587,84726,5,5,1,0.347
55588,55587,5,5,1,0.739
55897,55900,5,5,2,1.714
55898,55897,5,5,1,0.24
55898,97231,5,5,10,4.73
55899,98150,5,5,1,0.749
55899,107897,5,5,3,1.465
55900,106904,5,5,1,0.727
55901,55899,5,5,2,1.274
55902,55903,5,5,1,1.264
55903,55901,5,5,1,0.577
55903,217292,5,5,2,0.523
55904,126412,5,5,1,0.858
55905,55902,5,5,1,0.525
56882,132520,5,5,2,0.807
56887,225899,5,5,1,0.299
61226,255645,5,5,1,0.197
61227,248164,5,5,2,0.575
61227,257997,5,5,1,0.429
61228,248157,5,5,1,0.398
61229,61230,5,5,1,0.277
61230,134459,5,5,1,0.169
61231,74914,5,5,1,0.342
61232,74913,5,5,1,0.188
61233,134461,5,5,1,0.304
61234,216010,5,5,1,1.168
61234,217638,5,5,1,0.259
61235,217639,5,5,1,0.224
61823,175963,5,5,1,0.453
61824,61825,5,5,2,1.046
61825,76047,5,5,2,2.611
61826,61827,5,5,1,0.253
61827,61828,5,5,1,0.329
61828,61829,5,5,1,0.584
61829,61823,5,5,2,1.631
62950,134857,5,5,10,3.424
65147,182546,5,5,2,1.281
65150,177727,5,5,1,1.208
