node,layer,lat,lon,degree,geometry
4514,2,51.39194,-0.63304,20,"-0.63304, 51.39194"
5713,2,51.4411,-0.91799,14,"-0.91799, 51.4411"
9630,2,51.45545,-0.99029,20,"-0.99029, 51.45545"
10018,2,51.47553,-0.86329,23,"-0.86329, 51.47553"
10761,2,51.45878,-0.97187,93,"-0.97187, 51.45878"
12765,2,51.43028,-0.87686,24,"-0.87686, 51.43028"
14041,2,51.43345,-1.07497,18,"-1.07497, 51.43345"
18634,2,51.40625,-0.67583,15,"-0.67583, 51.40625"
22170,2,51.53418,-0.90022,16,"-0.90022, 51.53418"
23869,2,51.41122,-0.84255,30,"-0.84255, 51.41122"
24270,2,51.41099,-0.7227,14,"-0.7227, 51.41099"
30421,2,51.37207,-1.0355,14,"-1.0355, 51.37207"
35181,2,51.4854,-1.09046,19,"-1.09046, 51.4854"
40107,2,51.51047,-0.88825,14,"-0.88825, 51.51047"
41519,2,51.49949,-0.87227,12,"-0.87227, 51.49949"
44066,2,51.41309,-0.7517,34,"-0.7517, 51.41309"
44531,2,51.47151,-1.02982,22,"-1.02982, 51.47151"
45147,2,51.52149,-1.13304,21,"-1.13304, 51.52149"
45974,2,51.34648,-0.80391,18,"-0.80391, 51.34648"
49950,2,51.43674,-0.89134,21,"-0.89134, 51.43674"
132863,2,51.36673,-0.81927,5,"-0.81927, 51.36673"
