ori_node,des_node,ori_layer,des_layer,minutes,km
7267,20749,4,4,3,1.614
7267,22888,4,4,3,3.007
7267,209812,4,4,10,3.91
9397,45837,4,4,10,1.485
9397,200168,4,4,3,1.644
12745,50168,4,4,7,9.927
12745,224514,4,4,5,2.232
20749,7267,4,4,3,1.614
20749,209812,4,4,6,2.296
22888,7267,4,4,3,3.007
45837,9397,4,4,5,1.485
45837,90075,4,4,5,0.8
45837,209812,4,4,15,5.772
50168,12745,4,4,4,9.927
50168,224514,4,4,9,11.861
90075,45837,4,4,5,0.8
90075,224514,4,4,5,2.196
200168,9397,4,4,2,1.644
200168,209812,4,4,7,2.655
209812,7267,4,4,9,3.91
209812,20749,4,4,6,2.296
209812,45837,4,4,15,5.772
209812,200168,4,4,3,2.655
224514,12745,4,4,2,2.232
224514,50168,4,4,9,11.861
224514,90075,4,4,5,2.196
