node,layer,lat,lon,degree,geometry
11088,5,51.04223,-1.63481,19,"-1.63481, 51.04223"
30694,5,51.08021,-1.86431,18,"-1.86431, 51.08021"
33245,5,51.07054,-1.80639,34,"-1.80639, 51.07054"
40475,5,50.93867,-1.78495,14,"-1.78495, 50.93867"
41495,5,51.06084,-2.07901,22,"-2.07901, 51.06084"
50698,5,51.08244,-1.85785,14,"-1.85785, 51.08244"
51633,5,51.07859,-1.8393,3,"-1.8393, 51.07859"
51634,5,51.07849,-1.83933,3,"-1.83933, 51.07849"
51635,5,51.07883,-1.84109,3,"-1.84109, 51.07883"
51636,5,51.07376,-1.82289,2,"-1.82289, 51.07376"
51637,5,51.07417,-1.82857,2,"-1.82857, 51.07417"
51638,5,51.07427,-1.82867,2,"-1.82867, 51.07427"
51639,5,51.07546,-1.83279,2,"-1.83279, 51.07546"
51642,5,51.07875,-1.84143,2,"-1.84143, 51.07875"
51643,5,51.0788,-1.8442,2,"-1.8442, 51.0788"
51659,5,51.04569,-2.06599,5,"-2.06599, 51.04569"
51660,5,51.04518,-2.06201,2,"-2.06201, 51.04518"
51661,5,51.04414,-2.05776,2,"-2.05776, 51.04414"
51662,5,51.04431,-2.05777,2,"-2.05777, 51.04431"
52351,5,51.07552,-1.83268,2,"-1.83268, 51.07552"
52535,5,51.0456,-2.06598,4,"-2.06598, 51.0456"
52542,5,51.03253,-2.06114,2,"-2.06114, 51.03253"
52544,5,51.03262,-2.06162,3,"-2.06162, 51.03262"
52846,5,50.97569,-1.65445,2,"-1.65445, 50.97569"
52847,5,51.03551,-1.66272,4,"-1.66272, 51.03551"
52848,5,50.97857,-1.63126,2,"-1.63126, 50.97857"
52849,5,50.97929,-1.63301,3,"-1.63301, 50.97929"
53890,5,51.06702,-2.08048,2,"-2.08048, 51.06702"
54049,5,51.0791,-1.81455,3,"-1.81455, 51.0791"
54339,5,51.07408,-2.1705,3,"-2.1705, 51.07408"
54799,5,51.08212,-1.78497,2,"-1.78497, 51.08212"
54800,5,51.08247,-1.78264,2,"-1.78264, 51.08247"
54802,5,51.07566,-1.78524,7,"-1.78524, 51.07566"
54804,5,51.07498,-1.78574,4,"-1.78574, 51.07498"
54806,5,51.08136,-1.78163,4,"-1.78163, 51.08136"
54808,5,51.07943,-1.78211,3,"-1.78211, 51.07943"
54809,5,51.07904,-1.78273,2,"-1.78273, 51.07904"
55693,5,51.13878,-1.99035,3,"-1.99035, 51.13878"
56363,5,50.97652,-1.62561,3,"-1.62561, 50.97652"
56364,5,50.97689,-1.62746,3,"-1.62746, 50.97689"
56365,5,50.97916,-1.63304,4,"-1.63304, 50.97916"
56366,5,50.97861,-1.63098,2,"-1.63098, 50.97861"
56368,5,50.97058,-1.61747,3,"-1.61747, 50.97058"
56436,5,51.29393,-1.8078,2,"-1.8078, 51.29393"
57572,5,51.08397,-1.86927,3,"-1.86927, 51.08397"
57573,5,51.08394,-1.86904,2,"-1.86904, 51.08394"
57577,5,51.07512,-1.87063,2,"-1.87063, 51.07512"
57578,5,51.07359,-1.87019,2,"-1.87019, 51.07359"
57579,5,51.08256,-1.8679,3,"-1.8679, 51.08256"
57945,5,51.06206,-1.68172,3,"-1.68172, 51.06206"
58254,5,50.91166,-1.83749,4,"-1.83749, 50.91166"
58263,5,50.91178,-1.83992,2,"-1.83992, 50.91178"
59283,5,51.05428,-1.79862,2,"-1.79862, 51.05428"
59284,5,51.05417,-1.79861,2,"-1.79861, 51.05417"
59286,5,51.04766,-1.79273,2,"-1.79273, 51.04766"
59287,5,51.05466,-1.79635,2,"-1.79635, 51.05466"
59288,5,51.05458,-1.79634,3,"-1.79634, 51.05458"
59289,5,51.05369,-1.79967,2,"-1.79967, 51.05369"
60167,5,51.07317,-1.7749,2,"-1.7749, 51.07317"
60181,5,51.07549,-1.77321,2,"-1.77321, 51.07549"
60183,5,51.07573,-1.77192,2,"-1.77192, 51.07573"
60986,5,51.1679,-1.76334,4,"-1.76334, 51.1679"
60987,5,51.16839,-1.75805,2,"-1.75805, 51.16839"
60989,5,51.17081,-1.75649,2,"-1.75649, 51.17081"
60990,5,51.16934,-1.75616,2,"-1.75616, 51.16934"
60991,5,51.16664,-1.7582,3,"-1.7582, 51.16664"
60992,5,51.17029,-1.75926,3,"-1.75926, 51.17029"
60993,5,51.16799,-1.7634,5,"-1.7634, 51.16799"
61327,5,51.07383,-1.82275,2,"-1.82275, 51.07383"
61337,5,51.07401,-1.8151,3,"-1.8151, 51.07401"
61338,5,51.07224,-1.81787,2,"-1.81787, 51.07224"
61339,5,51.07229,-1.818,2,"-1.818, 51.07229"
61340,5,51.0723,-1.81933,2,"-1.81933, 51.0723"
61341,5,51.07221,-1.81939,2,"-1.81939, 51.07221"
61371,5,51.04598,-2.0332,2,"-2.0332, 51.04598"
61372,5,51.04611,-2.03325,2,"-2.03325, 51.04611"
61373,5,51.06209,-2.00626,2,"-2.00626, 51.06209"
61374,5,51.06203,-2.00621,2,"-2.00621, 51.06203"
61375,5,51.06019,-2.00088,2,"-2.00088, 51.06019"
61376,5,51.0603,-2.00086,2,"-2.00086, 51.0603"
61377,5,51.04879,-2.0276,3,"-2.0276, 51.04879"
61378,5,51.06037,-2.00908,2,"-2.00908, 51.06037"
62523,5,50.95467,-2.03814,3,"-2.03814, 50.95467"
62524,5,50.95474,-2.03806,3,"-2.03806, 50.95474"
62526,5,50.95484,-2.04362,2,"-2.04362, 50.95484"
62527,5,50.95494,-2.04369,2,"-2.04369, 50.95494"
62530,5,50.9355,-2.05987,2,"-2.05987, 50.9355"
63745,5,51.13608,-1.94559,2,"-1.94559, 51.13608"
64420,5,51.07176,-1.79137,9,"-1.79137, 51.07176"
64421,5,51.0726,-1.78841,4,"-1.78841, 51.0726"
64422,5,51.07569,-1.78675,6,"-1.78675, 51.07569"
64423,5,51.07377,-1.78903,2,"-1.78903, 51.07377"
64424,5,51.07479,-1.79148,2,"-1.79148, 51.07479"
64425,5,51.07529,-1.79192,2,"-1.79192, 51.07529"
64426,5,51.07537,-1.79198,2,"-1.79198, 51.07537"
64427,5,51.07014,-1.79447,10,"-1.79447, 51.07014"
64428,5,51.07025,-1.7945,7,"-1.7945, 51.07025"
64429,5,51.07184,-1.79151,5,"-1.79151, 51.07184"
65262,5,50.97591,-1.63788,7,"-1.63788, 50.97591"
