ori_node,des_node,ori_layer,des_layer,minutes,km
15523,15523,5,5,1,0
15523,53979,5,5,1,0.601
15523,83656,5,5,1,0.259
15523,93295,5,5,1,0.562
15523,102218,5,5,7,2.233
15523,112084,5,5,13,2.756
15523,130710,5,5,2,0.391
15523,148546,5,5,7,0.85
15523,151441,5,5,1,0.675
15523,156222,5,5,4,1.315
15523,166069,5,5,1,0.445
15523,170187,5,5,1,0.624
15523,194753,5,5,3,0.553
15523,213013,5,5,1,0.638
15523,218895,5,5,1,0.393
25905,56899,5,5,1,0.271
25905,84184,5,5,1,0.262
29841,29841,5,5,1,0
29841,92493,5,5,1,0.274
29841,92496,5,5,3,0.611
29841,92497,5,5,2,0.397
29841,102162,5,5,1,0.265
29841,142235,5,5,7,1.568
29841,168144,5,5,2,0.313
29841,172579,5,5,1,0.506
40227,40227,5,5,1,0
40227,104035,5,5,1,0.28
40227,193631,5,5,1,0.375
40227,193634,5,5,1,0.558
40227,204780,5,5,1,0.393
53498,104037,5,5,4,2.959
53499,101053,5,5,6,3.07
53976,53977,5,5,1,0.401
53977,15523,5,5,1,0.599
53978,53980,5,5,1,0.231
53978,154277,5,5,11,4.295
53979,53978,5,5,1,0.395
53979,112026,5,5,1,0.308
53979,186005,5,5,1,0.501
53980,254980,5,5,1,0.233
53981,53976,5,5,1,0.184
56899,227879,5,5,1,0.719
61252,138568,5,5,2,0.178
63601,112604,5,5,1,0.28
63601,212801,5,5,1,0.151
63602,63601,5,5,1,0.244
63602,74851,5,5,1,0.381
63604,63609,5,5,1,0.328
63605,63606,5,5,1,0.252
63606,73112,5,5,2,0.162
63606,130706,5,5,1,0.564
63607,63602,5,5,1,0.325
63608,63610,5,5,2,0.301
63609,112605,5,5,1,0.373
63610,63605,5,5,1,0.316
70540,166069,5,5,7,1.213
71403,185627,5,5,9,2.338
71403,209450,5,5,1,1.739
73112,73119,5,5,1,0.391
73113,124977,5,5,1,0.281
73114,130712,5,5,1,0.274
73115,73117,5,5,1,0.23
73116,73114,5,5,2,0.302
73117,73120,5,5,2,0.415
73118,73116,5,5,1,0.204
73119,73118,5,5,1,0.38
73120,73121,5,5,2,0.378
73121,73113,5,5,1,0.12
74851,63601,5,5,1,0.608
74852,104036,5,5,1,0.666
82649,83444,5,5,1,0.582
82650,126429,5,5,2,0.652
82839,151438,5,5,1,0.285
82840,82845,5,5,1,0.334
82842,82844,5,5,1,0.301
82843,82846,5,5,1,0.301
82844,82839,5,5,1,0.299
82845,82843,5,5,1,0.129
82846,92500,5,5,1,0.409
82847,82849,5,5,1,0.381
82848,82842,5,5,1,0.12
82849,82848,5,5,1,0.248
82910,166069,5,5,1,0.245
83438,98367,5,5,5,0.297
83438,112607,5,5,1,0.218
83439,83442,5,5,1,0.222
83439,201078,5,5,1,0.164
83440,181524,5,5,1,0.37
83441,256407,5,5,1,0.193
83442,136263,5,5,1,0.222
83442,246310,5,5,1,0.26
83443,83445,5,5,1,0.241
83444,93110,5,5,1,0.411
83445,83440,5,5,1,0.479
83623,236546,5,5,1,0.067
83623,248357,5,5,1,0.171
83656,166069,5,5,1,0.186
84184,181525,5,5,3,1.311
84184,181527,5,5,1,0.746
