node,layer,lat,lon,degree,geometry
129,5,53.48923,-0.85608,10,"-0.85608, 53.48923"
199,5,53.4978,-0.66644,8,"-0.66644, 53.4978"
243,5,53.48931,-0.83914,12,"-0.83914, 53.48931"
1047,5,53.4343,-0.768,4,"-0.768, 53.4343"
2759,5,53.4635,-0.65349,8,"-0.65349, 53.4635"
2884,5,53.6826,-0.43842,12,"-0.43842, 53.6826"
2887,5,53.68605,-0.43356,5,"-0.43356, 53.68605"
2888,5,53.55116,-0.7807,8,"-0.7807, 53.55116"
2889,5,53.55667,-0.81548,4,"-0.81548, 53.55667"
3238,5,53.446,-0.80815,4,"-0.80815, 53.446"
3283,5,53.44082,-0.72272,7,"-0.72272, 53.44082"
3573,5,53.63982,-0.57394,4,"-0.57394, 53.63982"
3576,5,53.491,-0.77718,11,"-0.77718, 53.491"
3577,5,53.49311,-0.78136,6,"-0.78136, 53.49311"
3583,5,53.64145,-0.60878,4,"-0.60878, 53.64145"
3584,5,53.64072,-0.61218,8,"-0.61218, 53.64072"
3935,5,53.50249,-0.67956,4,"-0.67956, 53.50249"
3948,5,53.68884,-0.44325,24,"-0.44325, 53.68884"
4093,5,53.61811,-0.69957,4,"-0.69957, 53.61811"
4104,5,53.60215,-0.6851,4,"-0.6851, 53.60215"
4112,5,53.50302,-0.66146,4,"-0.66146, 53.50302"
4113,5,53.50213,-0.66316,6,"-0.66316, 53.50213"
4115,5,53.62452,-0.68342,4,"-0.68342, 53.62452"
4124,5,53.52278,-0.8128,5,"-0.8128, 53.52278"
4391,5,53.4441,-0.81072,4,"-0.81072, 53.4441"
4857,5,53.57401,-0.66066,4,"-0.66066, 53.57401"
4858,5,53.57783,-0.65981,6,"-0.65981, 53.57783"
4859,5,53.58005,-0.63655,4,"-0.63655, 53.58005"
4860,5,53.56832,-0.66882,4,"-0.66882, 53.56832"
4861,5,53.56707,-0.66752,4,"-0.66752, 53.56707"
4864,5,53.56398,-0.65662,6,"-0.65662, 53.56398"
4865,5,53.56566,-0.65668,6,"-0.65668, 53.56566"
6754,5,53.63982,-0.6653,6,"-0.6653, 53.63982"
6755,5,53.6512,-0.64818,7,"-0.64818, 53.6512"
6756,5,53.65535,-0.64031,4,"-0.64031, 53.65535"
6757,5,53.55114,-0.51453,11,"-0.51453, 53.55114"
6758,5,53.60385,-0.83187,5,"-0.83187, 53.60385"
6759,5,53.60851,-0.83348,5,"-0.83348, 53.60851"
6760,5,53.59858,-0.82538,6,"-0.82538, 53.59858"
6761,5,53.60131,-0.82831,4,"-0.82831, 53.60131"
7313,5,53.70831,-0.63527,4,"-0.63527, 53.70831"
7314,5,53.55878,-0.65499,10,"-0.65499, 53.55878"
7315,5,53.67752,-0.63006,5,"-0.63006, 53.67752"
7316,5,53.66592,-0.64131,6,"-0.64131, 53.66592"
7317,5,53.54261,-0.75187,4,"-0.75187, 53.54261"
7318,5,53.67818,-0.63263,5,"-0.63263, 53.67818"
7319,5,53.54546,-0.74051,6,"-0.74051, 53.54546"
7320,5,53.54269,-0.74486,6,"-0.74486, 53.54269"
7322,5,53.54301,-0.74043,8,"-0.74043, 53.54301"
8527,5,53.57699,-0.74116,10,"-0.74116, 53.57699"
8528,5,53.5752,-0.74402,6,"-0.74402, 53.5752"
8533,5,53.68427,-0.66556,5,"-0.66556, 53.68427"
8534,5,53.68043,-0.65559,4,"-0.65559, 53.68043"
8535,5,53.6817,-0.66495,4,"-0.66495, 53.6817"
8536,5,53.68707,-0.66246,4,"-0.66246, 53.68707"
8537,5,53.57963,-0.77949,9,"-0.77949, 53.57963"
8538,5,53.57517,-0.74529,4,"-0.74529, 53.57517"
8539,5,53.57925,-0.73866,4,"-0.73866, 53.57925"
10040,5,53.57168,-0.54804,4,"-0.54804, 53.57168"
10041,5,53.5902,-0.66827,7,"-0.66827, 53.5902"
10045,5,53.69564,-0.36015,5,"-0.36015, 53.69564"
10046,5,53.53319,-0.65413,4,"-0.65413, 53.53319"
10047,5,53.65138,-0.50839,4,"-0.50839, 53.65138"
10050,5,53.48849,-0.86835,7,"-0.86835, 53.48849"
10051,5,53.60221,-0.65189,10,"-0.65189, 53.60221"
10290,5,53.45788,-0.63952,6,"-0.63952, 53.45788"
10599,5,53.58118,-0.65398,12,"-0.65398, 53.58118"
10600,5,53.57521,-0.65609,7,"-0.65609, 53.57521"
10602,5,53.56678,-0.64476,8,"-0.64476, 53.56678"
10603,5,53.56686,-0.64095,8,"-0.64095, 53.56686"
