ori_node,des_node,ori_layer,des_layer,minutes,km
52,62,5,5,1,0.463
52,19319,5,5,1,0.196
62,52,5,5,1,0.463
62,19331,5,5,1,0.233
105,107,5,5,1,0.312
105,110,5,5,1,0.231
107,105,5,5,1,0.312
107,34581,5,5,1,0.286
110,105,5,5,1,0.231
110,111,5,5,1,0.239
111,110,5,5,1,0.239
111,7505,5,5,2,0.853
111,21007,5,5,1,0.847
111,243155,5,5,1,0.177
181,2631,5,5,2,0.615
181,32291,5,5,2,0.842
181,41644,5,5,3,1.184
220,238,5,5,1,0.727
220,30362,5,5,1,0.251
233,36095,5,5,1,0.388
233,41551,5,5,1,0.379
238,220,5,5,1,0.727
238,236013,5,5,1,0.134
282,283,5,5,1,0.182
282,287,5,5,1,0.318
282,148327,5,5,3,0.389
283,282,5,5,1,0.182
283,14963,5,5,1,0.36
287,282,5,5,1,0.318
287,1665,5,5,1,0.311
307,13607,5,5,1,0.276
307,13608,5,5,1,0.329
411,7895,5,5,3,1.364
411,47223,5,5,1,0.283
428,430,5,5,1,0.16
428,136941,5,5,1,0.198
428,136942,5,5,1,0.319
430,428,5,5,1,0.16
430,432,5,5,1,0.253
430,8577,5,5,1,0.18
430,20704,5,5,1,0.236
432,430,5,5,1,0.253
432,8577,5,5,1,0.154
432,20707,5,5,1,0.347
436,20672,5,5,1,0.228
436,41498,5,5,1,0.306
437,14073,5,5,1,0.437
437,45407,5,5,1,0.501
594,27759,5,5,1,0.217
594,32098,5,5,1,0.938
635,671,5,5,1,0.325
635,53047,5,5,1,0.094
635,72065,5,5,1,0.205
671,635,5,5,1,0.325
671,37255,5,5,1,0.39
671,96136,5,5,1,0.07
724,732,5,5,1,0.319
724,36398,5,5,1,0.44
732,724,5,5,1,0.319
732,42880,5,5,1,0.22
732,95044,5,5,3,0.761
746,12178,5,5,1,0.32
746,42880,5,5,1,0.194
746,95044,5,5,1,0.359
747,4408,5,5,1,0.726
747,10517,5,5,1,0.817
786,44673,5,5,1,0.267
786,48653,5,5,1,0.23
786,141408,5,5,2,0.391
788,3088,5,5,1,0.264
788,44673,5,5,1,0.198
797,798,5,5,1,0.203
797,19781,5,5,1,0.277
798,797,5,5,1,0.203
798,871,5,5,1,0.143
798,4668,5,5,1,0.313
838,841,5,5,1,0.298
838,48291,5,5,1,0.309
838,48679,5,5,1,0.153
841,838,5,5,1,0.298
841,10499,5,5,1,0.205
853,5352,5,5,1,0.56
853,27476,5,5,1,0.384
853,151316,5,5,1,0.322
855,856,5,5,1,0.238
855,18080,5,5,1,0.132
855,189517,5,5,1,0.251
856,855,5,5,1,0.238
856,23880,5,5,1,0.271
866,10447,5,5,1,0.414
866,41492,5,5,1,0.221
867,10447,5,5,1,0.352
867,24328,5,5,1,0.261
868,2110,5,5,1,0.186
868,5220,5,5,1,0.152
869,2110,5,5,1,0.285
869,196418,5,5,1,0.314
871,4668,5,5,1,0.375
