node,layer,lat,lon,degree,geometry
52,5,53.43797,-1.38166,4,"-1.38166, 53.43797"
62,5,53.44214,-1.38141,4,"-1.38141, 53.44214"
105,5,53.33747,-1.35678,4,"-1.35678, 53.33747"
107,5,53.33958,-1.35367,4,"-1.35367, 53.33958"
110,5,53.33647,-1.35372,4,"-1.35372, 53.33647"
111,5,53.3351,-1.35093,8,"-1.35093, 53.3351"
181,5,53.39614,-1.39795,5,"-1.39795, 53.39614"
220,5,53.44441,-1.29195,4,"-1.29195, 53.44441"
233,5,53.44037,-1.35106,4,"-1.35106, 53.44037"
238,5,53.44137,-1.2822,4,"-1.2822, 53.44137"
282,5,53.42166,-1.21295,7,"-1.21295, 53.42166"
283,5,53.42147,-1.21569,4,"-1.21569, 53.42147"
287,5,53.42229,-1.20826,4,"-1.20826, 53.42229"
307,5,53.42373,-1.44308,4,"-1.44308, 53.42373"
411,5,53.38706,-1.37588,4,"-1.37588, 53.38706"
428,5,53.38575,-1.35466,5,"-1.35466, 53.38575"
430,5,53.38561,-1.35225,8,"-1.35225, 53.38561"
432,5,53.3876,-1.35036,6,"-1.35036, 53.3876"
436,5,53.36939,-1.46485,5,"-1.46485, 53.36939"
437,5,53.47263,-1.33681,4,"-1.33681, 53.47263"
594,5,53.36261,-1.69856,5,"-1.69856, 53.36261"
635,5,53.41603,-1.34222,5,"-1.34222, 53.41603"
671,5,53.41814,-1.34564,7,"-1.34564, 53.41814"
724,5,53.38104,-1.49068,4,"-1.49068, 53.38104"
732,5,53.38043,-1.49539,6,"-1.49539, 53.38043"
746,5,53.37783,-1.49989,6,"-1.49989, 53.37783"
747,5,53.32624,-1.2484,4,"-1.2484, 53.32624"
786,5,53.40784,-1.5238,5,"-1.5238, 53.40784"
788,5,53.40796,-1.51679,4,"-1.51679, 53.40796"
797,5,53.41661,-1.52506,4,"-1.52506, 53.41661"
798,5,53.41533,-1.52286,7,"-1.52286, 53.41533"
838,5,53.36218,-1.32657,6,"-1.32657, 53.36218"
841,5,53.36292,-1.3309,4,"-1.3309, 53.36292"
853,5,53.38814,-1.46623,7,"-1.46623, 53.38814"
855,5,53.35454,-1.52523,6,"-1.52523, 53.35454"
856,5,53.35436,-1.52165,5,"-1.52165, 53.35436"
866,5,53.3701,-1.42257,4,"-1.42257, 53.3701"
867,5,53.36961,-1.42709,4,"-1.42709, 53.36961"
868,5,53.4613,-1.48038,4,"-1.48038, 53.4613"
869,5,53.4619,-1.47885,4,"-1.47885, 53.4619"
871,5,53.41634,-1.52151,4,"-1.52151, 53.41634"
880,5,53.46963,-1.46857,4,"-1.46857, 53.46963"
1161,5,53.39411,-1.37605,5,"-1.37605, 53.39411"
1177,5,53.31676,-1.31589,6,"-1.31589, 53.31676"
1178,5,53.31442,-1.31882,6,"-1.31882, 53.31442"
1179,5,53.31212,-1.31881,4,"-1.31881, 53.31212"
1182,5,53.31784,-1.31604,6,"-1.31604, 53.31784"
1183,5,53.31806,-1.31381,13,"-1.31381, 53.31806"
1184,5,53.32129,-1.31889,6,"-1.31889, 53.32129"
1185,5,53.31797,-1.32582,8,"-1.32582, 53.31797"
1299,5,53.37686,-1.45249,4,"-1.45249, 53.37686"
1312,5,53.28419,-1.67131,4,"-1.67131, 53.28419"
1385,5,53.35205,-1.42453,20,"-1.42453, 53.35205"
1469,5,53.3575,-1.37672,4,"-1.37672, 53.3575"
1483,5,53.35752,-1.40354,4,"-1.40354, 53.35752"
1543,5,53.39259,-1.50422,5,"-1.50422, 53.39259"
1544,5,53.40123,-1.55168,4,"-1.55168, 53.40123"
1548,5,53.2942,-1.63744,6,"-1.63744, 53.2942"
1591,5,53.3781,-1.52612,5,"-1.52612, 53.3781"
1592,5,53.35506,-1.43167,4,"-1.43167, 53.35506"
1625,5,53.40202,-1.49996,31,"-1.49996, 53.40202"
