ori_node,des_node,ori_layer,des_layer,minutes,km
3883,17472,2,2,6,6.501
3883,43182,2,2,5,4.315
17472,3883,2,2,5,6.501
17472,33838,2,2,2,1.893
18855,31338,2,2,6,6.997
19254,37417,2,2,3,2.577
19254,43109,2,2,2,3.161
28517,29725,2,2,6,6.653
28517,43109,2,2,7,7.743
29725,28517,2,2,5,6.653
29725,33838,2,2,14,15.45
29725,43182,2,2,5,3.355
29725,45621,2,2,9,8.498
29725,46771,2,2,3,5.441
31338,18855,2,2,7,6.997
31338,46771,2,2,4,3.835
33838,17472,2,2,3,1.893
33838,29725,2,2,23,15.45
37417,19254,2,2,3,2.577
43109,19254,2,2,3,3.161
43109,28517,2,2,7,7.743
43182,3883,2,2,4,4.315
43182,29725,2,2,7,3.355
45621,29725,2,2,10,8.498
46771,29725,2,2,7,5.441
46771,31338,2,2,5,3.835
46771,51066,2,2,6,6.107
51066,46771,2,2,3,6.107
