node,layer,lat,lon,degree,geometry
2068,5,60.15468,-1.14292,22,"-1.14292, 60.15468"
10116,5,60.15707,-1.12325,10,"-1.12325, 60.15707"
12958,5,60.67293,-0.99644,15,"-0.99644, 60.67293"
17051,5,60.46692,-1.20693,13,"-1.20693, 60.46692"
22267,5,59.87776,-1.28882,16,"-1.28882, 59.87776"
22296,5,60.35215,-1.1703,10,"-1.1703, 60.35215"
30866,5,60.37281,-1.12938,10,"-1.12938, 60.37281"
38666,5,60.18895,-1.24596,4,"-1.24596, 60.18895"
44530,5,60.16259,-1.15757,26,"-1.15757, 60.16259"
46758,5,60.49614,-1.1586,14,"-1.1586, 60.49614"
50703,5,60.62764,-0.93701,10,"-0.93701, 60.62764"
56799,5,60.24228,-1.34485,4,"-1.34485, 60.24228"
56800,5,60.20238,-1.29315,5,"-1.29315, 60.20238"
56801,5,60.17602,-1.4692,4,"-1.4692, 60.17602"
60010,5,60.35019,-1.41205,6,"-1.41205, 60.35019"
60011,5,60.35526,-1.2621,6,"-1.2621, 60.35526"
60012,5,60.45689,-1.182,4,"-1.182, 60.45689"
60013,5,60.44376,-1.35673,5,"-1.35673, 60.44376"
60014,5,60.39608,-1.35301,12,"-1.35301, 60.39608"
60015,5,60.4765,-1.48822,4,"-1.48822, 60.4765"
60016,5,60.47213,-1.26123,4,"-1.26123, 60.47213"
71257,5,60.59823,-0.7947,2,"-0.7947, 60.59823"
71258,5,60.58869,-0.79443,2,"-0.79443, 60.58869"
71259,5,60.587,-0.84747,2,"-0.84747, 60.587"
71260,5,60.59289,-0.8561,2,"-0.8561, 60.59289"
71261,5,60.59407,-0.88633,2,"-0.88633, 60.59407"
71263,5,60.60168,-0.89872,2,"-0.89872, 60.60168"
77953,5,60.47907,-1.48073,4,"-1.48073, 60.47907"
77963,5,60.13999,-1.18656,5,"-1.18656, 60.13999"
80942,5,60.29817,-1.43697,1,"-1.43697, 60.29817"
80945,5,60.15019,-1.11209,2,"-1.11209, 60.15019"
90558,5,60.29845,-1.65326,4,"-1.65326, 60.29845"
90562,5,59.88727,-1.3073,4,"-1.3073, 59.88727"
90563,5,59.91903,-1.30052,10,"-1.30052, 59.91903"
90564,5,60.04474,-1.22844,6,"-1.22844, 60.04474"
91192,5,60.52803,-1.16978,4,"-1.16978, 60.52803"
91763,5,60.15454,-1.14942,4,"-1.14942, 60.15454"
94275,5,60.14838,-1.16167,11,"-1.16167, 60.14838"
94281,5,60.14975,-1.15709,6,"-1.15709, 60.14975"
98981,5,60.55981,-1.03528,4,"-1.03528, 60.55981"
100240,5,60.13991,-1.26696,6,"-1.26696, 60.13991"
100241,5,60.07467,-1.22118,4,"-1.22118, 60.07467"
100242,5,60.05651,-1.21012,4,"-1.21012, 60.05651"
101237,5,60.44658,-1.20443,9,"-1.20443, 60.44658"
108406,5,60.15036,-1.138,4,"-1.138, 60.15036"
108407,5,60.17301,-1.16199,5,"-1.16199, 60.17301"
109957,5,60.80456,-0.80662,2,"-0.80662, 60.80456"
109958,5,60.4988,-1.05482,4,"-1.05482, 60.4988"
109959,5,60.48346,-1.47367,5,"-1.47367, 60.48346"
109960,5,60.78808,-0.83056,2,"-0.83056, 60.78808"
109962,5,60.69021,-0.91923,6,"-0.91923, 60.69021"
114993,5,59.97182,-1.27265,4,"-1.27265, 59.97182"
118281,5,60.10042,-1.23417,6,"-1.23417, 60.10042"
118282,5,60.05386,-1.22588,9,"-1.22588, 60.05386"
118286,5,60.13836,-1.27637,16,"-1.27637, 60.13836"
118287,5,60.10524,-1.33633,7,"-1.33633, 60.10524"
118288,5,60.12836,-1.21563,6,"-1.21563, 60.12836"
119913,5,60.61156,-1.07511,4,"-1.07511, 60.61156"
119914,5,60.59774,-1.06583,4,"-1.06583, 60.59774"
119915,5,60.60549,-1.09125,8,"-1.09125, 60.60549"
119916,5,60.70582,-1.01134,2,"-1.01134, 60.70582"
127910,5,60.15239,-1.15521,4,"-1.15521, 60.15239"
127911,5,60.15725,-1.15513,6,"-1.15513, 60.15725"
127912,5,60.15183,-1.14865,6,"-1.14865, 60.15183"
127913,5,60.15161,-1.1424,4,"-1.1424, 60.15161"
129649,5,60.21819,-1.35939,2,"-1.35939, 60.21819"
137884,5,60.15733,-1.15506,4,"-1.15506, 60.15733"
137887,5,60.15057,-1.15462,4,"-1.15462, 60.15057"
137888,5,60.1434,-1.17782,2,"-1.17782, 60.1434"
137889,5,60.14533,-1.16668,2,"-1.16668, 60.14533"
137890,5,60.15277,-1.16067,6,"-1.16067, 60.15277"
137891,5,60.1473,-1.16526,6,"-1.16526, 60.1473"
137892,5,60.15731,-1.14685,19,"-1.14685, 60.15731"
139506,5,60.59489,-0.86479,6,"-0.86479, 60.59489"
139507,5,60.76183,-0.86987,3,"-0.86987, 60.76183"
147859,5,60.25296,-1.40001,11,"-1.40001, 60.25296"
147860,5,60.24461,-1.52963,6,"-1.52963, 60.24461"
147861,5,60.25609,-1.67459,2,"-1.67459, 60.25609"
147862,5,60.22863,-1.56608,4,"-1.56608, 60.22863"
147863,5,60.18269,-1.23058,6,"-1.23058, 60.18269"
147864,5,60.18618,-1.22646,11,"-1.22646, 60.18618"
147865,5,60.26468,-1.28759,4,"-1.28759, 60.26468"
147866,5,60.28381,-1.37993,3,"-1.37993, 60.28381"
150543,5,60.14514,-1.11073,2,"-1.11073, 60.14514"
150561,5,60.03896,-1.21852,3,"-1.21852, 60.03896"
157738,5,60.18089,-1.41209,6,"-1.41209, 60.18089"
157739,5,60.19003,-1.50973,2,"-1.50973, 60.19003"
157740,5,60.29896,-1.65515,2,"-1.65515, 60.29896"
157743,5,60.1877,-1.44195,4,"-1.44195, 60.1877"
167485,5,59.9277,-1.29725,11,"-1.29725, 59.9277"
167486,5,59.94432,-1.32625,4,"-1.32625, 59.94432"
167488,5,59.99802,-1.2435,3,"-1.2435, 59.99802"
167489,5,60.00266,-1.23561,12,"-1.23561, 60.00266"
167490,5,59.99262,-1.27965,8,"-1.27965, 59.99262"
167491,5,59.99557,-1.25911,3,"-1.25911, 59.99557"
167492,5,59.97272,-1.27755,6,"-1.27755, 59.97272"
167493,5,59.98689,-1.28551,8,"-1.28551, 59.98689"
167494,5,59.97558,-1.32065,4,"-1.32065, 59.97558"
171729,5,60.60612,-0.8972,2,"-0.8972, 60.60612"
177332,5,59.88955,-1.29191,5,"-1.29191, 59.88955"
177333,5,59.8921,-1.31271,7,"-1.31271, 59.8921"
177334,5,59.90276,-1.33801,4,"-1.33801, 59.90276"
177335,5,59.91756,-1.29134,6,"-1.29134, 59.91756"
177336,5,59.87285,-1.30751,3,"-1.30751, 59.87285"
177337,5,59.87103,-1.28662,5,"-1.28662, 59.87103"
177338,5,59.87648,-1.30649,10,"-1.30649, 59.87648"
195464,5,60.75839,-0.86219,4,"-0.86219, 60.75839"
206737,5,60.15817,-1.11009,2,"-1.11009, 60.15817"
206738,5,60.1395,-1.17694,2,"-1.17694, 60.1395"
206739,5,60.16209,-1.16937,5,"-1.16937, 60.16209"
208906,5,60.19522,-1.22293,4,"-1.22293, 60.19522"
230209,5,60.35045,-1.26543,4,"-1.26543, 60.35045"
230210,5,60.79823,-0.82434,4,"-0.82434, 60.79823"
230224,5,60.16021,-1.17466,6,"-1.17466, 60.16021"
252959,5,60.15077,-1.11171,2,"-1.11171, 60.15077"
252962,5,60.14682,-1.16702,3,"-1.16702, 60.14682"
252964,5,60.15952,-1.15686,5,"-1.15686, 60.15952"
252965,5,60.15747,-1.14627,4,"-1.14627, 60.15747"
254044,5,60.57249,-1.18068,4,"-1.18068, 60.57249"
254053,5,60.66113,-1.04659,6,"-1.04659, 60.66113"
258550,5,60.21357,-1.37812,4,"-1.37812, 60.21357"
261252,5,60.50753,-1.33715,5,"-1.33715, 60.50753"
261253,5,60.4942,-1.56583,4,"-1.56583, 60.4942"
261254,5,60.27451,-1.156,4,"-1.156, 60.27451"
261255,5,60.59031,-1.33261,3,"-1.33261, 60.59031"
261256,5,60.26447,-1.22206,6,"-1.22206, 60.26447"
261257,5,60.23559,-1.2325,7,"-1.2325, 60.23559"
261258,5,60.35396,-1.19878,8,"-1.19878, 60.35396"
261259,5,60.34522,-1.25274,6,"-1.25274, 60.34522"
261665,5,60.25437,-1.29434,5,"-1.29434, 60.25437"
