ori_node,des_node,ori_layer,des_layer,minutes,km
3921,3921,5,5,1,0
3921,66238,5,5,2,0.698
3921,102576,5,5,1,0.568
3921,102946,5,5,4,0.905
3921,104675,5,5,1,0.409
3921,121763,5,5,1,0.272
3921,133771,5,5,1,0.505
3921,133772,5,5,1,0.346
3921,136694,5,5,1,0.281
3921,136695,5,5,1,0.322
3921,156499,5,5,13,8.465
3921,160396,5,5,1,0.693
3921,191916,5,5,10,2.332
3921,200787,5,5,1,0.428
8663,8663,5,5,1,0
8663,73630,5,5,2,0.926
8663,201464,5,5,1,0.802
15243,15243,5,5,1,0
15243,121889,5,5,4,2.382
15243,137912,5,5,1,0.346
15243,210814,5,5,2,0.718
15243,228427,5,5,2,0.306
15912,145039,5,5,1,1.022
15912,202273,5,5,1,0.284
36907,88653,5,5,3,2.857
36907,183861,5,5,3,3.295
36907,219623,5,5,4,4.289
37484,37484,5,5,1,0
37484,88244,5,5,1,0.267
37484,88249,5,5,1,0.277
37484,130699,5,5,1,0.338
37484,134573,5,5,1,0.33
51651,153794,5,5,3,1.78
51651,208871,5,5,3,1.773
51905,191917,5,5,1,0.293
52065,150579,5,5,1,0.275
52065,194129,5,5,1,0.325
52065,218972,5,5,3,2.809
52065,225956,5,5,6,3.042
52066,52065,5,5,1,0.409
52067,67987,5,5,1,0.564
52503,84461,5,5,3,2.718
52503,203258,5,5,3,1.92
52801,220378,5,5,3,1.744
52802,192502,5,5,3,3.797
53048,53050,5,5,1,0.27
53050,53057,5,5,1,0.508
53050,62738,5,5,1,0.795
53051,60945,5,5,1,0.16
53052,53054,5,5,1,0.244
53053,259434,5,5,1,0.318
53054,53048,5,5,1,0.288
53055,53053,5,5,1,0.239
53057,53051,5,5,1,0.517
53057,62738,5,5,1,0.288
53058,53051,5,5,1,0.493
53494,261517,5,5,2,0.791
54332,222739,5,5,1,0.289
54923,146076,5,5,3,2.723
54924,77290,5,5,3,8.848
54924,255053,5,5,6,2.599
55606,132099,5,5,3,4.271
55606,177445,5,5,3,1.897
55606,191885,5,5,3,2.497
55607,129834,5,5,3,3.906
55607,161763,5,5,3,2.164
55607,191885,5,5,3,2.504
55610,72535,5,5,3,1.405
55610,72536,5,5,3,1.383
56094,122976,5,5,1,0.515
56094,200100,5,5,5,3.739
56094,257674,5,5,1,0.351
56151,15243,5,5,3,2.406
56151,97429,5,5,3,1.671
56827,114159,5,5,1,0.193
56987,145040,5,5,1,0.604
57203,86049,5,5,1,0.169
57204,227525,5,5,1,0.169
57530,208113,5,5,1,0.412
57531,144432,5,5,1,0.75
57660,167294,5,5,3,0.933
57791,234391,5,5,3,1.534
57792,129835,5,5,3,0.836
58229,134572,5,5,1,0.706
58230,79895,5,5,1,0.493
58274,62737,5,5,1,0.128
58275,58274,5,5,4,1.065
58275,186670,5,5,3,0.411
58276,208251,5,5,1,0.125
58428,87781,5,5,3,1.444
58444,58448,5,5,1,0.091
58445,58447,5,5,1,0.192
58446,58444,5,5,1,0.22
58446,207330,5,5,3,1.6
58447,61846,5,5,1,0.282
58447,65054,5,5,3,2.807
58448,66450,5,5,1,1.451
58449,58445,5,5,1,0.096
58538,78856,5,5,3,2.185
58780,175921,5,5,1,1.715
58780,209085,5,5,2,2.368
58781,138630,5,5,3,1.587
58781,246097,5,5,1,0.295
59067,121889,5,5,3,1.658
60945,53055,5,5,1,0.368
61527,61530,5,5,1,0.478
61527,61534,5,5,3,0.924
61528,62554,5,5,3,1.982
61528,79917,5,5,3,2.378
61528,228781,5,5,2,1.142
61529,61528,5,5,1,0.507
61530,61532,5,5,1,0.23
61531,61529,5,5,1,0.179
61532,61534,5,5,1,0.244
61533,61528,5,5,3,0.868
61533,61531,5,5,1,0.205
61534,61536,5,5,1,0.329
61534,111628,5,5,3,0.979
61535,61533,5,5,2,0.42
61536,71044,5,5,1,0.221
61846,113363,5,5,4,0.318
61846,261390,5,5,1,0.355
62006,66892,5,5,3,4.466
62006,122897,5,5,1,0.104
62007,103575,5,5,3,1.156
62007,200730,5,5,4,2.423
62370,88242,5,5,1,0.13
62442,62448,5,5,1,0.259
62443,62445,5,5,1,0.169
62444,62442,5,5,1,0.207
62445,62444,5,5,1,0.219
62445,62452,5,5,1,0.134
62446,259434,5,5,2,0.13
62447,62449,5,5,1,0.251
62447,62451,5,5,1,0.098
62448,62446,5,5,1,0.313
62449,62443,5,5,1,0.355
62451,62449,5,5,1,0.154
62452,54332,5,5,1,0.269
62452,71357,5,5,2,0.392
62452,150522,5,5,1,0.291
62554,188633,5,5,2,0.642
62555,157636,5,5,3,1.063
62556,172466,5,5,3,0.494
62556,177055,5,5,2,0.546
62737,53057,5,5,1,0.285
62737,53058,5,5,1,0.306
62738,92652,5,5,1,0.308
62738,125842,5,5,1,0.543
62738,188867,5,5,1,0.386
62738,218484,5,5,1,0.529
62920,114990,5,5,3,1.574
63004,96409,5,5,1,0.655
63004,233679,5,5,1,0.198
63671,78220,5,5,3,1.946
63920,146075,5,5,1,0.295
63920,183565,5,5,1,0.312
63921,63923,5,5,1,0.522
63921,102449,5,5,6,3.104
63922,63920,5,5,1,0.509
63923,73386,5,5,1,0.517
63923,257684,5,5,2,0.589
64037,199313,5,5,3,3.644
64038,162728,5,5,3,1.941
64078,86690,5,5,3,2.321
64078,91747,5,5,2,1.501
64079,86955,5,5,1,0.489
64721,185647,5,5,1,0.14
64904,72814,5,5,3,1.968
64905,155295,5,5,3,0.918
65054,115892,5,5,3,3.042
65054,215586,5,5,3,2.861
65100,150692,5,5,3,5.215
65100,154056,5,5,2,1.11
65785,180299,5,5,3,1.397
65786,247822,5,5,3,2.221
65909,93077,5,5,1,0.148
66236,3921,5,5,1,0.333
66237,66236,5,5,1,0.366
66237,121763,5,5,1,0.437
66238,66239,5,5,2,0.188
66238,76650,5,5,3,0.66
66238,76651,5,5,1,0.435
66239,66237,5,5,1,0.19
66239,76651,5,5,1,0.249
66246,70639,5,5,3,1.9
66450,95588,5,5,1,0.819
66851,210814,5,5,2,0.385
66892,62007,5,5,3,4.476
66892,72536,5,5,3,2.612
66892,75471,5,5,2,0.916
66892,86687,5,5,3,2.638
66892,96409,5,5,1,0.666
66892,96410,5,5,3,0.668
66892,233679,5,5,1,0.209
67127,128520,5,5,1,0.2
67255,254861,5,5,1,0.238
67256,128845,5,5,1,0.449
67287,79917,5,5,4,3.581
67288,229451,5,5,1,1.742
67986,52065,5,5,3,0.975
67986,52066,5,5,1,0.57
67986,194128,5,5,3,1.234
67986,213804,5,5,3,1.366
67987,69843,5,5,3,1.792
67987,69844,5,5,4,1.77
67987,213804,5,5,2,1.353
67987,241164,5,5,3,2.125
68612,68614,5,5,1,0.081
68613,68614,5,5,1,0.081
68613,68619,5,5,1,0.281
68614,258768,5,5,1,0.261
68615,68613,5,5,1,0.095
68615,68619,5,5,1,0.377
68616,68618,5,5,1,0.228
68618,68612,5,5,1,0.296
68618,68613,5,5,1,0.296
68618,68614,5,5,1,0.377
68618,231008,5,5,1,0.139
68619,155860,5,5,1,0.231
68619,206712,5,5,1,0.331
68619,238925,5,5,1,0.58
68747,141024,5,5,3,3.059
69140,261733,5,5,2,0.994
69455,169218,5,5,1,0.788
69455,206913,5,5,3,1.097
69843,67986,5,5,1,1.797
69843,249517,5,5,2,0.385
69844,67986,5,5,3,1.775
69844,144197,5,5,2,1.537
69844,213801,5,5,3,1.458
70639,112418,5,5,3,1.67
70639,199314,5,5,3,3.936
70640,199311,5,5,3,3.914
70640,204201,5,5,3,1.903
70652,197729,5,5,3,1.205
70653,59067,5,5,3,0.425
70961,75471,5,5,2,0.929
70961,96409,5,5,2,0.651
70961,139303,5,5,2,0.6
70961,202983,5,5,1,0.834
70961,207050,5,5,3,0.286
71042,71045,5,5,1,0.135
71043,111628,5,5,1,0.288
71044,71043,5,5,1,0.177
71045,61535,5,5,1,0.221
71356,217774,5,5,1,0.158
71357,71356,5,5,1,0.224
71357,222739,5,5,1,0.214
71358,172243,5,5,1,0.138
71782,155129,5,5,1,0.384
71782,221401,5,5,1,0.387
71964,54332,5,5,1,0.062
71964,71965,5,5,1,0.202
71965,62444,5,5,1,0.428
71965,62445,5,5,1,0.214
72535,55611,5,5,3,1.389
72535,66892,5,5,3,2.591
72536,55611,5,5,3,1.366
72536,123430,5,5,3,3.026
72814,85355,5,5,3,2.439
72814,208871,5,5,3,2.544
72815,64905,5,5,3,1.772
72815,155296,5,5,3,1.339
73021,156550,5,5,2,1.3
73021,239209,5,5,3,1.891
73378,246170,5,5,1,0.179
73380,73378,5,5,1,0.133
73381,73383,5,5,1,0.178
73382,73380,5,5,1,0.137
73383,73384,5,5,1,0.293
73384,185918,5,5,1,0.736
73384,257679,5,5,1,0.204
73385,73382,5,5,1,0.301
73386,73385,5,5,2,0.727
73386,97540,5,5,2,0.308
73386,257684,5,5,1,0.188
73620,73622,5,5,1,0.044
73622,73629,5,5,1,0.19
73623,187475,5,5,1,0.057
73624,73626,5,5,1,0.397
73625,208114,5,5,3,1.595
