node,layer,lat,lon,degree,geometry
36233,5,50.72879,-3.05793,10,"-3.05793, 50.72879"
40733,5,50.77926,-3.00475,16,"-3.00475, 50.77926"
53546,5,50.71089,-3.07729,2,"-3.07729, 50.71089"
53547,5,50.7426,-3.06584,2,"-3.06584, 50.7426"
53548,5,50.74293,-3.06564,2,"-3.06564, 50.74293"
53549,5,50.76312,-3.06544,2,"-3.06544, 50.76312"
53550,5,50.76312,-3.06584,2,"-3.06584, 50.76312"
53551,5,50.77265,-3.0622,2,"-3.0622, 50.77265"
53552,5,50.77281,-3.06267,2,"-3.06267, 50.77281"
53553,5,50.77753,-3.06725,2,"-3.06725, 50.77753"
53554,5,50.77759,-3.0676,2,"-3.0676, 50.77759"
53973,5,50.6923,-3.23786,5,"-3.23786, 50.6923"
54558,5,50.71164,-3.07235,4,"-3.07235, 50.71164"
54559,5,50.70522,-3.07189,3,"-3.07189, 50.70522"
55257,5,50.69784,-3.19054,2,"-3.19054, 50.69784"
55258,5,50.6996,-3.18016,2,"-3.18016, 50.6996"
55260,5,50.6936,-3.15063,2,"-3.15063, 50.6936"
55261,5,50.6924,-3.13683,2,"-3.13683, 50.6924"
55262,5,50.69936,-3.18028,2,"-3.18028, 50.69936"
55263,5,50.69373,-3.15073,2,"-3.15073, 50.69373"
55264,5,50.69392,-3.12995,2,"-3.12995, 50.69392"
55265,5,50.69922,-3.11339,2,"-3.11339, 50.69922"
55266,5,50.69257,-3.13692,2,"-3.13692, 50.69257"
55267,5,50.69377,-3.13043,2,"-3.13043, 50.69377"
57248,5,50.78311,-2.9969,2,"-2.9969, 50.78311"
63247,5,50.7793,-3.03322,3,"-3.03322, 50.7793"
63248,5,50.77918,-3.03355,3,"-3.03355, 50.77918"
63249,5,50.78181,-3.06853,2,"-3.06853, 50.78181"
63250,5,50.79069,-2.9864,3,"-2.9864, 50.79069"
63251,5,50.79054,-2.98637,2,"-2.98637, 50.79054"
63756,5,50.79616,-3.07188,2,"-3.07188, 50.79616"
64855,5,50.69659,-3.09785,2,"-3.09785, 50.69659"
64856,5,50.69508,-3.10356,2,"-3.10356, 50.69508"
64857,5,50.69907,-3.11024,2,"-3.11024, 50.69907"
64858,5,50.69631,-3.10137,2,"-3.10137, 50.69631"
64859,5,50.69779,-3.09919,2,"-3.09919, 50.69779"
64860,5,50.69906,-3.11333,2,"-3.11333, 50.69906"
68329,5,50.68671,-3.24506,3,"-3.24506, 50.68671"
