node,layer,lat,lon,degree,geometry
74,5,53.16237,0.2368,6,"0.2368, 53.16237"
76,5,53.17654,0.20898,10,"0.20898, 53.17654"
79,5,53.16453,0.23061,4,"0.23061, 53.16453"
83,5,53.16714,0.22721,4,"0.22721, 53.16714"
90,5,53.31793,0.14778,4,"0.14778, 53.31793"
94,5,53.31714,0.14608,4,"0.14608, 53.31714"
272,5,53.35196,0.25457,4,"0.25457, 53.35196"
280,5,53.35012,0.25628,6,"0.25628, 53.35012"
284,5,53.35526,0.25129,8,"0.25129, 53.35526"
1371,5,53.38651,-0.1601,4,"-0.1601, 53.38651"
1375,5,53.16273,0.13449,4,"0.13449, 53.16273"
1636,5,53.44597,0.13693,4,"0.13693, 53.44597"
1640,5,53.27588,0.07853,4,"0.07853, 53.27588"
1641,5,53.31817,0.27992,6,"0.27992, 53.31817"
1642,5,53.30922,0.28039,8,"0.28039, 53.30922"
1643,5,53.30333,0.28068,7,"0.28068, 53.30333"
1644,5,53.31106,0.27815,8,"0.27815, 53.31106"
1871,5,53.27071,0.0999,4,"0.0999, 53.27071"
1908,5,53.16041,0.25016,5,"0.25016, 53.16041"
1909,5,53.15931,0.25701,5,"0.25701, 53.15931"
2501,5,53.28343,-0.00103,4,"-0.00103, 53.28343"
2690,5,53.18556,0.34947,4,"0.34947, 53.18556"
2691,5,53.18902,0.34978,5,"0.34978, 53.18902"
2849,5,53.1347,0.08704,6,"0.08704, 53.1347"
2909,5,53.18375,0.05264,4,"0.05264, 53.18375"
3091,5,53.14485,0.34507,4,"0.34507, 53.14485"
3263,5,53.24256,0.11371,21,"0.11371, 53.24256"
3270,5,53.14901,0.04786,5,"0.04786, 53.14901"
3490,5,53.19349,-0.07682,4,"-0.07682, 53.19349"
3873,5,53.25897,0.3015,4,"0.3015, 53.25897"
3971,5,53.26525,0.31043,4,"0.31043, 53.26525"
4341,5,53.10515,0.23474,38,"0.23474, 53.10515"
4465,5,53.18133,0.349,18,"0.349, 53.18133"
4479,5,53.15052,0.0832,6,"0.0832, 53.15052"
4499,5,53.07034,0.1844,4,"0.1844, 53.07034"
4500,5,53.08098,0.14922,4,"0.14922, 53.08098"
4501,5,53.07426,0.20846,9,"0.20846, 53.07426"
4502,5,53.07527,0.17989,4,"0.17989, 53.07527"
4910,5,53.42191,0.18639,4,"0.18639, 53.42191"
4971,5,53.21273,-0.14581,4,"-0.14581, 53.21273"
4973,5,53.19245,0.34928,5,"0.34928, 53.19245"
5079,5,53.21074,-0.07807,6,"-0.07807, 53.21074"
5160,5,53.2605,-0.06407,4,"-0.06407, 53.2605"
5245,5,53.32847,-0.0189,4,"-0.0189, 53.32847"
5771,5,53.21279,0.32454,6,"0.32454, 53.21279"
5774,5,53.22445,0.32784,10,"0.32784, 53.22445"
5778,5,53.22653,0.33643,4,"0.33643, 53.22653"
6738,5,53.24096,-0.05097,4,"-0.05097, 53.24096"
6742,5,53.30101,0.28795,6,"0.28795, 53.30101"
6881,5,53.37853,0.02037,8,"0.02037, 53.37853"
7036,5,53.38441,-0.20205,8,"-0.20205, 53.38441"
7037,5,53.26834,-0.03898,4,"-0.03898, 53.26834"
7038,5,53.2599,0.17056,4,"0.17056, 53.2599"
7467,5,53.18477,0.15649,5,"0.15649, 53.18477"
