node,layer,lat,lon,degree,geometry
4341,4,53.10515,0.23474,38,"0.23474, 53.10515"
4465,4,53.18133,0.349,18,"0.349, 53.18133"
20743,4,53.31196,0.28201,14,"0.28201, 53.31196"
24910,4,53.26468,0.26743,19,"0.26743, 53.26468"
26236,4,53.19264,0.3348,18,"0.3348, 53.19264"
29414,4,53.14308,0.3339,53,"0.3339, 53.14308"
37590,4,53.22678,0.29896,20,"0.29896, 53.22678"
45796,4,53.3398,0.26035,20,"0.26035, 53.3398"
84057,4,53.20855,-0.11638,40,"-0.11638, 53.20855"
245334,4,53.36692,2e-04,37,"2e-04, 53.36692"
258736,4,53.22454,0.33636,22,"0.33636, 53.22454"
