ori_node,des_node,ori_layer,des_layer,minutes,km
18990,79636,5,5,1,0.34
18990,137524,5,5,1,0.333
37490,37490,5,5,1,0
37490,68529,5,5,2,0.471
37490,111019,5,5,2,0.459
37490,117424,5,5,3,0.477
37490,120925,5,5,1,0.446
37490,121171,5,5,2,0.492
37490,129073,5,5,1,0.491
37490,181774,5,5,13,0.464
37490,181775,5,5,1,0.725
37490,203960,5,5,3,0.624
37490,203966,5,5,1,0.482
37490,242971,5,5,1,0.445
37490,242972,5,5,3,1.367
39182,56052,5,5,2,2.337
47427,76627,5,5,10,7.02
47427,194251,5,5,1,0.297
47427,194252,5,5,1,0.34
47427,258554,5,5,1,0.768
47740,158954,5,5,5,2.597
51313,96085,5,5,2,0.89
52154,52159,5,5,1,0.305
52155,52154,5,5,1,0.255
52159,61906,5,5,1,0.207
55428,65017,5,5,1,0.138
55428,206953,5,5,1,0.62
55432,55428,5,5,3,1.691
55432,137517,5,5,8,2.854
55432,147504,5,5,3,1.423
55432,206442,5,5,2,1.449
56052,39182,5,5,3,2.337
56052,242973,5,5,9,4.409
58884,209438,5,5,3,1.607
60350,260612,5,5,1,0.162
61906,55432,5,5,1,0.438
61907,243229,5,5,1,0.124
65017,65019,5,5,1,0.208
65019,129069,5,5,5,2.064
65019,137517,5,5,2,1.109
66549,88783,5,5,8,2.922
66551,88789,5,5,1,0.606
66554,88786,5,5,1,0.335
68524,215256,5,5,1,0.193
68525,155212,5,5,2,0.888
68526,212632,5,5,1,0.313
68527,155205,5,5,1,0.077
68528,68527,5,5,2,0.896
68529,37490,5,5,1,0.471
68529,129072,5,5,1,0.45
68529,181775,5,5,1,0.362
68529,201862,5,5,1,0.582
68529,242976,5,5,5,2.455
68530,165014,5,5,3,1.075
72872,230489,5,5,4,2.211
74854,135269,5,5,1,0.318
76624,96079,5,5,8,6.594
76624,243433,5,5,3,2.745
76625,194257,5,5,2,1.082
76626,232845,5,5,5,5.467
76626,241252,5,5,5,2.253
76627,105816,5,5,3,2.344
76628,76625,5,5,5,2.264
78168,253545,5,5,7,3.214
78169,154079,5,5,3,3.213
78171,135268,5,5,1,0.26
78172,145280,5,5,1,0.444
79636,137525,5,5,2,0.689
88783,98403,5,5,1,0.186
88784,88785,5,5,1,0.175
88785,66551,5,5,7,2.888
88785,118016,5,5,5,2.844
88786,66549,5,5,1,0.249
88789,126588,5,5,1,0.218
88790,66554,5,5,1,0.174
93584,250149,5,5,5,3.273
93653,117426,5,5,4,1.461
93653,136989,5,5,1,1.041
93653,181781,5,5,1,0.889
96079,96081,5,5,1,0.578
96080,96086,5,5,3,0.577
96081,243434,5,5,1,0.348
96082,76627,5,5,9,6.326
96082,105817,5,5,14,10.546
96082,111274,5,5,1,0.097
96085,47427,5,5,2,0.755
96086,76627,5,5,8,6.593
97857,97866,5,5,1,0.164
97857,192702,5,5,8,4.537
97858,123561,5,5,5,2.941
97858,192702,5,5,8,4.526
97859,97857,5,5,4,2.931
97859,97858,5,5,4,2.939
97859,107556,5,5,5,2.956
97860,192702,5,5,10,5.861
97861,97864,5,5,1,0.223
97861,97865,5,5,2,2.027
97862,97857,5,5,9,5.504
97862,97859,5,5,4,2.584
97863,97858,5,5,1,0.17
97864,97862,5,5,1,0.225
97866,107556,5,5,1,0.187
98394,88784,5,5,6,3.644
98402,131073,5,5,1,0.555
98403,98402,5,5,4,3.616
100229,249014,5,5,1,0.72
100429,100431,5,5,1,0.521
100431,137398,5,5,1,0.568
105816,105817,5,5,2,2.098
105817,131073,5,5,6,4.423
105817,243432,5,5,5,3.969
105818,205025,5,5,3,2.081
107555,97863,5,5,1,0.195
107555,123561,5,5,7,2.94
107556,192702,5,5,8,4.5
108122,118020,5,5,1,0.083
108123,88783,5,5,10,2.855
108123,118026,5,5,1,0.502
108124,108123,5,5,1,0.304
111014,117421,5,5,1,0.285
111014,181777,5,5,1,0.356
111014,203964,5,5,1,0.042
111014,207504,5,5,1,0.051
111016,111014,5,5,5,0.239
111016,117422,5,5,1,0.414
111016,203965,5,5,1,0.223
111017,117426,5,5,1,0.094
111019,37490,5,5,1,0.459
111019,181775,5,5,1,0.366
111274,96080,5,5,1,0.169
111274,96086,5,5,3,0.718
111486,121503,5,5,1,0.508
111486,121510,5,5,1,0.701
117418,225188,5,5,2,1.488
117419,117426,5,5,1,0.717
117419,181781,5,5,2,1.392
117421,117427,5,5,1,0.459
117422,120925,5,5,4,0.371
117422,181779,5,5,1,0.359
117422,242972,5,5,5,0.919
117423,111014,5,5,1,0.249
117423,203964,5,5,4,0.292
117424,37490,5,5,1,0.477
117424,117423,5,5,2,0.336
117424,181775,5,5,1,0.36
117425,117418,5,5,1,1.031
117426,111016,5,5,1,0.504
117426,117428,5,5,1,0.454
117427,111017,5,5,1,0.085
117427,117425,5,5,1,0.716
117427,153666,5,5,3,3.622
117428,111016,5,5,1,0.05
117428,203965,5,5,1,0.272
118016,118017,5,5,1,0.312
118019,118021,5,5,1,0.33
118020,88790,5,5,1,0.226
118021,118024,5,5,1,0.283
118022,108122,5,5,1,0.27
118022,118020,5,5,1,0.344
118023,118022,5,5,1,0.237
118024,118025,5,5,1,0.393
118025,118016,5,5,1,0.503
118026,118023,5,5,1,0.433
118634,230489,5,5,5,2.161
120925,37490,5,5,1,0.446
120925,117423,5,5,5,0.32
120925,181775,5,5,1,0.369
120925,191550,5,5,2,0.344
