node,layer,lat,lon,degree,geometry
18990,2,53.91727,-2.01124,12,"-2.01124, 53.91727"
37490,2,53.9587,-2.02588,52,"-2.02588, 53.9587"
47427,2,54.06692,-2.28071,22,"-2.28071, 54.06692"
47740,2,54.20585,-2.36085,12,"-2.36085, 54.20585"
51313,2,54.06167,-2.30399,10,"-2.30399, 54.06167"
119254,2,54.1494,-2.30203,4,"-2.30203, 54.1494"
129469,2,54.01685,-2.25559,6,"-2.25559, 54.01685"
140648,2,54.01087,-2.22784,10,"-2.22784, 54.01087"
141379,2,54.1158,-2.51091,4,"-2.51091, 54.1158"
142324,2,53.97842,-2.10516,4,"-2.10516, 53.97842"
171241,2,54.1054,-2.40984,4,"-2.40984, 54.1054"
