node,layer,lat,lon,degree,geometry
0,5,51.40078,-0.46353,6,"-0.46353, 51.40078"
6,5,51.44995,-0.41833,4,"-0.41833, 51.44995"
38,5,51.54389,-0.37527,4,"-0.37527, 51.54389"
63,5,51.4708,-0.27344,4,"-0.27344, 51.4708"
153,5,51.5031,-0.42067,29,"-0.42067, 51.5031"
160,5,51.44714,-0.47804,5,"-0.47804, 51.44714"
171,5,51.61194,-0.43065,4,"-0.43065, 51.61194"
235,5,51.45835,-0.35187,4,"-0.35187, 51.45835"
275,5,51.49039,-0.45774,4,"-0.45774, 51.49039"
276,5,51.48966,-0.47452,4,"-0.47452, 51.48966"
298,5,51.48615,-0.29824,6,"-0.29824, 51.48615"
330,5,51.53505,-0.36166,4,"-0.36166, 51.53505"
355,5,51.47243,-0.32809,6,"-0.32809, 51.47243"
364,5,51.50856,-0.74149,4,"-0.74149, 51.50856"
472,5,51.43702,-0.51809,5,"-0.51809, 51.43702"
506,5,51.37641,-0.32766,2,"-0.32766, 51.37641"
548,5,51.38918,-0.4158,5,"-0.4158, 51.38918"
675,5,51.52966,-0.4486,4,"-0.4486, 51.52966"
690,5,51.4553,-0.35372,6,"-0.35372, 51.4553"
727,5,51.44961,-0.35768,26,"-0.35768, 51.44961"
793,5,51.42588,-0.37224,5,"-0.37224, 51.42588"
807,5,51.35542,-0.51391,4,"-0.51391, 51.35542"
808,5,51.60057,-0.40945,17,"-0.40945, 51.60057"
828,5,51.47348,-0.60814,4,"-0.60814, 51.47348"
857,5,51.43164,-0.31082,5,"-0.31082, 51.43164"
881,5,51.51802,-0.76773,4,"-0.76773, 51.51802"
899,5,51.49681,-0.40089,6,"-0.40089, 51.49681"
917,5,51.43269,-0.45142,4,"-0.45142, 51.43269"
966,5,51.48334,-0.73258,10,"-0.73258, 51.48334"
967,5,51.47898,-0.73954,7,"-0.73954, 51.47898"
968,5,51.47379,-0.74303,4,"-0.74303, 51.47379"
969,5,51.47002,-0.74335,7,"-0.74335, 51.47002"
970,5,51.46222,-0.74311,6,"-0.74311, 51.46222"
998,5,51.50807,-0.54175,20,"-0.54175, 51.50807"
1025,5,51.58371,-0.40896,4,"-0.40896, 51.58371"
1043,5,51.60572,-0.47281,4,"-0.47281, 51.60572"
1046,5,51.50202,-0.36857,4,"-0.36857, 51.50202"
1054,5,51.4913,-0.38135,4,"-0.38135, 51.4913"
1083,5,51.57726,-0.37813,5,"-0.37813, 51.57726"
1084,5,51.37,-0.36467,7,"-0.36467, 51.37"
1114,5,51.57843,-0.43037,6,"-0.43037, 51.57843"
1197,5,51.47831,-0.56313,4,"-0.56313, 51.47831"
1198,5,51.47999,-0.56517,4,"-0.56517, 51.47999"
1200,5,51.48413,-0.56536,4,"-0.56536, 51.48413"
1233,5,51.39169,-0.31973,4,"-0.31973, 51.39169"
1266,5,51.44956,-0.47069,4,"-0.47069, 51.44956"
1271,5,51.58553,-0.40537,4,"-0.40537, 51.58553"
1488,5,51.37131,-0.28395,4,"-0.28395, 51.37131"
1498,5,51.52584,-0.48275,4,"-0.48275, 51.52584"
1499,5,51.54225,-0.3672,4,"-0.3672, 51.54225"
1502,5,51.46856,-0.32543,4,"-0.32543, 51.46856"
1518,5,51.56398,-0.36548,5,"-0.36548, 51.56398"
1558,5,51.59538,-0.48256,4,"-0.48256, 51.59538"
1577,5,51.49875,-0.70479,8,"-0.70479, 51.49875"
1580,5,51.50441,-0.46031,4,"-0.46031, 51.50441"
1765,5,51.51585,-0.74293,6,"-0.74293, 51.51585"
1782,5,51.4434,-0.39492,4,"-0.39492, 51.4434"
1801,5,51.43101,-0.30706,4,"-0.30706, 51.43101"
1835,5,51.53312,-0.46766,4,"-0.46766, 51.53312"
1837,5,51.48611,-0.29965,4,"-0.29965, 51.48611"
1965,5,51.52051,-0.7214,51,"-0.7214, 51.52051"
1967,5,51.61684,-0.51242,4,"-0.51242, 51.61684"
1971,5,51.62698,-0.5065,4,"-0.5065, 51.62698"
1973,5,51.62001,-0.51504,4,"-0.51504, 51.62001"
1974,5,51.62452,-0.50882,10,"-0.50882, 51.62452"
1997,5,51.46888,-0.42082,4,"-0.42082, 51.46888"
2022,5,51.52779,-0.4742,4,"-0.4742, 51.52779"
2035,5,51.45112,-0.47454,4,"-0.47454, 51.45112"
2085,5,51.57216,-0.40538,4,"-0.40538, 51.57216"
2097,5,51.41275,-0.30117,45,"-0.30117, 51.41275"
2107,5,51.56534,-0.37532,4,"-0.37532, 51.56534"
2113,5,51.41054,-0.55675,4,"-0.55675, 51.41054"
2126,5,51.37324,-0.47385,5,"-0.47385, 51.37324"
2139,5,51.42904,-0.53184,4,"-0.53184, 51.42904"
2172,5,51.42658,-0.52859,6,"-0.52859, 51.42658"
2323,5,51.384,-0.38714,6,"-0.38714, 51.384"
2363,5,51.60949,-0.43127,4,"-0.43127, 51.60949"
2374,5,51.43963,-0.35941,6,"-0.35941, 51.43963"
