ori_node,des_node,ori_layer,des_layer,minutes,km
808,2656,3,3,2,1.528
808,12953,3,3,2,2.128
2656,808,3,3,2,1.528
10756,24315,3,3,2,1.667
10756,40447,3,3,1,1.708
12868,13248,3,3,3,2.097
12953,808,3,3,3,2.128
12953,46226,3,3,2,1.57
13248,12868,3,3,3,2.097
13248,26703,3,3,2,1.066
15613,30971,3,3,3,1.817
15613,42919,3,3,2,1.135
19699,33810,3,3,4,1.93
24315,10756,3,3,2,1.667
26703,13248,3,3,2,1.066
26703,26837,3,3,3,1.733
26837,26703,3,3,2,1.733
26837,42919,3,3,1,0.649
29096,30971,3,3,3,1.718
29096,35633,3,3,2,1.354
30971,15613,3,3,2,1.817
30971,29096,3,3,3,1.718
30971,39205,3,3,2,1.324
32891,40849,3,3,2,0.941
32891,42870,3,3,1,0.73
32901,34515,3,3,4,2.642
32901,42870,3,3,2,1.4
33810,19699,3,3,3,1.93
33908,44493,3,3,2,2.119
34515,32901,3,3,3,2.642
34515,42649,3,3,2,3.279
35633,29096,3,3,2,1.354
39205,30971,3,3,2,1.324
39205,42596,3,3,2,1.133
40447,10756,3,3,2,1.708
40447,49583,3,3,2,2.319
40849,32891,3,3,2,0.941
40849,47677,3,3,3,2.47
42596,39205,3,3,2,1.133
42596,46226,3,3,3,1.861
42649,34515,3,3,3,3.279
42649,42649,3,3,3,0
42870,32891,3,3,1,0.73
42870,32901,3,3,2,1.4
42919,15613,3,3,2,1.135
42919,26837,3,3,1,0.649
44493,33908,3,3,2,2.119
44493,49583,3,3,1,0.896
46226,12953,3,3,2,1.57
46226,42596,3,3,3,1.861
47677,40849,3,3,3,2.47
49583,40447,3,3,2,2.319
49583,44493,3,3,1,0.896
