node,layer,lat,lon,degree,geometry
153,2,51.5031,-0.42067,29,"-0.42067, 51.5031"
727,2,51.44961,-0.35768,26,"-0.35768, 51.44961"
998,2,51.50807,-0.54175,20,"-0.54175, 51.50807"
1965,2,51.52051,-0.7214,51,"-0.7214, 51.52051"
2097,2,51.41275,-0.30117,45,"-0.30117, 51.41275"
4392,2,51.37305,-0.48445,20,"-0.48445, 51.37305"
5044,2,51.51188,-0.5915,57,"-0.5915, 51.51188"
5746,2,51.53302,-0.72847,25,"-0.72847, 51.53302"
6771,2,51.5235,-0.64637,26,"-0.64637, 51.5235"
7332,2,51.40196,-0.56222,22,"-0.56222, 51.40196"
10367,2,51.57884,-0.49743,27,"-0.49743, 51.57884"
10756,2,51.54234,-0.34584,27,"-0.34584, 51.54234"
11652,2,51.42448,-0.33271,25,"-0.33271, 51.42448"
12686,2,51.51006,-0.47223,23,"-0.47223, 51.51006"
13247,2,51.37293,-0.41463,23,"-0.41463, 51.37293"
16498,2,51.43394,-0.34947,20,"-0.34947, 51.43394"
17425,2,51.45524,-0.3202,20,"-0.3202, 51.45524"
18397,2,51.46195,-0.36228,22,"-0.36228, 51.46195"
19026,2,51.43246,-0.50316,38,"-0.50316, 51.43246"
19234,2,51.43897,-0.33936,20,"-0.33936, 51.43897"
19330,2,51.40256,-0.34275,32,"-0.34275, 51.40256"
19333,2,51.48179,-0.32484,22,"-0.32484, 51.48179"
19699,2,51.47708,-0.28505,32,"-0.28505, 51.47708"
20201,2,51.4191,-0.42104,30,"-0.42104, 51.4191"
20325,2,51.38717,-0.50967,19,"-0.50967, 51.38717"
21047,2,51.46809,-0.26711,19,"-0.26711, 51.46809"
21316,2,51.39681,-0.44678,16,"-0.44678, 51.39681"
21696,2,51.46516,-0.28788,22,"-0.28788, 51.46516"
24798,2,51.41236,-0.28403,29,"-0.28403, 51.41236"
26104,2,51.42099,-0.40974,14,"-0.40974, 51.42099"
26116,2,51.38901,-0.33901,19,"-0.33901, 51.38901"
27567,2,51.45771,-0.54192,16,"-0.54192, 51.45771"
28558,2,51.41453,-0.31249,21,"-0.31249, 51.41453"
29165,2,51.55755,-0.35947,33,"-0.35947, 51.55755"
30035,2,51.39905,-0.28071,14,"-0.28071, 51.39905"
30231,2,51.41594,-0.37211,19,"-0.37211, 51.41594"
31170,2,51.5806,-0.51778,12,"-0.51778, 51.5806"
31583,2,51.37698,-0.3898,17,"-0.3898, 51.37698"
33810,2,51.46306,-0.30156,40,"-0.30156, 51.46306"
33908,2,51.56976,-0.43776,37,"-0.43776, 51.56976"
34524,2,51.50851,-0.50672,12,"-0.50672, 51.50851"
35134,2,51.39246,-0.30396,49,"-0.30396, 51.39246"
35243,2,51.37686,-0.27946,23,"-0.27946, 51.37686"
35633,2,51.55847,-0.3358,36,"-0.3358, 51.55847"
36251,2,51.43651,-0.46806,16,"-0.46806, 51.43651"
37275,2,51.37989,-0.35333,22,"-0.35333, 51.37989"
37571,2,51.46719,-0.56066,20,"-0.56066, 51.46719"
39978,2,51.36404,-0.3007,14,"-0.3007, 51.36404"
40298,2,51.48308,-0.57942,24,"-0.57942, 51.48308"
40508,2,51.45003,-0.3304,29,"-0.3304, 51.45003"
40654,2,51.36121,-0.34824,16,"-0.34824, 51.36121"
41825,2,51.48952,-0.28711,32,"-0.28711, 51.48952"
42596,2,51.57926,-0.33699,52,"-0.33699, 51.57926"
42649,2,51.47177,-0.46991,202,"-0.46991, 51.47177"
43092,2,51.48327,-0.61037,36,"-0.61037, 51.48327"
43501,2,51.47477,-0.33691,22,"-0.33691, 51.47477"
44502,2,51.48755,-0.30965,27,"-0.30965, 51.48755"
45767,2,51.4479,-0.40983,33,"-0.40983, 51.4479"
46232,2,51.50596,-0.37861,18,"-0.37861, 51.50596"
46470,2,51.52356,-0.68137,17,"-0.68137, 51.52356"
48635,2,51.37664,-0.34194,19,"-0.34194, 51.37664"
49314,2,51.42965,-0.54651,24,"-0.54651, 51.42965"
49583,2,51.55693,-0.39925,41,"-0.39925, 51.55693"
50054,2,51.53376,-0.33671,20,"-0.33671, 51.53376"
50355,2,51.41307,-0.4309,19,"-0.4309, 51.41307"
133356,2,51.38517,-0.59457,4,"-0.59457, 51.38517"
172415,2,51.4711,-0.4533,3,"-0.4533, 51.4711"
