ori_node,des_node,ori_layer,des_layer,minutes,km
885,885,5,5,1,0
885,53719,5,5,2,0.743
885,114590,5,5,1,0.438
885,177279,5,5,6,3.908
1236,1236,5,5,1,0
1236,57000,5,5,1,0.762
1236,66622,5,5,1,0.508
1236,76197,5,5,1,0.371
1236,144702,5,5,10,3.684
1236,249906,5,5,2,0.749
1236,249911,5,5,1,0.657
3108,3108,5,5,1,0
3108,32014,5,5,3,1.487
3108,64508,5,5,2,0.715
3108,157413,5,5,1,0.749
3108,255882,5,5,1,0.462
3108,260467,5,5,3,1.882
3348,3348,5,5,1,0
3348,167025,5,5,1,0.342
3348,177086,5,5,2,1.01
3348,178547,5,5,1,0.312
3348,178548,5,5,2,1.066
3348,207684,5,5,1,0.345
3348,207685,5,5,1,0.461
4352,4352,5,5,1,0
4352,247391,5,5,1,0.168
4352,257218,5,5,1,0.856
4454,78275,5,5,2,0.733
4454,144139,5,5,2,0.804
5290,52496,5,5,1,0.323
5290,236842,5,5,1,0.442
5290,246751,5,5,1,0.398
9915,41278,5,5,1,0.605
9915,152215,5,5,1,0.208
9915,228980,5,5,1,0.602
11927,11927,5,5,1,0
11927,73566,5,5,28,10.557
11927,161939,5,5,8,3.22
11927,162461,5,5,1,0.911
11927,181629,5,5,8,4.947
11927,194249,5,5,1,0.523
12155,18526,5,5,34,5.756
12155,80039,5,5,2,0.546
12247,187096,5,5,3,1.725
12247,193216,5,5,1,0.875
12247,193484,5,5,4,1.465
12247,233976,5,5,1,0.271
17744,12247,5,5,1,0.864
17744,125499,5,5,3,1.581
17744,258663,5,5,11,10.054
18526,12155,5,5,20,5.756
18526,18526,5,5,1,0
18526,78325,5,5,2,0.819
18526,88031,5,5,3,0.894
18526,97670,5,5,1,0.616
19967,19967,5,5,1,0
19967,54551,5,5,1,0.494
19967,94759,5,5,1,0.338
19967,175397,5,5,1,0.603
19967,192937,5,5,1,0.592
19967,198731,5,5,1,0.419
19967,202733,5,5,2,0.875
19967,257407,5,5,1,0.515
21036,21036,5,5,1,0
21036,152227,5,5,1,0.471
21036,162075,5,5,1,0.566
23302,168401,5,5,1,0.393
23302,168405,5,5,1,0.461
23302,217253,5,5,5,0.574
24822,135486,5,5,4,2.024
24822,145491,5,5,1,1.164
24822,185704,5,5,4,0.944
24822,197028,5,5,3,1.788
24822,238740,5,5,4,0.941
25994,25994,5,5,1,0
25994,97663,5,5,1,0.506
