node,layer,lat,lon,degree,geometry
885,5,51.18239,-1.26068,15,"-1.26068, 51.18239"
1236,5,50.96924,-1.35009,33,"-1.35009, 50.96924"
3108,5,50.91149,-1.43385,20,"-1.43385, 50.91149"
3348,5,50.89891,-1.37706,30,"-1.37706, 50.89891"
4352,5,50.9691,-1.58668,14,"-1.58668, 50.9691"
4454,5,51.02181,-1.3282,12,"-1.3282, 51.02181"
5290,5,50.87485,-1.34177,18,"-1.34177, 50.87485"
9915,5,50.82217,-1.57182,15,"-1.57182, 50.82217"
11927,5,50.95022,-1.36006,49,"-1.36006, 50.95022"
12155,5,50.78469,-1.61001,14,"-1.61001, 50.78469"
12247,5,50.91801,-1.48214,20,"-1.48214, 50.91801"
17744,5,50.91993,-1.47017,14,"-1.47017, 50.91993"
18526,5,50.7609,-1.53717,19,"-1.53717, 50.7609"
19967,5,50.983,-1.3844,23,"-1.3844, 50.983"
21036,5,50.93231,-1.29451,14,"-1.29451, 50.93231"
23302,5,50.87136,-1.32917,13,"-1.32917, 50.87136"
24822,5,51.03379,-1.54672,20,"-1.54672, 51.03379"
25994,5,50.75623,-1.55046,18,"-1.55046, 50.75623"
27487,5,50.94114,-1.37641,21,"-1.37641, 50.94114"
27511,5,50.9168,-1.25881,15,"-1.25881, 50.9168"
28490,5,50.91821,-1.377,17,"-1.377, 50.91821"
29705,5,50.74488,-1.58634,16,"-1.58634, 50.74488"
30825,5,50.72527,-1.59149,14,"-1.59149, 50.72527"
30994,5,50.88984,-1.52664,15,"-1.52664, 50.88984"
32014,5,50.90744,-1.4136,82,"-1.4136, 50.90744"
33547,5,50.8707,-1.3993,15,"-1.3993, 50.8707"
36610,5,50.93746,-1.39183,13,"-1.39183, 50.93746"
36860,5,50.89674,-1.36492,18,"-1.36492, 50.89674"
37700,5,51.06721,-1.3197,34,"-1.3197, 51.06721"
38338,5,50.87228,-1.57169,16,"-1.57169, 50.87228"
38356,5,50.87566,-1.26586,22,"-1.26586, 50.87566"
41096,5,50.99252,-1.49315,20,"-1.49315, 50.99252"
41278,5,50.81683,-1.57354,30,"-1.57354, 50.81683"
47257,5,50.89504,-1.4058,38,"-1.4058, 50.89504"
49945,5,50.88438,-1.30528,12,"-1.30528, 50.88438"
51990,5,50.89838,-1.44651,2,"-1.44651, 50.89838"
52111,5,50.91462,-1.33109,2,"-1.33109, 50.91462"
52112,5,50.9143,-1.3309,2,"-1.3309, 50.9143"
52226,5,50.99253,-1.48182,3,"-1.48182, 50.99253"
52496,5,50.87635,-1.33781,2,"-1.33781, 50.87635"
52504,5,50.88073,-1.34898,2,"-1.34898, 50.88073"
52683,5,51.07907,-1.32994,2,"-1.32994, 51.07907"
52684,5,51.07971,-1.33028,3,"-1.33028, 51.07971"
52685,5,51.08214,-1.33372,3,"-1.33372, 51.08214"
52686,5,51.08225,-1.33383,2,"-1.33383, 51.08225"
52687,5,51.0849,-1.33566,3,"-1.33566, 51.0849"
52688,5,51.08484,-1.33542,3,"-1.33542, 51.08484"
52689,5,51.08313,-1.33911,2,"-1.33911, 51.08313"
52690,5,51.08312,-1.33927,2,"-1.33927, 51.08312"
52693,5,51.07781,-1.33521,2,"-1.33521, 51.07781"
52694,5,51.07835,-1.33203,2,"-1.33203, 51.07835"
53012,5,50.93098,-1.39983,2,"-1.39983, 50.93098"
53013,5,50.93066,-1.39895,2,"-1.39895, 50.93066"
53014,5,50.92996,-1.3962,2,"-1.3962, 50.92996"
53015,5,50.92999,-1.39661,2,"-1.39661, 50.92999"
53016,5,50.93119,-1.39139,2,"-1.39139, 50.93119"
53017,5,50.93106,-1.39115,2,"-1.39115, 50.93106"
53018,5,50.92958,-1.39076,4,"-1.39076, 50.92958"
53019,5,50.92872,-1.39088,3,"-1.39088, 50.92872"
53114,5,50.89785,-1.39979,5,"-1.39979, 50.89785"
53561,5,50.94499,-1.16766,2,"-1.16766, 50.94499"
53719,5,51.1885,-1.25632,2,"-1.25632, 51.1885"
53720,5,51.18845,-1.25616,2,"-1.25616, 51.18845"
53721,5,51.15692,-1.23755,2,"-1.23755, 51.15692"
53723,5,51.14151,-1.2508,3,"-1.2508, 51.14151"
53724,5,51.14146,-1.25098,3,"-1.25098, 51.14146"
53756,5,50.88986,-1.44439,2,"-1.44439, 50.88986"
53758,5,50.89735,-1.4499,3,"-1.4499, 50.89735"
53760,5,50.89529,-1.44694,2,"-1.44694, 50.89529"
53778,5,50.87419,-1.57629,3,"-1.57629, 50.87419"
53779,5,50.87662,-1.57696,2,"-1.57696, 50.87662"
53780,5,50.87696,-1.57717,2,"-1.57717, 50.87696"
53781,5,50.87958,-1.5774,2,"-1.5774, 50.87958"
53782,5,50.87958,-1.57731,3,"-1.57731, 50.87958"
53783,5,50.88916,-1.57843,3,"-1.57843, 50.88916"
53784,5,50.88916,-1.57833,3,"-1.57833, 50.88916"
53785,5,50.90382,-1.63622,2,"-1.63622, 50.90382"
53786,5,50.90446,-1.63566,2,"-1.63566, 50.90446"
54091,5,50.93736,-1.37665,2,"-1.37665, 50.93736"
54258,5,51.09345,-1.25639,2,"-1.25639, 51.09345"
54259,5,51.09317,-1.25393,2,"-1.25393, 51.09317"
54260,5,51.09328,-1.25375,2,"-1.25375, 51.09328"
54261,5,51.09283,-1.23796,2,"-1.23796, 51.09283"
54263,5,51.0934,-1.26461,2,"-1.26461, 51.0934"
54264,5,51.09328,-1.26456,2,"-1.26456, 51.09328"
54267,5,51.09364,-1.22762,2,"-1.22762, 51.09364"
54353,5,50.83038,-1.39067,2,"-1.39067, 50.83038"
54551,5,50.98602,-1.3792,2,"-1.3792, 50.98602"
54553,5,51.10026,-1.40008,4,"-1.40008, 51.10026"
54554,5,51.10014,-1.40003,2,"-1.40003, 51.10014"
55016,5,51.06196,-1.30999,2,"-1.30999, 51.06196"
55017,5,51.062,-1.30995,4,"-1.30995, 51.062"
55074,5,51.01859,-1.31783,2,"-1.31783, 51.01859"
55124,5,50.92232,-1.41504,3,"-1.41504, 50.92232"
55323,5,50.91829,-1.43789,2,"-1.43789, 50.91829"
55404,5,50.96734,-1.44526,3,"-1.44526, 50.96734"
55405,5,50.96624,-1.44508,3,"-1.44508, 50.96624"
55407,5,51.07621,-1.34064,2,"-1.34064, 51.07621"
55408,5,51.07651,-1.34092,2,"-1.34092, 51.07651"
55409,5,51.08494,-1.38943,2,"-1.38943, 51.08494"
55411,5,51.10979,-1.05174,2,"-1.05174, 51.10979"
55412,5,51.10981,-1.0516,2,"-1.0516, 51.10981"
55541,5,50.92718,-1.32318,3,"-1.32318, 50.92718"
55542,5,50.9646,-1.30363,2,"-1.30363, 50.9646"
55543,5,50.96471,-1.30359,2,"-1.30359, 50.96471"
55544,5,50.97268,-1.38165,3,"-1.38165, 50.97268"
55616,5,51.07791,-1.34314,3,"-1.34314, 51.07791"
55786,5,50.83969,-1.38872,2,"-1.38872, 50.83969"
55787,5,50.83754,-1.38657,2,"-1.38657, 50.83754"
55788,5,50.84395,-1.39264,2,"-1.39264, 50.84395"
55789,5,50.83975,-1.38896,2,"-1.38896, 50.83975"
55790,5,50.84708,-1.39362,4,"-1.39362, 50.84708"
55791,5,50.84395,-1.39275,2,"-1.39275, 50.84395"
55792,5,50.84757,-1.39442,4,"-1.39442, 50.84757"
55793,5,50.84764,-1.394,4,"-1.394, 50.84764"
55796,5,50.83469,-1.384,3,"-1.384, 50.83469"
55797,5,50.83429,-1.38341,3,"-1.38341, 50.83429"
55950,5,51.05604,-1.33817,2,"-1.33817, 51.05604"
55951,5,51.05612,-1.33833,2,"-1.33833, 51.05612"
55952,5,51.05658,-1.34001,2,"-1.34001, 51.05658"
55953,5,51.05561,-1.34285,2,"-1.34285, 51.05561"
55954,5,51.05389,-1.34086,3,"-1.34086, 51.05389"
55955,5,51.05321,-1.33622,3,"-1.33622, 51.05321"
55956,5,51.05258,-1.33714,2,"-1.33714, 51.05258"
55957,5,51.05132,-1.33893,2,"-1.33893, 51.05132"
55958,5,51.05043,-1.34266,2,"-1.34266, 51.05043"
56999,5,50.97053,-1.35432,2,"-1.35432, 50.97053"
57000,5,50.97003,-1.36093,2,"-1.36093, 50.97003"
57001,5,50.97002,-1.3603,2,"-1.3603, 50.97002"
57002,5,50.97107,-1.36573,3,"-1.36573, 50.97107"
57003,5,50.97101,-1.36525,3,"-1.36525, 50.97101"
57004,5,50.96485,-1.36831,2,"-1.36831, 50.96485"
57005,5,50.96491,-1.36943,3,"-1.36943, 50.96491"
57340,5,50.83205,-1.42993,2,"-1.42993, 50.83205"
57341,5,50.83204,-1.42986,2,"-1.42986, 50.83204"
57342,5,50.83736,-1.42756,3,"-1.42756, 50.83736"
57343,5,50.83736,-1.42763,3,"-1.42763, 50.83736"
57344,5,50.82324,-1.43865,3,"-1.43865, 50.82324"
57345,5,50.82328,-1.43872,3,"-1.43872, 50.82328"
57346,5,50.82766,-1.43184,2,"-1.43184, 50.82766"
57347,5,50.82765,-1.43177,2,"-1.43177, 50.82765"
57348,5,50.8207,-1.4442,2,"-1.4442, 50.8207"
57349,5,50.82061,-1.44467,2,"-1.44467, 50.82061"
57443,5,51.02507,-1.46672,3,"-1.46672, 51.02507"
57444,5,51.00426,-1.4726,4,"-1.4726, 51.00426"
