node,layer,lat,lon,degree,geometry
4352,4,50.9691,-1.58668,14,"-1.58668, 50.9691"
9915,4,50.82217,-1.57182,15,"-1.57182, 50.82217"
25994,4,50.75623,-1.55046,18,"-1.55046, 50.75623"
29705,4,50.74488,-1.58634,16,"-1.58634, 50.74488"
30825,4,50.72527,-1.59149,14,"-1.59149, 50.72527"
32014,4,50.90744,-1.4136,82,"-1.4136, 50.90744"
36610,4,50.93746,-1.39183,13,"-1.39183, 50.93746"
38338,4,50.87228,-1.57169,16,"-1.57169, 50.87228"
47257,4,50.89504,-1.4058,38,"-1.4058, 50.89504"
90989,4,51.05229,-1.30433,13,"-1.30433, 51.05229"
183240,4,50.937,-1.40667,9,"-1.40667, 50.937"
183241,4,50.93682,-1.40647,9,"-1.40647, 50.93682"
202758,4,50.93813,-1.39598,12,"-1.39598, 50.93813"
203771,4,50.90242,-1.40542,15,"-1.40542, 50.90242"
217660,4,51.06125,-1.30946,21,"-1.30946, 51.06125"
240455,4,50.90802,-1.40168,10,"-1.40168, 50.90802"
244423,4,50.90235,-1.40559,11,"-1.40559, 50.90235"
