ori_node,des_node,ori_layer,des_layer,minutes,km
885,37700,2,2,8,13.433
1236,4454,2,2,6,6.033
1236,11927,2,2,3,2.223
1236,19967,2,2,5,2.843
1236,21036,2,2,5,5.65
1236,27511,2,2,12,8.641
1236,32014,2,2,12,8.174
1236,37700,2,2,8,11.082
3108,17744,2,2,3,2.709
3108,32014,2,2,2,1.487
3348,5290,2,2,4,3.639
3348,28490,2,2,3,2.142
3348,32014,2,2,9,2.728
3348,36860,2,2,2,0.883
3348,38356,2,2,8,8.205
3348,240914,2,2,4,2.69
4454,1236,2,2,5,6.033
4454,37700,2,2,4,5.075
5290,3348,2,2,4,3.639
5290,23302,2,2,2,0.964
5290,36860,2,2,4,2.921
5290,38356,2,2,8,5.319
11927,1236,2,2,3,2.223
11927,27487,2,2,2,1.524
11927,32014,2,2,6,6.049
11927,37700,2,2,7,13.291
11927,240914,2,2,4,3.667
12155,41278,2,2,5,4.391
12247,17744,2,2,2,0.864
12247,30994,2,2,4,4.414
12247,32014,2,2,5,4.939
12247,41278,2,2,10,12.931
17744,3108,2,2,2,2.709
17744,12247,2,2,2,0.864
17744,41096,2,2,7,8.218
18526,41278,2,2,8,6.714
19967,1236,2,2,5,2.843
19967,41096,2,2,7,7.673
21036,1236,2,2,6,5.65
21036,27511,2,2,3,3.034
23302,5290,2,2,2,0.964
23302,49945,2,2,3,2.211
24822,41096,2,2,5,5.916
27487,11927,2,2,2,1.524
27487,240914,2,2,1,2.249
27511,21036,2,2,4,3.034
28490,3348,2,2,3,2.142
28490,240914,2,2,2,0.872
30994,12247,2,2,4,4.414
30994,41278,2,2,8,8.747
30994,99538,2,2,4,4.156
32014,1236,2,2,9,8.174
32014,3108,2,2,2,1.487
32014,3348,2,2,9,2.728
32014,11927,2,2,6,6.049
32014,12247,2,2,5,4.939
32014,38356,2,2,17,10.932
32014,41096,2,2,10,10.963
32014,41278,2,2,13,15.061
32014,240914,2,2,5,2.439
36860,3348,2,2,2,0.883
36860,5290,2,2,4,2.921
37700,885,2,2,7,13.433
37700,1236,2,2,8,11.082
37700,4454,2,2,4,5.075
37700,11927,2,2,7,13.291
38356,3348,2,2,9,8.205
38356,5290,2,2,6,5.319
38356,32014,2,2,17,10.932
38356,49945,2,2,3,2.926
41096,17744,2,2,7,8.218
41096,19967,2,2,5,7.673
41096,24822,2,2,5,5.916
41096,32014,2,2,10,10.963
41278,12155,2,2,4,4.391
41278,12247,2,2,10,12.931
41278,18526,2,2,8,6.714
41278,30994,2,2,7,8.747
41278,32014,2,2,12,15.061
41278,99538,2,2,5,6.423
49945,23302,2,2,3,2.211
49945,38356,2,2,4,2.926
99538,30994,2,2,4,4.156
99538,41278,2,2,6,6.423
240914,3348,2,2,5,2.69
240914,27487,2,2,3,2.249
240914,28490,2,2,2,0.872
240914,32014,2,2,4,2.439
240914,38356,2,2,13,9.977
