node,layer,lat,lon,degree,geometry
497,5,51.46278,0.36901,4,"0.36901, 51.46278"
557,5,51.56312,0.67126,12,"0.67126, 51.56312"
558,5,51.55977,0.68671,10,"0.68671, 51.55977"
559,5,51.55691,0.70083,13,"0.70083, 51.55691"
560,5,51.56573,0.69541,4,"0.69541, 51.56573"
561,5,51.57172,0.66485,4,"0.66485, 51.57172"
562,5,51.56747,0.67614,6,"0.67614, 51.56747"
604,5,51.52065,0.4313,4,"0.4313, 51.52065"
693,5,51.61502,0.71734,4,"0.71734, 51.61502"
694,5,51.61528,0.74395,6,"0.74395, 51.61528"
695,5,51.61722,0.7503,4,"0.7503, 51.61722"
696,5,51.59452,0.68351,4,"0.68351, 51.59452"
697,5,51.59581,0.68766,4,"0.68766, 51.59581"
698,5,51.59565,0.69296,5,"0.69296, 51.59565"
699,5,51.61359,0.70668,4,"0.70668, 51.61359"
702,5,51.6166,0.75435,4,"0.75435, 51.6166"
703,5,51.61295,0.76259,7,"0.76259, 51.61295"
1033,5,51.56876,0.43693,4,"0.43693, 51.56876"
1041,5,51.60913,0.55177,6,"0.55177, 51.60913"
1316,5,51.53307,0.47283,4,"0.47283, 51.53307"
1563,5,51.601,0.69494,4,"0.69494, 51.601"
1578,5,51.60336,0.69369,4,"0.69369, 51.60336"
1588,5,51.54333,0.7224,5,"0.7224, 51.54333"
1590,5,51.55401,0.72112,4,"0.72112, 51.55401"
1808,5,51.59746,0.42533,4,"0.42533, 51.59746"
1809,5,51.59339,0.42948,4,"0.42948, 51.59339"
1812,5,51.60378,0.42458,6,"0.42458, 51.60378"
1813,5,51.60569,0.42747,6,"0.42747, 51.60569"
1814,5,51.61729,0.4318,4,"0.4318, 51.61729"
1815,5,51.61434,0.43153,4,"0.43153, 51.61434"
1816,5,51.62621,0.42846,6,"0.42846, 51.62621"
1817,5,51.62335,0.43056,5,"0.43056, 51.62335"
1818,5,51.58906,0.43106,6,"0.43106, 51.58906"
2062,5,51.53474,0.45171,5,"0.45171, 51.53474"
2367,5,51.55014,0.46543,4,"0.46543, 51.55014"
2393,5,51.48189,0.42349,2,"0.42349, 51.48189"
2586,5,51.52109,0.43636,4,"0.43636, 51.52109"
2660,5,51.46236,0.35404,15,"0.35404, 51.46236"
2791,5,51.5251,0.46127,4,"0.46127, 51.5251"
3337,5,51.53607,0.4717,4,"0.4717, 51.53607"
