node,layer,lat,lon,degree,geometry
31,5,52.74535,-0.13235,10,"-0.13235, 52.74535"
40,5,52.73743,-0.12752,8,"-0.12752, 52.73743"
239,5,52.77286,0.13543,4,"0.13543, 52.77286"
241,5,52.78415,0.11524,7,"0.11524, 52.78415"
726,5,52.83708,-0.1442,15,"-0.1442, 52.83708"
854,5,52.69904,-0.05054,4,"-0.05054, 52.69904"
943,5,52.80437,0.06217,4,"0.06217, 52.80437"
950,5,52.80519,0.05286,4,"0.05286, 52.80519"
1117,5,52.90511,-0.20446,10,"-0.20446, 52.90511"
1370,5,52.78762,-0.26329,6,"-0.26329, 52.78762"
1645,5,52.77325,0.17335,4,"0.17335, 52.77325"
1646,5,52.7721,0.17769,4,"0.17769, 52.7721"
2027,5,52.79785,0.07929,12,"0.07929, 52.79785"
2875,5,52.84266,0.16787,4,"0.16787, 52.84266"
2877,5,52.84018,0.17325,4,"0.17325, 52.84018"
2941,5,52.80347,0.0181,14,"0.0181, 52.80347"
3178,5,52.78813,-0.1394,9,"-0.1394, 52.78813"
3179,5,52.78387,-0.15155,4,"-0.15155, 52.78387"
3181,5,52.78614,-0.14423,8,"-0.14423, 52.78614"
3182,5,52.77863,-0.15573,4,"-0.15573, 52.77863"
3183,5,52.77511,-0.16077,7,"-0.16077, 52.77511"
3184,5,52.78072,-0.16616,8,"-0.16616, 52.78072"
3185,5,52.77645,-0.16478,4,"-0.16478, 52.77645"
3187,5,52.77689,-0.1576,16,"-0.1576, 52.77689"
3188,5,52.79094,-0.13942,4,"-0.13942, 52.79094"
3315,5,52.79333,0.05848,2,"0.05848, 52.79333"
3439,5,52.86247,-0.20995,4,"-0.20995, 52.86247"
3441,5,52.88323,-0.23781,4,"-0.23781, 52.88323"
3442,5,52.88085,-0.21383,4,"-0.21383, 52.88085"
3531,5,52.80462,0.06784,13,"0.06784, 52.80462"
3749,5,52.84894,0.14404,4,"0.14404, 52.84894"
3781,5,52.66565,-0.0028,10,"-0.0028, 52.66565"
3855,5,52.7851,0.12306,4,"0.12306, 52.7851"
3857,5,52.6801,-0.15827,4,"-0.15827, 52.6801"
3858,5,52.67313,-0.1683,4,"-0.1683, 52.67313"
3859,5,52.6771,-0.16691,4,"-0.16691, 52.6771"
3874,5,52.80806,0.01157,4,"0.01157, 52.80806"
4462,5,52.87878,-0.13465,6,"-0.13465, 52.87878"
5330,5,52.78481,-0.145,5,"-0.145, 52.78481"
5331,5,52.79297,-0.1679,4,"-0.1679, 52.79297"
5332,5,52.79269,-0.17073,4,"-0.17073, 52.79269"
5597,5,52.79869,0.08893,12,"0.08893, 52.79869"
5989,5,52.78365,-0.16934,4,"-0.16934, 52.78365"
