ori_node,des_node,ori_layer,des_layer,minutes,km
3,15114,5,5,10,8.225
3,19361,5,5,12,6.1
3,25442,5,5,1,0.247
3,36978,5,5,1,0.36
3,135038,5,5,3,0.312
170,10285,5,5,1,0.108
170,20623,5,5,9,5.585
170,200585,5,5,2,1.145
399,15214,5,5,1,0.212
399,32449,5,5,3,2.904
1715,17998,5,5,5,2.952
1715,24071,5,5,9,4.692
2395,14614,5,5,1,0.267
2395,41366,5,5,1,0.817
2395,86052,5,5,1,0.109
2399,41366,5,5,1,0.648
2399,48108,5,5,1,0.391
2720,20729,5,5,2,1.545
2720,29718,5,5,4,2.953
2720,33023,5,5,3,3.332
3144,17852,5,5,1,0.207
3144,30736,5,5,1,0.075
3144,48103,5,5,5,3.682
3144,127071,5,5,1,0.069
4235,11095,5,5,1,0.727
4235,33869,5,5,1,0.811
4699,15669,5,5,4,8.772
4735,32520,5,5,1,0.613
4735,37483,5,5,1,0.519
5284,17852,5,5,1,0.157
5284,30737,5,5,1,0.305
5284,39515,5,5,3,2.103
5284,239920,5,5,4,2.016
5304,10006,5,5,1,0.05
5304,37541,5,5,1,0.316
5304,174529,5,5,1,0.231
6090,19358,5,5,1,0.402
6090,203922,5,5,1,0.68
6379,31458,5,5,1,0.269
6934,12810,5,5,3,2.657
6934,21537,5,5,3,1.826
6934,40557,5,5,1,0.636
6934,40561,5,5,1,0.755
6934,134897,5,5,1,0.774
7004,36031,5,5,1,0.273
7004,49069,5,5,1,0.31
7130,14294,5,5,1,0.793
7130,40652,5,5,1,0.123
7130,87571,5,5,8,5.774
7434,39572,5,5,4,1.589
7555,10285,5,5,1,0.365
7555,26744,5,5,2,1.308
7555,209062,5,5,3,1.928
8008,36504,5,5,1,0.226
8008,241349,5,5,1,0.124
8065,48354,5,5,1,0.233
8065,49069,5,5,3,0.289
8065,50312,5,5,1,0.387
8065,125013,5,5,1,0.154
8458,20623,5,5,1,0.735
8458,26735,5,5,1,0.199
8458,211706,5,5,2,0.972
8774,181144,5,5,5,2.088
8774,181149,5,5,6,1.761
9038,30736,5,5,1,0.136
9038,30737,5,5,1,0.203
9177,93543,5,5,1,0.844
9177,132545,5,5,1,0.485
9341,15383,5,5,5,2.209
9341,27595,5,5,1,1.723
9341,50499,5,5,1,0.699
9723,10006,5,5,1,0.29
10006,5304,5,5,1,0.05
10006,9723,5,5,1,0.29
10006,41030,5,5,3,2.251
10285,170,5,5,1,0.108
10285,7555,5,5,1,0.365
10285,20623,5,5,9,5.687
10492,16836,5,5,1,0.353
10492,41029,5,5,1,0.432
10492,77720,5,5,1,0.205
10492,123173,5,5,1,0.591
10492,256032,5,5,1,0.35
11000,33049,5,5,4,1.95
11000,50499,5,5,1,0.516
11000,115516,5,5,1,0.354
11000,222186,5,5,1,0.068
11095,4235,5,5,2,0.727
11095,15727,5,5,1,0.315
11095,115996,5,5,1,0.288
11095,231524,5,5,2,0.585
11095,261491,5,5,2,0.549
11097,15727,5,5,1,0.323
11097,233274,5,5,1,0.307
11154,27494,5,5,1,0.16
12131,36996,5,5,5,1.878
12131,48460,5,5,1,0.358
12131,87571,5,5,2,1.615
12810,6934,5,5,3,2.657
12810,50499,5,5,7,6.216
12810,56358,5,5,3,3.169
12815,50838,5,5,1,1.723
12815,181150,5,5,1,1.301
13322,13418,5,5,1,0.273
13322,29718,5,5,2,1.599
13322,39136,5,5,1,1.824
13418,13322,5,5,1,0.273
13418,71080,5,5,1,0.62
13418,242952,5,5,1,0.621
13853,23544,5,5,1,0.3
13853,41716,5,5,1,0.26
13869,25452,5,5,1,0.184
13869,37486,5,5,1,0.103
13869,248246,5,5,1,0.104
13884,6090,5,5,6,4.248
13884,19361,5,5,1,0.367
14294,7130,5,5,1,0.793
14294,33023,5,5,1,0.278
14294,40652,5,5,1,0.916
14342,44154,5,5,2,0.673
14342,49069,5,5,2,2.431
14465,21178,5,5,3,1.486
14465,37756,5,5,1,0.581
14465,47621,5,5,1,1.478
14614,2395,5,5,1,0.267
14614,21572,5,5,1,0.277
14614,86052,5,5,1,0.282
14732,24093,5,5,6,2.556
14732,32520,5,5,1,0.437
14742,21902,5,5,1,0.45
14742,215105,5,5,3,1.403
14973,25456,5,5,7,2.626
14973,48106,5,5,1,0.322
14973,48107,5,5,1,0.326
14973,49290,5,5,4,5.054
14973,203925,5,5,3,2.191
14973,251544,5,5,2,1.059
15114,3,5,5,10,8.225
15114,20155,5,5,1,0.151
15114,39136,5,5,1,0.237
15114,44992,5,5,1,0.296
15214,399,5,5,1,0.212
15214,19361,5,5,1,0.138
15214,41533,5,5,1,0.177
15298,15870,5,5,1,1.113
15298,36978,5,5,1,0.237
15383,9341,5,5,5,2.209
15383,37541,5,5,1,0.635
15669,4699,5,5,5,8.772
15669,30810,5,5,6,10.517
15669,257489,5,5,3,2.702
15670,27244,5,5,2,3.2
15670,48103,5,5,1,0.253
15727,11095,5,5,1,0.315
15727,11097,5,5,1,0.323
15870,15298,5,5,2,1.113
15870,36996,5,5,1,0.519
15870,50838,5,5,1,0.469
16831,38531,5,5,1,0.448
16831,47517,5,5,1,0.236
16831,49290,5,5,1,0.248
16831,62057,5,5,1,0.456
16831,257030,5,5,1,0.264
16833,16834,5,5,1,0.396
