ori_node,des_node,ori_layer,des_layer,minutes,km
2518,179074,5,5,10,4.764
2518,248331,5,5,9,4.779
5178,87262,5,5,1,1.239
5178,95018,5,5,3,0.675
5178,163824,5,5,5,2.447
5178,193983,5,5,1,0.269
5178,215068,5,5,1,0.354
5178,221524,5,5,5,3.836
13816,173801,5,5,2,0.464
15978,77577,5,5,6,5.409
15978,257422,5,5,2,1.066
16118,168288,5,5,4,5.396
16118,193096,5,5,1,0.455
16118,217766,5,5,3,2.7
18150,18150,5,5,2,0
18150,106681,5,5,3,2.562
18150,116475,5,5,10,5.671
18150,221525,5,5,5,6.206
21667,166643,5,5,1,0.415
22552,64977,5,5,1,0.382
28035,56519,5,5,3,2.763
28035,58690,5,5,9,8.632
28035,79311,5,5,1,0.302
28035,136794,5,5,5,3.636
28035,222454,5,5,6,4.81
29956,29956,5,5,1,0
29956,173589,5,5,2,1.369
29956,183370,5,5,2,1.658
29956,183373,5,5,1,0.351
44151,75503,5,5,1,0.39
44151,237782,5,5,1,0.303
44151,247724,5,5,1,0.508
45702,142400,5,5,1,0.397
45702,217058,5,5,1,0.403
45702,249336,5,5,1,0.333
47220,169075,5,5,2,0.975
47220,179074,5,5,1,0.227
47220,248330,5,5,1,0.005
47793,47793,5,5,1,0
47793,66344,5,5,1,0.68
47793,73732,5,5,5,1.204
47793,104669,5,5,3,0.485
47793,134056,5,5,1,0.251
47793,163824,5,5,2,0.322
47793,221612,5,5,1,0.26
50956,97011,5,5,1,0.353
50956,106670,5,5,6,4.15
50956,106675,5,5,1,0.353
50956,147840,5,5,1,0.148
50956,221524,5,5,1,0.219
50957,97005,5,5,1,0.321
50957,97008,5,5,1,0.424
50957,97009,5,5,1,0.323
50957,221930,5,5,1,0.31
50957,237785,5,5,7,1.229
51062,223251,5,5,1,1.098
51062,231323,5,5,2,0.569
51062,241105,5,5,2,1.982
51062,241106,5,5,3,1.975
51441,104994,5,5,1,0.659
51441,240243,5,5,1,0.299
52307,159503,5,5,4,3.928
52478,81414,5,5,6,2.447
52479,255720,5,5,3,1.581
52481,146797,5,5,1,0.364
52483,156720,5,5,3,1.055
52484,258137,5,5,1,0.408
52484,258142,5,5,3,0.4
55392,58783,5,5,2,0.546
55392,249337,5,5,1,0.188
56406,56411,5,5,2,0.607
56407,257572,5,5,1,0.205
56408,56407,5,5,1,0.32
56409,56410,5,5,1,0.328
56409,56412,5,5,2,0.611
56410,56414,5,5,1,0.642
56411,56409,5,5,3,0.61
56412,56408,5,5,2,0.594
56413,56409,5,5,1,0.342
56414,134765,5,5,1,0.396
56414,134774,5,5,2,0.284
56517,106674,5,5,2,0.917
56518,221525,5,5,1,0.274
56519,79309,5,5,1,0.816
56519,146798,5,5,5,4.398
56520,47220,5,5,3,1.071
56520,169075,5,5,2,0.441
58057,47793,5,5,1,0.683
58057,104669,5,5,2,1.103
58057,163824,5,5,1,0.884
58059,87267,5,5,1,0.312
58064,164083,5,5,1,0.318
58256,91584,5,5,2,1.347
58257,248331,5,5,1,0.427
58258,58256,5,5,1,0.336
58258,75605,5,5,1,0.259
58258,75606,5,5,1,0.28
58258,248333,5,5,1,0.291
58690,47793,5,5,2,0.468
58690,59941,5,5,7,4.8
58690,66344,5,5,1,1.083
58783,174181,5,5,6,2.145
58783,233093,5,5,1,0.036
58783,249338,5,5,1,0.472
59941,59946,5,5,1,0.23
59941,121897,5,5,3,1.576
59943,59941,5,5,1,0.475
59944,69557,5,5,2,0.919
59944,181428,5,5,1,0.099
59945,165812,5,5,2,0.828
59946,121912,5,5,1,0.534
59947,59941,5,5,1,0.259
59950,132432,5,5,1,0.282
59951,59950,5,5,1,0.525
59951,102503,5,5,2,0.776
60953,202868,5,5,1,0.726
64977,225566,5,5,1,0.179
66031,140105,5,5,1,0.464
66031,235205,5,5,2,0.895
66032,166642,5,5,1,0.074
66034,66032,5,5,1,0.22
66034,193985,5,5,1,0.428
66039,75502,5,5,1,0.302
66039,237787,5,5,1,0.321
66040,66039,5,5,1,0.107
66040,253167,5,5,1,0.285
66137,137867,5,5,3,2.172
66138,241308,5,5,1,0.292
66344,87263,5,5,1,0.398
66344,104684,5,5,1,0.247
66368,174181,5,5,3,0.641
68003,256430,5,5,2,0.537
68646,194820,5,5,3,1.692
68646,195825,5,5,1,1.048
69387,104936,5,5,1,0.429
69547,69558,5,5,1,0.675
69548,69549,5,5,1,0.433
69549,69552,5,5,3,1.045
69550,69547,5,5,2,0.482
69552,58690,5,5,5,1.613
69553,79307,5,5,1,0.499
69554,156721,5,5,1,0.267
69557,69548,5,5,2,0.717
69558,59943,5,5,2,0.953
69642,105503,5,5,1,0.194
71537,124485,5,5,1,0.21
71537,124487,5,5,1,1.202
73730,5178,5,5,1,0.576
73730,193983,5,5,2,0.46
73730,205410,5,5,2,0.438
73730,215068,5,5,1,0.524
73731,95016,5,5,1,0.359
73731,95018,5,5,1,0.099
73731,163826,5,5,3,0.605
73732,134059,5,5,1,0.701
73732,215622,5,5,2,0.476
73732,241312,5,5,4,1.588
73732,246040,5,5,1,0.406
73732,246042,5,5,1,0.165
74083,195785,5,5,1,0.182
74086,186083,5,5,1,1.491
74088,74089,5,5,1,0.323
74088,166520,5,5,6,2.715
74088,166522,5,5,10,3.125
74088,195782,5,5,5,1.459
74088,197503,5,5,5,1.512
74089,195781,5,5,1,0.508
74419,133251,5,5,1,0.2
74419,225566,5,5,1,0.232
74421,66034,5,5,1,0.113
75498,198922,5,5,1,0.218
75499,147841,5,5,1,0.276
75500,75498,5,5,1,0.298
75500,237785,5,5,1,0.107
75501,234034,5,5,2,0.731
75502,237785,5,5,3,0.85
75502,237787,5,5,1,0.025
75502,237788,5,5,1,0.237
75503,75505,5,5,1,0.229
75505,75499,5,5,1,0.302
75505,147838,5,5,1,0.211
75507,97007,5,5,1,0.403
75508,75507,5,5,1,0.711
75605,137920,5,5,2,0.896
75605,188202,5,5,1,0.663
75606,75605,5,5,1,0.383
75608,15978,5,5,1,0.773
75609,56520,5,5,1,0.145
77263,181000,5,5,1,0.489
77574,77576,5,5,2,1.407
77575,258136,5,5,3,2.183
77576,15978,5,5,6,5.45
77576,75608,5,5,8,4.834
77576,101880,5,5,6,5.414
77576,121923,5,5,6,5.802
77577,85347,5,5,1,0.639
77577,179074,5,5,7,4.418
77875,231321,5,5,6,2.588
77876,77878,5,5,2,0.57
77878,51062,5,5,2,0.581
79305,28035,5,5,4,3.146
79306,69554,5,5,1,0.367
79307,79308,5,5,1,0.51
79308,79305,5,5,1,0.419
79309,79306,5,5,1,0.558
79311,126907,5,5,2,1.683
79311,126916,5,5,2,1.746
79312,28035,5,5,1,0.323
79313,105003,5,5,1,0.583
80002,125942,5,5,4,0.853
80004,135789,5,5,6,2.475
81414,81415,5,5,4,1.223
81415,81417,5,5,2,1.401
81416,113643,5,5,7,1.415
81417,81418,5,5,7,2.837
81418,81419,5,5,7,1.846
81419,185101,5,5,13,5.322
81420,81416,5,5,7,3.87
85347,77575,5,5,1,1.008
85435,95290,5,5,8,3.443
85479,95298,5,5,1,0.25
85484,177154,5,5,2,1.045
86027,185102,5,5,1,0.276
86028,86027,5,5,1,0.03
86028,86034,5,5,1,0.457
86028,105500,5,5,6,3.331
86028,168288,5,5,4,1.898
86028,185102,5,5,1,0.298
86029,16118,5,5,9,3.234
86029,159502,5,5,1,0.187
86030,86029,5,5,1,0.223
86031,86028,5,5,1,0.431
86031,185101,5,5,1,0.442
86032,86031,5,5,1,0.225
86033,86035,5,5,1,0.558
86034,81420,5,5,13,4.933
86034,86033,5,5,1,0.346
86035,168288,5,5,1,0.543
86188,259447,5,5,1,1.079
87003,221712,5,5,1,0.398
87004,96784,5,5,1,0.248
87005,87004,5,5,1,0.361
87006,131582,5,5,1,0.218
87007,87008,5,5,1,0.3
87007,132433,5,5,1,0.141
87008,87003,5,5,1,0.361
87012,190718,5,5,1,0.206
87013,87005,5,5,1,0.09
87262,97007,5,5,1,0.482
87263,95013,5,5,3,0.888
87263,191639,5,5,1,0.444
87263,205412,5,5,1,0.173
87263,215069,5,5,3,0.819
87264,58064,5,5,1,0.3
87264,175576,5,5,1,0.131
87264,203067,5,5,1,0.497
87265,58057,5,5,1,0.316
87266,58059,5,5,1,0.313
87267,58690,5,5,2,0.543
87267,104670,5,5,1,0.332
87267,174503,5,5,1,0.546
91086,154229,5,5,1,0.332
93037,104667,5,5,1,0.288
93037,104668,5,5,1,0.049
94836,113156,5,5,2,0.798
95012,134793,5,5,1,0.593
95012,217059,5,5,1,0.297
95013,5178,5,5,3,0.68
95013,73730,5,5,1,0.109
95016,95022,5,5,1,0.177
95017,95019,5,5,1,0.186
95018,87265,5,5,2,0.954
95018,95012,5,5,1,0.443
95019,73730,5,5,2,0.351
95019,163826,5,5,1,0.326
95020,95017,5,5,1,0.135
95021,163829,5,5,1,0.167
95021,241312,5,5,1,1.206
95022,95023,5,5,1,0.133
95023,95021,5,5,1,0.185
95288,95297,5,5,1,0.13
95288,156895,5,5,1,0.843
95289,95291,5,5,1,0.302
95289,156895,5,5,1,0.838
95290,95288,5,5,1,0.308
95290,222453,5,5,1,0.332
95291,95293,5,5,4,2.81
95291,126913,5,5,7,3.436
95292,95290,5,5,3,2.785
95292,216778,5,5,6,3.246
95293,95295,5,5,2,0.931
95294,95292,5,5,1,1.007
95295,134055,5,5,7,2.582
95295,136796,5,5,2,2.107
95297,128167,5,5,1,0.279
95298,95289,5,5,1,0.147
95835,95836,5,5,1,0.339
95836,185101,5,5,1,0.45
95837,95835,5,5,1,0.595
96752,116234,5,5,1,1.66
96783,96789,5,5,1,0.212
96784,87006,5,5,1,0.151
96787,96792,5,5,1,0.347
96787,97943,5,5,2,1.239
96787,207430,5,5,1,1.179
96788,96787,5,5,1,0.532
96789,114953,5,5,2,0.348
96790,142399,5,5,1,0.295
96792,96790,5,5,1,0.214
97004,75501,5,5,1,0.369
97004,97006,5,5,1,0.372
97005,50957,5,5,1,0.321
97005,97004,5,5,1,0.592
97005,221930,5,5,1,0.105
97006,5178,5,5,1,1.236
97006,205406,5,5,4,1.241
97006,215067,5,5,1,0.604
97007,97005,5,5,1,0.478
97008,50956,5,5,2,0.838
97008,97011,5,5,1,0.486
97008,208744,5,5,1,0.422
97009,97004,5,5,1,0.59
97010,50957,5,5,1,0.426
97011,50956,5,5,1,0.353
97011,97010,5,5,1,0.488
97943,190719,5,5,1,0.321
97953,126291,5,5,1,0.355
99637,58257,5,5,4,1.09
100685,196727,5,5,1,0.068
100685,255345,5,5,1,0.32
100686,100687,5,5,1,0.257
100687,114629,5,5,1,0.999
101878,77577,5,5,6,5.378
101880,52307,5,5,4,4.298
102503,59944,5,5,1,0.481
102503,59945,5,5,1,0.309
102503,104669,5,5,7,4.78
103866,163878,5,5,3,1.04
103866,175584,5,5,4,1.681
103866,205406,5,5,5,2.67
103867,175580,5,5,1,0.623
103868,59947,5,5,2,0.642
104667,95013,5,5,1,0.453
104668,104667,5,5,1,0.242
104669,28035,5,5,9,8.615
104669,47793,5,5,4,0.485
104669,66344,5,5,1,1.102
104669,87264,5,5,1,0.518
104669,134056,5,5,5,0.714
104669,146793,5,5,1,0.335
104669,161598,5,5,3,1.613
104670,104669,5,5,2,0.237
104671,174503,5,5,7,0.179
104684,134774,5,5,1,0.306
104684,134784,5,5,1,0.398
104687,104684,5,5,1,0.242
104846,111655,5,5,1,0.133
104929,193093,5,5,1,0.326
104932,104935,5,5,2,0.913
104933,165363,5,5,3,1.54
104934,104933,5,5,2,0.883
104934,104935,5,5,1,0.027
104935,134342,5,5,1,0.149
104936,104938,5,5,1,0.637
104936,114630,5,5,4,5.967
104937,104929,5,5,1,0.421
104938,104932,5,5,3,1.537
104987,51441,5,5,1,0.658
104994,134736,5,5,1,0.609
105003,104987,5,5,1,0.619
105026,134873,5,5,2,1.121
105043,79313,5,5,1,1.157
105043,217768,5,5,7,1.652
105498,95837,5,5,1,0.524
105498,159503,5,5,7,2.568
105498,185101,5,5,6,1.898
105498,193099,5,5,5,5.648
105503,105498,5,5,1,1.42
105503,185101,5,5,8,3.318
106447,106448,5,5,4,1.596
106448,106449,5,5,1,1.153
106449,96752,5,5,5,1.984
106449,116231,5,5,7,1.657
106449,116232,5,5,7,1.467
106450,173808,5,5,3,1.598
106451,96752,5,5,3,1.413
106451,106452,5,5,3,1.437
106451,116232,5,5,1,0.387
106452,106450,5,5,2,1.181
106670,18150,5,5,4,2.525
106671,106673,5,5,2,0.926
106673,56518,5,5,1,0.884
106674,175329,5,5,1,0.896
106675,97010,5,5,1,0.49
106675,157708,5,5,2,0.424
106675,157714,5,5,4,0.859
106681,50956,5,5,8,4.093
106681,106671,5,5,3,2.004
109409,87012,5,5,1,0.685
109409,207428,5,5,1,0.202
109412,152322,5,5,1,0.433
111655,47220,5,5,1,0.222
113149,77876,5,5,6,1.4
113151,241102,5,5,2,0.41
113152,231322,5,5,1,0.295
113154,113152,5,5,1,0.257
113156,113157,5,5,3,1.41
113157,200452,5,5,1,0.233
113643,113644,5,5,2,1.228
113644,52479,5,5,4,2.44
113689,193092,5,5,1,0.292
113689,193095,5,5,1,0.595
113690,193091,5,5,1,0.235
113691,87267,5,5,1,0.123
114629,104929,5,5,4,6.374
114629,216778,5,5,9,7.179
114630,222571,5,5,1,1.015
114631,68003,5,5,1,0.248
114941,207429,5,5,1,0.191
114953,114941,5,5,1,0.544
115154,95294,5,5,4,2.534
115154,134055,5,5,2,0.014
115155,58783,5,5,1,0.566
116227,226956,5,5,1,1.114
116228,116227,5,5,1,0.411
116229,116230,5,5,2,1.515
116230,135789,5,5,4,3.158
116231,116236,5,5,1,0.318
116232,116231,5,5,1,0.394
116233,106451,5,5,2,1.335
116233,106452,5,5,4,1.874
116233,116231,5,5,4,2.112
116233,116232,5,5,3,1.718
116234,116229,5,5,1,0.408
116235,96752,5,5,4,1.75
116235,106451,5,5,1,0.402
116236,116235,5,5,1,0.28
116474,235202,5,5,11,4.419
116504,44151,5,5,1,0.298
116989,116993,5,5,1,0.534
116989,202120,5,5,3,1.733
116993,202860,5,5,1,0.419
117003,116989,5,5,3,1.742
117003,216777,5,5,1,0.179
118325,185101,5,5,1,0.027
118326,194817,5,5,1,0.826
118326,194820,5,5,2,0.925
118327,258133,5,5,1,0.688
120332,47220,5,5,1,0.762
120332,104846,5,5,3,0.442
120332,165345,5,5,1,0.151
120932,259446,5,5,3,1.489
120933,152319,5,5,6,3.257
121897,77577,5,5,6,5.749
121897,165807,5,5,1,0.284
121897,165809,5,5,3,1.835
121897,261197,5,5,1,0.498
121912,174501,5,5,1,0.59
121912,225389,5,5,1,0.59
121912,255368,5,5,1,0.596
121923,102503,5,5,3,1.607
121923,121927,5,5,1,0.212
121927,59951,5,5,1,0.619
122818,113151,5,5,1,0.244
124485,154234,5,5,1,0.521
124487,137868,5,5,3,1.813
124488,124492,5,5,1,0.406
124489,71537,5,5,1,0.447
124490,124489,5,5,2,0.87
124492,129975,5,5,2,0.903
125942,125947,5,5,7,1.86
125943,80004,5,5,4,0.817
125944,125945,5,5,1,0.155
125945,125946,5,5,2,0.546
125945,215447,5,5,2,0.358
125946,125943,5,5,7,1.861
125946,135789,5,5,4,2.406
125947,125945,5,5,2,0.545
125948,116228,5,5,1,1.549
126280,97953,5,5,1,0.161
126280,194819,5,5,2,1.455
126280,239418,5,5,1,0.054
126284,239417,5,5,1,0.116
126288,217056,5,5,2,0.25
126288,239419,5,5,1,0.414
126291,174257,5,5,1,0.29
126907,79312,5,5,3,1.668
126907,126908,5,5,2,1.741
126907,126911,5,5,3,1.972
126908,126910,5,5,1,0.287
126908,126911,5,5,1,0.271
126909,126916,5,5,3,1.853
126910,85435,5,5,1,0.403
126911,126909,5,5,1,0.26
126911,126916,5,5,2,2.063
126911,174498,5,5,2,1.951
126913,126911,5,5,1,0.412
126915,136792,5,5,1,0.757
126916,126915,5,5,1,0.894
128167,95291,5,5,1,0.351
128167,128182,5,5,2,0.765
128182,128197,5,5,1,0.278
128197,259029,5,5,3,1.063
129964,124490,5,5,6,0.645
129964,134346,5,5,4,0.354
129964,134347,5,5,1,0.207
129964,154237,5,5,5,1.665
129975,134348,5,5,3,0.646
129975,134350,5,5,3,0.716
131582,87007,5,5,1,0.334
132432,59944,5,5,1,0.449
132433,96783,5,5,1,0.298
133251,22552,5,5,1,0.387
133251,64973,5,5,1,0.075
134051,73732,5,5,3,0.532
134051,215622,5,5,1,0.09
134052,144059,5,5,1,0.419
134052,144060,5,5,1,0.113
134055,174257,5,5,15,8.031
134055,216776,5,5,4,2.523
134056,134058,5,5,1,0.191
134056,134790,5,5,1,0.532
134056,144058,5,5,2,0.511
134057,47793,5,5,1,0.381
134058,134060,5,5,1,0.254
134059,134057,5,5,1,0.248
134059,134983,5,5,1,0.186
134059,156032,5,5,1,0.278
134060,73732,5,5,2,0.7
134060,215622,5,5,1,0.254
134341,210836,5,5,3,2.152
134342,134348,5,5,1,0.154
134343,134341,5,5,2,0.878
134344,202867,5,5,1,0.155
134346,85484,5,5,4,1.611
134346,124490,5,5,3,0.707
134346,154237,5,5,4,1.36
134347,104934,5,5,1,0.1
134348,134346,5,5,1,0.346
134350,129964,5,5,1,0.362
134736,105026,5,5,1,0.635
134765,58057,5,5,1,0.237
134765,134798,5,5,1,0.275
134774,134765,5,5,1,0.306
134774,134784,5,5,1,0.293
134774,163824,5,5,5,1.247
134774,197752,5,5,1,0.409
134774,205412,5,5,1,0.609
134784,56413,5,5,2,0.637
134790,93037,5,5,1,0.278
134790,104668,5,5,1,0.326
134790,168487,5,5,1,0.153
134793,47793,5,5,2,0.745
134793,144058,5,5,1,0.122
134798,134793,5,5,1,0.22
134873,137857,5,5,1,0.267
134983,156032,5,5,1,0.092
134985,207142,5,5,15,2.633
135782,138553,5,5,1,0.292
135783,135784,5,5,1,0.299
135783,138579,5,5,3,2.418
135784,135783,5,5,1,0.299
135785,135784,5,5,1,0.292
135785,164762,5,5,1,0.311
135788,135782,5,5,1,0.151
135789,135783,5,5,3,2.424
135789,135785,5,5,3,2.432
136787,155687,5,5,1,1.116
136788,136789,5,5,4,3.345
136789,136795,5,5,1,1.617
136790,136787,5,5,3,3.344
136791,126907,5,5,1,1
136791,174498,5,5,1,1.048
136792,136794,5,5,1,0.246
136792,145796,5,5,1,0.246
136792,145798,5,5,2,0.71
136794,145798,5,5,1,0.464
136795,95294,5,5,3,2.115
136796,136790,5,5,2,1.63
137857,241313,5,5,1,0.628
137867,137869,5,5,1,0.245
137868,66138,5,5,2,2.19
137869,251259,5,5,1,0.638
137920,258137,5,5,1,0.172
138553,154946,5,5,1,0.287
138562,135784,5,5,1,0.343
138579,80002,5,5,6,2.438
138579,125947,5,5,4,2.418
138579,125948,5,5,4,3.133
140105,66039,5,5,1,0.368
142397,114631,5,5,1,0.247
142398,174250,5,5,1,0.191
142399,96784,5,5,1,0.102
142400,221711,5,5,1,0.226
144055,144056,5,5,1,0.257
144056,175583,5,5,1,0.302
144057,217059,5,5,1,0.475
144058,163819,5,5,1,0.16
144059,47793,5,5,1,0.725
144059,134790,5,5,1,0.127
144060,144061,5,5,1,0.171
144061,144059,5,5,1,0.199
144279,136791,5,5,1,0.747
144308,144315,5,5,2,0.503
144308,173870,5,5,1,0.419
144309,144310,5,5,1,0.326
144310,189010,5,5,1,0.647
144311,144308,5,5,1,0.334
144312,91086,5,5,1,0.276
144312,154232,5,5,1,0.253
144314,144309,5,5,1,0.417
144315,144309,5,5,2,0.509
145792,145794,5,5,1,0.715
145793,145799,5,5,1,0.486
145794,155687,5,5,1,1.145
145795,145793,5,5,1,0.091
145796,145798,5,5,1,0.466
145797,158686,5,5,1,0.19
145798,145792,5,5,1,0.177
145799,28035,5,5,5,3.66
145799,144279,5,5,1,0.277
145799,145797,5,5,1,0.351
146793,113691,5,5,1,0.431
146793,146801,5,5,2,1.248
146794,146796,5,5,1,0.384
146796,146798,5,5,4,1.325
146797,232109,5,5,1,0.161
146798,175577,5,5,1,0.827
146798,203067,5,5,2,1.319
146799,232106,5,5,2,1.932
146801,52481,5,5,3,1.305
146801,79305,5,5,4,4.023
146801,156722,5,5,2,1.4
147837,75498,5,5,1,0.212
147837,161116,5,5,1,0.179
147837,237785,5,5,1,0.176
147838,147839,5,5,1,0.298
147839,50956,5,5,1,0.14
147840,147837,5,5,1,0.294
147841,97010,5,5,1,0.409
147841,157708,5,5,1,0.149
152319,152321,5,5,1,0.274
152320,120932,5,5,3,1.761
152321,245071,5,5,5,2.317
152322,166522,5,5,4,3.016
152323,186087,5,5,2,0.919
152582,152583,5,5,1,0.178
152583,210117,5,5,1,0.142
152586,152587,5,5,2,0.791
152587,221708,5,5,2,0.809
152588,152586,5,5,2,1.429
152589,221715,5,5,2,0.622
152589,241106,5,5,2,1.143
153837,164087,5,5,1,0.589
154004,163825,5,5,1,0.077
154005,154007,5,5,1,0.218
154007,163830,5,5,1,0.805
154007,241312,5,5,2,1.205
154007,246041,5,5,1,0.251
154008,246047,5,5,1,0.079
154229,154235,5,5,2,0.519
154230,154238,5,5,1,0.305
154232,134350,5,5,4,1.365
