ori_node,des_node,ori_layer,des_layer,minutes,km
251,12921,5,5,1,0.736
251,53845,5,5,1,0.168
251,201420,5,5,3,1.645
252,253,5,5,1,0.184
252,257,5,5,2,0.603
253,252,5,5,1,0.184
253,254,5,5,1,0.435
253,43151,5,5,3,1.859
253,94409,5,5,1,0.29
254,253,5,5,1,0.435
254,43673,5,5,3,1.147
254,94409,5,5,2,0.147
254,236815,5,5,1,0.105
256,251,5,5,1,0.331
256,244883,5,5,1,0.067
257,251,5,5,1,0.051
257,36979,5,5,1,0.237
257,38361,5,5,1,0.545
257,53845,5,5,1,0.219
314,3909,5,5,2,0.467
314,3916,5,5,1,0.163
344,7018,5,5,1,0.635
344,41358,5,5,1,0.881
737,739,5,5,1,0.383
737,33111,5,5,1,0.399
739,737,5,5,1,0.383
739,743,5,5,1,0.428
739,33111,5,5,1,0.767
740,741,5,5,1,0.47
740,25494,5,5,6,2.611
740,95356,5,5,1,0.336
741,740,5,5,1,0.47
741,744,5,5,1,0.43
741,13949,5,5,3,0.927
741,19739,5,5,1,0.309
743,739,5,5,1,0.428
743,744,5,5,1,0.341
743,46739,5,5,2,1.238
744,741,5,5,2,0.43
744,743,5,5,1,0.341
744,19747,5,5,1,0.394
819,26144,5,5,1,0.367
819,41197,5,5,1,0.477
1688,35654,5,5,1,0.546
1688,35656,5,5,7,2.275
1688,36894,5,5,1,0.252
1688,39490,5,5,3,0.861
1718,15410,5,5,1,0.356
1718,30210,5,5,1,0.203
2054,2054,5,5,1,0
2054,5036,5,5,1,0.473
2054,16670,5,5,4,1.199
2054,16674,5,5,2,1.126
2054,32034,5,5,1,0.399
2054,35875,5,5,1,0.846
2054,43390,5,5,1,0.216
2054,136300,5,5,11,6.454
2054,202269,5,5,1,0.425
2136,2138,5,5,1,0.154
2136,2142,5,5,1,0.4
2137,21277,5,5,1,0.165
2137,73957,5,5,2,0.708
2138,2136,5,5,1,0.154
2138,73957,5,5,1,0.302
2140,2142,5,5,2,0.431
2140,34540,5,5,2,0.812
2140,48562,5,5,1,0.549
2142,2136,5,5,1,0.4
2142,2140,5,5,1,0.431
2142,16708,5,5,1,0.192
2142,34540,5,5,2,0.597
2788,2789,5,5,1,0.212
2788,35193,5,5,1,0.306
2788,35196,5,5,1,0.408
2788,194122,5,5,1,0.223
2789,2788,5,5,1,0.212
2789,131563,5,5,1,0.568
2790,26614,5,5,1,0.612
2790,35196,5,5,1,0.389
2790,112013,5,5,3,0.756
2790,131563,5,5,1,0.536
2790,219058,5,5,1,0.517
2818,2820,5,5,1,0.446
2818,2824,5,5,1,0.17
2818,24936,5,5,8,7.524
2818,35227,5,5,1,0.672
2819,2820,5,5,1,0.251
2819,35221,5,5,1,0.484
2819,172284,5,5,1,0.295
2820,2818,5,5,1,0.446
2820,2819,5,5,1,0.251
2823,2824,5,5,1,0.517
2823,23740,5,5,1,0.197
2824,2818,5,5,1,0.17
2824,2823,5,5,1,0.517
3033,41358,5,5,1,0.55
3033,44589,5,5,1,0.449
3037,25493,5,5,2,1.467
3037,26196,5,5,1,0.477
3226,3229,5,5,1,0.634
3226,3231,5,5,2,1.271
3227,3231,5,5,1,0.37
3227,3232,5,5,1,0.964
3227,35653,5,5,10,2.438
3228,3229,5,5,1,0.359
3229,3226,5,5,1,0.634
3229,3228,5,5,1,0.359
3230,3235,5,5,1,0.305
3230,28337,5,5,1,0.637
3230,127970,5,5,6,3.288
3231,3226,5,5,2,1.271
3231,3227,5,5,1,0.37
3232,3227,5,5,2,0.964
3232,3235,5,5,2,1.042
3235,3230,5,5,1,0.305
3235,3232,5,5,2,1.042
3235,7185,5,5,5,2.732
3373,41353,5,5,1,0.158
3373,41354,5,5,1,0.157
3374,15413,5,5,1,0.383
3374,15414,5,5,1,0.151
3374,30607,5,5,4,2.339
3374,93417,5,5,5,2.007
3465,3467,5,5,1,0.387
3465,43393,5,5,1,0.391
3466,3467,5,5,1,0.299
3466,3469,5,5,1,0.216
3466,22556,5,5,1,0.307
3467,3465,5,5,1,0.387
3467,3466,5,5,1,0.299
3467,141713,5,5,1,0.282
3468,3470,5,5,1,0.333
3468,43392,5,5,1,0.356
3469,3466,5,5,1,0.216
3469,3470,5,5,1,0.102
3469,22556,5,5,1,0.297
3469,24168,5,5,3,0.892
3470,3468,5,5,1,0.333
3470,3469,5,5,1,0.102
3909,314,5,5,1,0.467
3909,8912,5,5,1,0.294
3909,8914,5,5,1,1.066
3909,28093,5,5,1,1.015
3909,31319,5,5,1,0.272
3910,3915,5,5,1,0.297
3910,11326,5,5,1,0.253
3910,21273,5,5,4,1.771
3913,3914,5,5,1,0.272
3913,31319,5,5,1,0.272
3914,3913,5,5,1,0.272
3914,3915,5,5,1,0.339
3914,28093,5,5,1,0.418
3915,3910,5,5,1,0.297
3915,3914,5,5,1,0.339
3915,3918,5,5,1,0.177
3915,203503,5,5,1,0.299
3916,314,5,5,1,0.163
3916,3918,5,5,1,0.319
3917,3918,5,5,1,0.328
3917,22975,5,5,1,0.241
3918,3915,5,5,1,0.177
3918,3916,5,5,1,0.319
3918,3917,5,5,1,0.328
4488,4490,5,5,2,0.357
4488,4495,5,5,6,3.493
4488,41888,5,5,1,0.352
4489,16052,5,5,4,1.634
4489,41902,5,5,4,2.558
4490,4488,5,5,1,0.357
4491,41902,5,5,5,2.801
4495,4488,5,5,6,3.493
4495,41999,5,5,2,0.802
4663,4663,5,5,1,0
4663,6120,5,5,1,0.802
4663,17129,5,5,1,0.599
4663,17130,5,5,1,0.682
4663,17131,5,5,1,0.608
4663,17132,5,5,1,0.685
4663,28092,5,5,3,1.341
4663,47080,5,5,1,0.743
4663,87015,5,5,1,0.332
4663,99641,5,5,1,0.514
4663,105444,5,5,2,1.016
4919,4919,5,5,1,0
4919,10892,5,5,1,0.78
4919,13951,5,5,1,1.015
4919,16011,5,5,3,1.624
4919,16016,5,5,3,2.406
4919,29498,5,5,1,0.631
4919,33110,5,5,1,0.88
4919,33111,5,5,1,1.198
4919,33113,5,5,2,1.225
4919,43308,5,5,1,0.693
4919,43393,5,5,23,9.105
4919,51072,5,5,2,1.294
4919,61918,5,5,1,0.918
4919,69619,5,5,1,0.303
4919,109606,5,5,2,0.896
4919,165485,5,5,22,12.384
4919,211788,5,5,1,0.607
4919,212618,5,5,2,0.677
5036,2054,5,5,2,0.473
5036,43390,5,5,2,0.475
5036,51104,5,5,2,0.552
5036,84332,5,5,1,0.205
5543,25488,5,5,2,0.974
5543,38845,5,5,4,2.7
5655,11436,5,5,1,0.377
5655,11438,5,5,3,0.763
5783,5784,5,5,1,0.252
5783,8303,5,5,1,1.544
5783,24939,5,5,1,0.47
5784,5783,5,5,1,0.252
5784,88217,5,5,2,0.57
5885,5890,5,5,1,0.227
5885,43673,5,5,1,0.629
5888,14497,5,5,1,0.227
5888,36071,5,5,1,0.101
5888,43673,5,5,1,0.814
5890,5885,5,5,1,0.227
5890,8397,5,5,1,0.256
