node,layer,lat,lon,degree,geometry
251,5,51.98491,-0.24705,8,"-0.24705, 51.98491"
252,5,51.98065,-0.25119,4,"-0.25119, 51.98065"
253,5,51.97905,-0.25191,8,"-0.25191, 51.97905"
254,5,51.97804,-0.24575,8,"-0.24575, 51.97804"
256,5,51.98419,-0.24235,4,"-0.24235, 51.98419"
257,5,51.98531,-0.24666,8,"-0.24666, 51.98531"
314,5,51.78848,-0.18495,4,"-0.18495, 51.78848"
344,5,51.83861,-0.20089,4,"-0.20089, 51.83861"
737,5,51.88886,-0.19731,4,"-0.19731, 51.88886"
739,5,51.88592,-0.19436,6,"-0.19436, 51.88592"
740,5,51.88903,-0.18798,7,"-0.18798, 51.88903"
741,5,51.88479,-0.18806,8,"-0.18806, 51.88479"
743,5,51.88287,-0.19053,6,"-0.19053, 51.88287"
744,5,51.88103,-0.18654,6,"-0.18654, 51.88103"
819,5,51.93022,-0.17451,4,"-0.17451, 51.93022"
1688,5,51.82833,-0.18226,8,"-0.18226, 51.82833"
1718,5,51.76503,-0.23728,4,"-0.23728, 51.76503"
2054,5,51.94945,-0.277,16,"-0.277, 51.94945"
2136,5,51.7736,-0.21904,4,"-0.21904, 51.7736"
2137,5,51.77369,-0.21169,4,"-0.21169, 51.77369"
2138,5,51.77484,-0.21801,4,"-0.21801, 51.77484"
2140,5,51.76794,-0.22016,6,"-0.22016, 51.76794"
2142,5,51.77125,-0.22346,8,"-0.22346, 51.77125"
2788,5,51.80171,-0.18102,7,"-0.18102, 51.80171"
2789,5,51.80226,-0.18399,5,"-0.18399, 51.80226"
2790,5,51.80606,-0.18183,9,"-0.18183, 51.80606"
2818,5,51.74296,-0.23385,12,"-0.23385, 51.74296"
2819,5,51.74922,-0.23469,6,"-0.23469, 51.74922"
2820,5,51.74697,-0.2343,4,"-0.2343, 51.74697"
2823,5,51.745,-0.2253,4,"-0.2253, 51.745"
2824,5,51.74239,-0.23154,4,"-0.23154, 51.74239"
3033,5,51.83546,-0.21827,4,"-0.21827, 51.83546"
3037,5,51.86464,-0.22172,4,"-0.22172, 51.86464"
3226,5,51.82406,-0.09876,4,"-0.09876, 51.82406"
3227,5,51.83871,-0.09955,6,"-0.09955, 51.83871"
3228,5,51.81543,-0.09674,4,"-0.09674, 51.81543"
3229,5,51.81835,-0.099,4,"-0.099, 51.81835"
3230,5,51.85696,-0.11048,6,"-0.11048, 51.85696"
