ori_node,des_node,ori_layer,des_layer,minutes,km
4663,4919,2,2,5,11.175
4663,39490,2,2,3,2.624
4663,48562,2,2,3,4.202
4919,4663,2,2,9,11.175
4919,27192,2,2,2,4.098
4919,28337,2,2,6,7.823
4919,43673,2,2,8,8.822
4919,51104,2,2,3,6.907
10348,4919,2,2,11,20.651
10348,22263,2,2,5,6.521
10348,51104,2,2,10,14.589
22263,10348,2,2,5,6.521
22263,51104,2,2,5,8.079
24938,48932,2,2,2,1.749
27192,4919,2,2,3,4.098
27192,39490,2,2,3,4.825
28337,4919,2,2,6,7.823
34828,43673,2,2,3,3.191
39490,4663,2,2,3,2.624
39490,4919,2,2,5,8.742
39490,27192,2,2,4,4.825
39490,51104,2,2,9,15.217
43673,22263,2,2,12,5.707
43673,34828,2,2,3,3.191
43673,51104,2,2,4,3.775
48562,4663,2,2,4,4.202
48562,24938,2,2,5,4.814
48562,48932,2,2,4,3.075
48932,24938,2,2,2,1.749
48932,48562,2,2,3,3.075
51104,4919,2,2,3,6.907
51104,10348,2,2,8,14.589
51104,22263,2,2,5,8.079
51104,39490,2,2,8,15.217
51104,43673,2,2,3,3.775
