ori_node,des_node,ori_layer,des_layer,minutes,km
3379,3380,5,5,1,0.287
3380,3379,5,5,1,0.287
6687,28229,5,5,1,0.512
6687,35502,5,5,1,0.359
6687,39190,5,5,3,0.868
6687,112921,5,5,1,0.531
6687,181523,5,5,1,0.255
9016,39190,5,5,1,0.756
9016,127715,5,5,1,0.358
12488,12489,5,5,1,0.262
12488,30731,5,5,1,0.618
12488,39185,5,5,4,1.32
12489,12488,5,5,1,0.262
12489,30731,5,5,1,0.868
12489,43251,5,5,1,0.275
12491,43251,5,5,1,0.46
12491,229640,5,5,1,0.341
12777,145363,5,5,1,1.105
12777,189979,5,5,1,1.102
12777,255738,5,5,1,1.289
14642,127714,5,5,1,0.351
23962,43249,5,5,1,0.287
23962,239715,5,5,1,0.255
24260,6687,5,5,2,0.758
24260,25856,5,5,1,0.592
24260,28229,5,5,1,0.28
24260,229055,5,5,1,0.412
24261,39187,5,5,1,0.689
25083,25083,5,5,1,0
25083,54565,5,5,1,0.6
25083,199792,5,5,1,0.287
25083,240799,5,5,1,0.553
25856,24260,5,5,1,0.592
25856,28221,5,5,3,1.346
25856,229056,5,5,1,0.3
25859,25860,5,5,1,0.465
25859,137675,5,5,1,0.243
25860,25859,5,5,1,0.465
25860,39190,5,5,2,0.451
25882,25882,5,5,1,0
25882,65425,5,5,2,0.462
25882,70221,5,5,2,0.535
25882,70223,5,5,3,0.534
25882,101373,5,5,1,0.437
25882,109537,5,5,1,0.741
25882,117792,5,5,1,0.432
25882,119968,5,5,1,0.637
28220,9016,5,5,1,0.649
28220,39190,5,5,1,0.204
28220,78378,5,5,1,0.245
28221,25856,5,5,4,1.346
28221,28229,5,5,1,0.942
28221,85192,5,5,1,0.59
28229,6687,5,5,1,0.512
28229,28221,5,5,1,0.942
28229,88116,5,5,1,0.086
28229,229055,5,5,1,0.207
30091,35798,5,5,1,0.349
30091,35799,5,5,1,0.367
30122,30122,5,5,1,0
30122,66484,5,5,1,0.885
30122,80726,5,5,1,0.315
30122,143613,5,5,3,0.533
30122,143614,5,5,4,0.504
30122,151329,5,5,2,0.587
30122,170014,5,5,1,0.275
30122,173319,5,5,1,0.726
30122,233639,5,5,1,0.553
30731,12488,5,5,1,0.618
30731,25859,5,5,1,0.527
30731,30731,5,5,1,0
30731,35252,5,5,2,0.54
30731,79166,5,5,1,0.332
31724,31725,5,5,1,0.271
31724,35798,5,5,1,0.193
31725,31724,5,5,1,0.271
31725,43249,5,5,1,0.173
35252,35797,5,5,2,0.335
35252,116612,5,5,1,0.296
35502,6687,5,5,1,0.359
35502,112921,5,5,1,0.173
35502,239714,5,5,2,0.41
35796,53969,5,5,1,0.426
35796,57423,5,5,2,0.745
35797,35252,5,5,2,0.335
35797,39190,5,5,6,0.951
35798,30091,5,5,1,0.349
35798,31724,5,5,1,0.193
35799,30091,5,5,1,0.367
35799,44998,5,5,1,0.313
39185,12488,5,5,3,1.32
39185,221673,5,5,6,1.848
39187,24261,5,5,2,0.689
39187,57424,5,5,1,0.773
39187,58344,5,5,5,0.924
39190,6687,5,5,2,0.868
39190,9016,5,5,1,0.756
39190,25860,5,5,1,0.451
39190,28220,5,5,1,0.204
39190,35502,5,5,1,0.509
39190,35797,5,5,2,0.951
39190,44998,5,5,1,0.353
39190,118108,5,5,1,0.126
43248,39190,5,5,3,0.532
43248,147652,5,5,1,0.409
43249,23962,5,5,1,0.287
43249,31725,5,5,1,0.173
43251,12488,5,5,1,0.537
43251,12489,5,5,1,0.275
43251,12491,5,5,1,0.46
43251,229640,5,5,1,0.78
43254,25856,5,5,1,0.585
43254,105812,5,5,1,0.316
43254,229055,5,5,1,0.444
43254,229057,5,5,1,0.689
44998,35799,5,5,1,0.313
44998,39190,5,5,2,0.353
46270,99393,5,5,1,0.601
46270,137050,5,5,1,0.325
46270,140724,5,5,2,0.278
46270,217514,5,5,2,0.936
46270,246521,5,5,1,0.505
46912,46912,5,5,1,0
46912,113575,5,5,1,0.266
46912,195461,5,5,1,0.508
46912,245075,5,5,1,0.25
46912,256333,5,5,1,0.384
48033,48033,5,5,1,0
48033,68039,5,5,1,0.612
48033,107575,5,5,1,0.34
48033,234684,5,5,1,0.37
51587,212336,5,5,1,0.387
51722,150380,5,5,1,0.126
51722,150383,5,5,1,0.221
51722,243315,5,5,1,0.386
51723,141680,5,5,1,0.397
51825,173459,5,5,1,0.142
51826,111642,5,5,1,0.339
51981,67390,5,5,1,0.098
51981,148877,5,5,1,0.078
51982,88772,5,5,1,0.099
51982,252869,5,5,1,0.089
52380,104986,5,5,1,0.423
52973,202871,5,5,1,0.165
52974,202871,5,5,1,0.174
52975,202871,5,5,1,0.187
52976,202871,5,5,1,0.199
53090,150349,5,5,1,0.053
53090,172774,5,5,1,0.256
53091,145097,5,5,1,0.152
53254,138162,5,5,1,0.234
53255,129744,5,5,1,0.346
53368,122028,5,5,1,0.149
53413,183821,5,5,1,0.373
53429,256161,5,5,1,0.195
53443,149979,5,5,1,0.184
53444,56336,5,5,1,0.302
53484,239774,5,5,1,0.25
53485,256221,5,5,1,0.199
53580,259552,5,5,1,0.102
