node,layer,lat,lon,degree,geometry
3379,5,53.10529,-2.25108,4,"-2.25108, 53.10529"
3380,5,53.10785,-2.25171,9,"-2.25171, 53.10785"
6687,5,53.1646,-2.2248,10,"-2.2248, 53.1646"
9016,5,53.17039,-2.20956,5,"-2.20956, 53.17039"
12488,5,53.15438,-2.18533,7,"-2.18533, 53.15438"
12489,5,53.15233,-2.18336,7,"-2.18336, 53.15233"
12491,5,53.14851,-2.17502,4,"-2.17502, 53.14851"
12777,5,53.05173,-1.78456,8,"-1.78456, 53.05173"
14642,5,53.17795,-2.20305,4,"-2.20305, 53.17795"
23962,5,53.17439,-2.19111,8,"-2.19111, 53.17439"
24260,5,53.16429,-2.23618,7,"-2.23618, 53.16429"
24261,5,53.11521,-2.24025,5,"-2.24025, 53.11521"
25083,5,53.04169,-2.21623,15,"-2.21623, 53.04169"
25856,5,53.16441,-2.24508,8,"-2.24508, 53.16441"
25859,5,53.16039,-2.19929,4,"-2.19929, 53.16039"
25860,5,53.16241,-2.20542,5,"-2.20542, 53.16241"
25882,5,53.008,-2.18099,49,"-2.18099, 53.008"
28220,5,53.16512,-2.21381,5,"-2.21381, 53.16512"
28221,5,53.15491,-2.2325,8,"-2.2325, 53.15491"
28229,5,53.1634,-2.23223,10,"-2.23223, 53.1634"
30091,5,53.16911,-2.20122,4,"-2.20122, 53.16911"
30122,5,52.98967,-2.13701,26,"-2.13701, 52.98967"
30731,5,53.15787,-2.19258,23,"-2.19258, 53.15787"
31724,5,53.17249,-2.1964,4,"-2.1964, 53.17249"
31725,5,53.17489,-2.19719,4,"-2.19719, 53.17489"
35252,5,53.15498,-2.19912,4,"-2.19912, 53.15498"
35502,5,53.16439,-2.21941,6,"-2.21941, 53.16439"
35796,5,53.1053,-2.22528,4,"-2.22528, 53.1053"
35797,5,53.15721,-2.20252,4,"-2.20252, 53.15721"
35798,5,53.17076,-2.19674,4,"-2.19674, 53.17076"
35799,5,53.16628,-2.20409,4,"-2.20409, 53.16628"
39185,5,53.15273,-2.16569,4,"-2.16569, 53.15273"
39187,5,53.11314,-2.23049,5,"-2.23049, 53.11314"
39190,5,53.16371,-2.21184,16,"-2.21184, 53.16371"
43248,5,53.1636,-2.20384,4,"-2.20384, 53.1636"
43249,5,53.17563,-2.1949,5,"-2.1949, 53.17563"
43251,5,53.15016,-2.18136,8,"-2.18136, 53.15016"
43254,5,53.16564,-2.23652,7,"-2.23652, 53.16564"
44998,5,53.16386,-2.20653,5,"-2.20653, 53.16386"
46270,5,52.89708,-1.85726,16,"-1.85726, 52.89708"
46912,5,53.08658,-2.24482,21,"-2.24482, 53.08658"
48033,5,52.96817,-2.06696,18,"-2.06696, 52.96817"
51587,5,53.10038,-2.18073,2,"-2.18073, 53.10038"
51722,5,53.00449,-2.21866,4,"-2.21866, 53.00449"
51723,5,53.00453,-2.21933,3,"-2.21933, 53.00453"
51825,5,53.017,-2.16776,2,"-2.16776, 53.017"
51826,5,53.0163,-2.16838,2,"-2.16838, 53.0163"
51981,5,53.05646,-2.1895,4,"-2.1895, 53.05646"
51982,5,53.05638,-2.18941,5,"-2.18941, 53.05638"
52380,5,52.96061,-2.0381,3,"-2.0381, 52.96061"
52973,5,53.01228,-2.22767,2,"-2.22767, 53.01228"
52974,5,53.01237,-2.22742,2,"-2.22742, 53.01237"
52975,5,53.01249,-2.22711,3,"-2.22711, 53.01249"
52976,5,53.01257,-2.22687,3,"-2.22687, 53.01257"
53090,5,53.08115,-2.26193,4,"-2.26193, 53.08115"
53091,5,53.08045,-2.26174,2,"-2.26174, 53.08045"
53254,5,53.02244,-2.21778,2,"-2.21778, 53.02244"
53255,5,53.02218,-2.2181,2,"-2.2181, 53.02218"
53368,5,53.11225,-2.20987,2,"-2.20987, 53.11225"
53413,5,53.016,-2.21373,2,"-2.21373, 53.016"
53429,5,53.09762,-2.22276,2,"-2.22276, 53.09762"
53443,5,53.01994,-2.1778,2,"-2.1778, 53.01994"
53444,5,53.02059,-2.17761,2,"-2.17761, 53.02059"
53484,5,52.96537,-2.18593,2,"-2.18593, 52.96537"
53485,5,52.96504,-2.18461,2,"-2.18461, 52.96504"
53580,5,53.08708,-2.23771,2,"-2.23771, 53.08708"
53581,5,53.08723,-2.23755,3,"-2.23755, 53.08723"
53591,5,52.95385,-2.16091,2,"-2.16091, 52.95385"
53592,5,52.97742,-2.21863,3,"-2.21863, 52.97742"
53842,5,53.09172,-2.25188,5,"-2.25188, 53.09172"
53843,5,53.09151,-2.25164,2,"-2.25164, 53.09151"
53893,5,52.96781,-2.10923,2,"-2.10923, 52.96781"
53896,5,52.96784,-2.10925,2,"-2.10925, 52.96784"
53969,5,53.10654,-2.21922,3,"-2.21922, 53.10654"
53970,5,53.10602,-2.22007,2,"-2.22007, 53.10602"
54297,5,52.97471,-1.98835,2,"-1.98835, 52.97471"
54321,5,52.97016,-2.1885,2,"-2.1885, 52.97016"
54348,5,52.90684,-1.88368,2,"-1.88368, 52.90684"
54472,5,53.11982,-2.0514,5,"-2.0514, 53.11982"
54564,5,53.04575,-2.2115,3,"-2.2115, 53.04575"
54565,5,53.04627,-2.21143,3,"-2.21143, 53.04627"
54613,5,53.0088,-2.09601,2,"-2.09601, 53.0088"
54614,5,53.00888,-2.09626,2,"-2.09626, 53.00888"
54639,5,53.00513,-2.12278,3,"-2.12278, 53.00513"
54640,5,53.00516,-2.12275,3,"-2.12275, 53.00516"
54676,5,53.0698,-2.18171,2,"-2.18171, 53.0698"
54677,5,53.07002,-2.18198,2,"-2.18198, 53.07002"
54694,5,52.96832,-2.10006,2,"-2.10006, 52.96832"
54695,5,52.9684,-2.09979,2,"-2.09979, 52.9684"
54988,5,53.07861,-2.12005,2,"-2.12005, 53.07861"
54989,5,53.0785,-2.11963,3,"-2.11963, 53.0785"
55122,5,52.95559,-2.40527,2,"-2.40527, 52.95559"
55123,5,52.95555,-2.40551,2,"-2.40551, 52.95555"
