ori_node,des_node,ori_layer,des_layer,minutes,km
1856,32080,5,5,5,3.168
1856,35682,5,5,3,2.953
1874,32113,5,5,1,1.663
1874,37298,5,5,2,1.448
2114,23339,5,5,1,0.568
2114,42318,5,5,1,1.339
5075,5075,5,5,1,0
5075,14112,5,5,1,0.53
5075,35707,5,5,1,2.139
5075,37462,5,5,1,0.502
5075,131746,5,5,1,0.609
5075,194005,5,5,1,0.509
5292,25472,5,5,1,0.4
5292,50244,5,5,1,0.677
11727,23023,5,5,10,2.148
11727,33262,5,5,2,2.111
11727,35707,5,5,1,1.509
12844,21446,5,5,1,0.159
12847,30476,5,5,1,0.4
12847,35814,5,5,1,0.232
12848,21451,5,5,1,0.334
12848,42317,5,5,1,1.063
13271,23046,5,5,5,3.828
13271,41860,5,5,2,3.353
14112,38939,5,5,1,0.299
14112,219505,5,5,1,0.218
16115,38777,5,5,1,0.676
16115,49935,5,5,1,2.592
17136,31864,5,5,2,2.801
17136,33567,5,5,2,3.312
17151,21058,5,5,1,0.433
17151,31925,5,5,2,2.669
17330,37287,5,5,1,0.497
21058,17151,5,5,1,0.433
21058,23447,5,5,1,0.323
21058,48746,5,5,3,2.033
21446,12844,5,5,1,0.159
21446,48113,5,5,1,1.164
21451,12848,5,5,1,0.334
21451,35400,5,5,1,0.544
21451,42322,5,5,1,1.184
22078,36693,5,5,1,0.378
22078,240501,5,5,1,0.314
22553,31925,5,5,1,1.997
22553,33262,5,5,2,2.935
23023,11727,5,5,5,2.148
23023,32080,5,5,5,3.039
23046,13271,5,5,5,3.828
23046,44524,5,5,1,3.148
23339,2114,5,5,1,0.568
23339,35814,5,5,1,1.394
23447,21058,5,5,1,0.323
23447,33567,5,5,1,0.717
25472,5292,5,5,1,0.4
25472,49933,5,5,1,1.164
25733,35400,5,5,1,0.425
25733,48062,5,5,1,1.463
30470,44422,5,5,1,0.29
30470,48062,5,5,1,2.092
30476,12847,5,5,1,0.4
30476,35670,5,5,1,0.172
31864,17136,5,5,1,2.801
31925,17151,5,5,2,2.669
31925,22553,5,5,2,1.997
32080,1856,5,5,4,3.168
32080,23023,5,5,5,3.039
32113,1874,5,5,2,1.663
32113,41803,5,5,1,1.385
33262,11727,5,5,2,2.111
33262,22553,5,5,3,2.935
33567,17136,5,5,1,3.312
33567,23447,5,5,1,0.717
35400,21451,5,5,2,0.544
35400,25733,5,5,1,0.425
35400,42322,5,5,2,1.575
35670,30476,5,5,1,0.172
35670,175781,5,5,1,0.152
35682,1856,5,5,4,2.953
35682,48746,5,5,3,2.983
35707,5075,5,5,1,2.139
35707,11727,5,5,1,1.509
35707,194005,5,5,2,1.675
35716,35740,5,5,1,1.659
35716,59131,5,5,2,1.396
35723,35716,5,5,1,0.66
35723,41860,5,5,1,1.44
35723,59131,5,5,1,1.232
35740,35716,5,5,1,1.659
35814,12847,5,5,1,0.232
35814,23339,5,5,1,1.394
35814,44524,5,5,2,0.369
36693,22078,5,5,1,0.378
36693,50244,5,5,2,0.737
36693,194008,5,5,2,0.448
37287,17330,5,5,2,0.497
37287,41803,5,5,1,1.626
37298,1874,5,5,2,1.448
37298,49114,5,5,2,0.761
37310,68473,5,5,2,1.302
37462,14112,5,5,1,0.284
37462,50244,5,5,1,0.754
37462,219505,5,5,1,0.091
38777,16115,5,5,1,0.676
38777,49933,5,5,1,1.058
38939,14112,5,5,1,0.299
38939,38943,5,5,1,0.202
