node,layer,lat,lon,degree,geometry
1856,5,54.94405,-4.85286,4,"-4.85286, 54.94405"
1874,5,54.72412,-4.9552,4,"-4.9552, 54.72412"
2114,5,54.84741,-5.07859,4,"-5.07859, 54.84741"
5075,5,54.90374,-5.00986,11,"-5.00986, 54.90374"
5292,5,54.90551,-5.01685,4,"-5.01685, 54.90551"
11727,5,54.89841,-4.9555,6,"-4.9555, 54.89841"
12844,5,54.80727,-4.96218,4,"-4.96218, 54.80727"
12847,5,54.84658,-5.11083,4,"-5.11083, 54.84658"
12848,5,54.86585,-5.01422,4,"-5.01422, 54.86585"
13271,5,54.90839,-5.11124,4,"-5.11124, 54.90839"
14112,5,54.90159,-5.01729,5,"-5.01729, 54.90159"
16115,5,54.9276,-4.98714,4,"-4.98714, 54.9276"
17136,5,54.85597,-4.76757,4,"-4.76757, 54.85597"
17151,5,54.8753,-4.81465,12,"-4.81465, 54.8753"
17330,5,54.76934,-4.94108,4,"-4.94108, 54.76934"
21058,5,54.87862,-4.81108,6,"-4.81108, 54.87862"
21446,5,54.80866,-4.96281,4,"-4.96281, 54.80866"
21451,5,54.86879,-5.01308,6,"-5.01308, 54.86879"
22078,5,54.91043,-5.03848,4,"-5.03848, 54.91043"
22553,5,54.87816,-4.88567,4,"-4.88567, 54.87816"
23023,5,54.90841,-4.92668,4,"-4.92668, 54.90841"
23046,5,54.87609,-5.13224,4,"-5.13224, 54.87609"
23339,5,54.84818,-5.08739,4,"-5.08739, 54.84818"
23447,5,54.8805,-4.80721,4,"-4.80721, 54.8805"
25472,5,54.90705,-5.01117,4,"-5.01117, 54.90705"
25733,5,54.86634,-4.99898,4,"-4.99898, 54.86634"
30470,5,54.83617,-4.98051,3,"-4.98051, 54.83617"
30476,5,54.84377,-5.11476,4,"-5.11476, 54.84377"
31864,5,54.83268,-4.7507,4,"-4.7507, 54.83268"
31925,5,54.87228,-4.85611,4,"-4.85611, 54.87228"
32080,5,54.92294,-4.8863,4,"-4.8863, 54.92294"
32113,5,54.73871,-4.9493,4,"-4.9493, 54.73871"
33262,5,54.88706,-4.92896,4,"-4.92896, 54.88706"
33567,5,54.88092,-4.796,6,"-4.796, 54.88092"
35400,5,54.8664,-5.00564,6,"-5.00564, 54.8664"
35670,5,54.84238,-5.11596,4,"-5.11596, 54.84238"
35682,5,54.91755,-4.84878,4,"-4.84878, 54.91755"
35707,5,54.90479,-4.97639,6,"-4.97639, 54.90479"
35716,5,54.93172,-5.07367,5,"-5.07367, 54.93172"
35723,5,54.92623,-5.07767,5,"-5.07767, 54.92623"
35740,5,54.94657,-5.07063,4,"-5.07063, 54.94657"
35814,5,54.84846,-5.10921,6,"-5.10921, 54.84846"
