ori_node,des_node,ori_layer,des_layer,minutes,km
12874,58409,5,5,2,1.384
12874,70109,5,5,1,0.523
12874,70112,5,5,5,0.643
12874,131450,5,5,4,0.652
12874,184118,5,5,5,0.315
12874,207881,5,5,1,0.169
12874,220352,5,5,1,0.791
12874,239572,5,5,3,0.379
12874,239767,5,5,1,0.378
32464,57552,5,5,2,0.993
32464,75802,5,5,2,1.031
32464,121816,5,5,10,4.311
44091,75797,5,5,1,0.336
44091,125519,5,5,1,0.167
44091,247267,5,5,1,0.212
50505,58406,5,5,1,0.291
50505,259602,5,5,1,0.055
50505,259608,5,5,1,0.382
51518,88615,5,5,1,0.499
51521,67151,5,5,1,0.164
57551,32464,5,5,2,0.99
57552,85050,5,5,5,1.09
57553,67148,5,5,2,0.689
57554,67148,5,5,1,0.628
57555,67152,5,5,1,1.12
57556,128144,5,5,1,1.174
58402,58410,5,5,1,0.623
58403,58404,5,5,1,0.439
58404,58407,5,5,1,0.288
58405,58402,5,5,1,0.419
58406,58405,5,5,1,0.371
58407,50505,5,5,1,0.322
58407,119875,5,5,1,0.562
58408,58403,5,5,1,0.202
58409,58403,5,5,1,0.545
58409,58408,5,5,1,0.353
58409,222979,5,5,18,9.617
58410,12874,5,5,3,1.271
58410,70112,5,5,3,0.777
58410,91142,5,5,1,0.74
58410,229947,5,5,3,0.903
61025,144604,5,5,1,0.295
61026,61028,5,5,3,2.014
61027,61025,5,5,3,2.009
61028,61030,5,5,1,0.496
61029,61027,5,5,1,0.39
61030,61031,5,5,1,0.497
61031,61033,5,5,1,0.265
61031,262209,5,5,1,0.258
61032,61029,5,5,1,0.833
61033,252257,5,5,1,0.448
61034,70531,5,5,1,0.399
63681,259609,5,5,1,0.235
63682,95458,5,5,1,0.393
63683,95456,5,5,1,0.361
63684,107018,5,5,3,0.902
63685,95455,5,5,4,1.225
63686,95459,5,5,1,0.236
63687,168849,5,5,5,2.053
66413,142203,5,5,1,1.116
66414,181858,5,5,1,1.416
66414,181859,5,5,1,1.409
66414,186180,5,5,1,0.29
67048,149621,5,5,6,2.263
67048,149622,5,5,6,2.271
67049,159407,5,5,5,1.15
67142,67144,5,5,1,0.252
67142,75794,5,5,3,2.195
67143,67148,5,5,1,0.241
67144,147385,5,5,3,0.387
67145,67142,5,5,2,1.6
67146,209595,5,5,1,0.116
67147,57551,5,5,13,2.806
67147,57554,5,5,2,0.806
67148,67146,5,5,2,1.608
67148,67147,5,5,1,0.18
67151,67143,5,5,1,0.372
67152,51521,5,5,1,0.498
68040,68044,5,5,1,0.1
68041,176087,5,5,1,0.233
68042,68046,5,5,1,0.178
68044,68042,5,5,1,0.108
68044,239566,5,5,1,0.248
68045,70109,5,5,1,0.332
68045,166296,5,5,1,0.253
68046,12874,5,5,2,0.409
68046,123941,5,5,1,0.359
68929,229812,5,5,1,0.135
70109,58409,5,5,1,0.893
70109,229947,5,5,1,0.211
70112,12874,5,5,5,0.643
70112,70109,5,5,1,0.193
70112,95459,5,5,9,4.729
70112,166296,5,5,1,0.527
70112,173861,5,5,9,5.955
70112,220352,5,5,3,1.411
70112,224769,5,5,19,7.529
70112,239567,5,5,1,0.213
70122,131518,5,5,1,0.219
70531,124280,5,5,2,0.777
70532,70533,5,5,1,0.448
70533,70537,5,5,1,0.228
70534,61034,5,5,1,0.436
70534,252255,5,5,1,0.507
70535,70532,5,5,1,0.39
70536,70534,5,5,1,0.219
70536,252261,5,5,1,0.247
70537,70538,5,5,1,0.12
70538,70536,5,5,1,0.128
73175,259800,5,5,2,1.773
73176,68040,5,5,1,0.341
75761,210023,5,5,3,1.032
75762,148057,5,5,5,1.411
75765,157970,5,5,1,0.576
75793,57553,5,5,4,1.541
75793,75802,5,5,2,1.004
75794,85508,5,5,1,0.314
75796,75798,5,5,1,0.865
75797,75803,5,5,1,0.834
75798,44091,5,5,1,0.303
75800,32464,5,5,2,1.034
75802,75796,5,5,2,1.8
75803,75794,5,5,5,2.678
75803,75800,5,5,3,1.795
75948,227692,5,5,1,0.759
75949,210453,5,5,3,1.909
75952,150772,5,5,3,1.174
75952,201040,5,5,2,1.009
75953,106252,5,5,1,0.671
75953,142205,5,5,1,0.94
78628,90682,5,5,2,1.284
81521,249699,5,5,1,0.294
81524,81526,5,5,1,0.571
81524,93570,5,5,1,0.323
81526,192137,5,5,5,3.665
81526,232953,5,5,1,1.085
81527,163867,5,5,2,0.864
81527,232932,5,5,1,1.097
82565,173861,5,5,2,0.998
82565,249693,5,5,4,3.388
82566,82565,5,5,1,0.495
82567,82569,5,5,2,1.23
82568,82566,5,5,2,1.038
82569,225412,5,5,1,0.492
82570,82568,5,5,2,1.23
83861,189034,5,5,1,0.28
84839,124295,5,5,1,0.248
84841,213031,5,5,3,1.509
84855,222974,5,5,1,0.389
84855,262213,5,5,2,0.914
85050,67148,5,5,7,3.118
