node,layer,lat,lon,degree,geometry
12874,5,51.12659,-2.73942,26,"-2.73942, 51.12659"
32464,5,51.22402,-2.52342,6,"-2.52342, 51.22402"
44091,5,51.19159,-2.548,14,"-2.548, 51.19159"
50505,5,51.1469,-2.71785,14,"-2.71785, 51.1469"
51518,5,51.24126,-2.54995,2,"-2.54995, 51.24126"
51521,5,51.24131,-2.54982,2,"-2.54982, 51.24131"
57551,5,51.22944,-2.51211,3,"-2.51211, 51.22944"
57552,5,51.22953,-2.51217,3,"-2.51217, 51.22953"
57553,5,51.23798,-2.54199,2,"-2.54199, 51.23798"
57554,5,51.23852,-2.54282,2,"-2.54282, 51.23852"
57555,5,51.24534,-2.5714,2,"-2.5714, 51.24534"
57556,5,51.24514,-2.57108,2,"-2.57108, 51.24514"
58402,5,51.14168,-2.72898,2,"-2.72898, 51.14168"
58403,5,51.1417,-2.72928,3,"-2.72928, 51.1417"
58404,5,51.14315,-2.72341,2,"-2.72341, 51.14315"
58405,5,51.14306,-2.72337,2,"-2.72337, 51.14306"
58406,5,51.1443,-2.71841,4,"-2.71841, 51.1443"
58407,5,51.14422,-2.71963,3,"-2.71963, 51.14422"
58408,5,51.14105,-2.732,2,"-2.732, 51.14105"
58409,5,51.13883,-2.73564,7,"-2.73564, 51.13883"
58410,5,51.13776,-2.73539,6,"-2.73539, 51.13776"
61025,5,51.22584,-2.69884,2,"-2.69884, 51.22584"
61026,5,51.22591,-2.69859,2,"-2.69859, 51.22591"
61027,5,51.21371,-2.67739,2,"-2.67739, 51.21371"
61028,5,51.21373,-2.67711,2,"-2.67711, 51.21373"
61029,5,51.21178,-2.6727,2,"-2.6727, 51.21178"
61030,5,51.21084,-2.67167,2,"-2.67167, 51.21084"
61031,5,51.20893,-2.6652,4,"-2.6652, 51.20893"
61032,5,51.20928,-2.6614,2,"-2.6614, 51.20928"
61033,5,51.20937,-2.66145,2,"-2.66145, 51.20937"
61034,5,51.21668,-2.66517,2,"-2.66517, 51.21668"
62814,5,51.07586,-2.621,2,"-2.621, 51.07586"
63681,5,51.15025,-2.71269,2,"-2.71269, 51.15025"
63682,5,51.11094,-2.66044,2,"-2.66044, 51.11094"
63683,5,51.11268,-2.64179,2,"-2.64179, 51.11268"
63684,5,51.11261,-2.64181,2,"-2.64181, 51.11261"
63685,5,51.10133,-2.64268,2,"-2.64268, 51.10133"
63686,5,51.10142,-2.68835,3,"-2.68835, 51.10142"
63687,5,51.11086,-2.66041,2,"-2.66041, 51.11086"
66413,5,51.12367,-2.8385,3,"-2.8385, 51.12367"
66414,5,51.12359,-2.83857,5,"-2.83857, 51.12359"
67048,5,51.15165,-2.46038,3,"-2.46038, 51.15165"
67049,5,51.15165,-2.46019,2,"-2.46019, 51.15165"
67142,5,51.24419,-2.54232,3,"-2.54232, 51.24419"
67143,5,51.24201,-2.54272,2,"-2.54272, 51.24201"
67144,5,51.24193,-2.54268,2,"-2.54268, 51.24193"
67145,5,51.25846,-2.53903,2,"-2.53903, 51.25846"
67146,5,51.25854,-2.53938,2,"-2.53938, 51.25854"
67147,5,51.24578,-2.54292,3,"-2.54292, 51.24578"
67148,5,51.24418,-2.54246,6,"-2.54246, 51.24418"
67151,5,51.2407,-2.54766,2,"-2.54766, 51.2407"
67152,5,51.24413,-2.5554,2,"-2.5554, 51.24413"
68040,5,51.12717,-2.72964,3,"-2.72964, 51.12717"
68041,5,51.1274,-2.72933,2,"-2.72933, 51.1274"
68042,5,51.12818,-2.73141,2,"-2.73141, 51.12818"
68044,5,51.12806,-2.72987,3,"-2.72987, 51.12806"
68045,5,51.12804,-2.73411,3,"-2.73411, 51.12804"
68046,5,51.12794,-2.73395,6,"-2.73395, 51.12794"
68929,5,51.18594,-2.55204,3,"-2.55204, 51.18594"
70109,5,51.13079,-2.736,7,"-2.736, 51.13079"
70112,5,51.13089,-2.73323,15,"-2.73323, 51.13089"
70122,5,51.12831,-2.75538,1,"-2.75538, 51.12831"
70531,5,51.2192,-2.66928,2,"-2.66928, 51.2192"
70532,5,51.21677,-2.66509,2,"-2.66509, 51.21677"
70533,5,51.21371,-2.66089,3,"-2.66089, 51.21371"
70534,5,51.21378,-2.66094,3,"-2.66094, 51.21378"
70535,5,51.2192,-2.66915,2,"-2.66915, 51.2192"
70536,5,51.21394,-2.66409,3,"-2.66409, 51.21394"
70537,5,51.21388,-2.66417,3,"-2.66417, 51.21388"
70538,5,51.2135,-2.6658,2,"-2.6658, 51.2135"
73175,5,51.10136,-2.68833,3,"-2.68833, 51.10136"
73176,5,51.12448,-2.72727,2,"-2.72727, 51.12448"
75761,5,51.26934,-2.6661,2,"-2.6661, 51.26934"
75762,5,51.26915,-2.666,2,"-2.666, 51.26915"
75765,5,51.25029,-2.65505,2,"-2.65505, 51.25029"
75793,5,51.22474,-2.53531,3,"-2.53531, 51.22474"
75794,5,51.22487,-2.53559,3,"-2.53559, 51.22487"
75796,5,51.20086,-2.54006,2,"-2.54006, 51.20086"
75797,5,51.19427,-2.54575,2,"-2.54575, 51.19427"
75798,5,51.19391,-2.54569,2,"-2.54569, 51.19391"
75800,5,51.21611,-2.53129,2,"-2.53129, 51.21611"
75802,5,51.21608,-2.53112,4,"-2.53112, 51.21608"
75803,5,51.20091,-2.54012,3,"-2.54012, 51.20091"
75948,5,51.12392,-2.79986,2,"-2.79986, 51.12392"
75949,5,51.1238,-2.79932,3,"-2.79932, 51.1238"
75952,5,51.13161,-2.82529,4,"-2.82529, 51.13161"
75953,5,51.13153,-2.82523,4,"-2.82523, 51.13153"
78628,5,51.16941,-2.55689,2,"-2.55689, 51.16941"
81521,5,51.15453,-2.71431,3,"-2.71431, 51.15453"
81524,5,51.15746,-2.71237,3,"-2.71237, 51.15746"
81526,5,51.15972,-2.705,4,"-2.705, 51.15972"
81527,5,51.16834,-2.69755,3,"-2.69755, 51.16834"
82565,5,51.13932,-2.66283,4,"-2.66283, 51.13932"
82566,5,51.13501,-2.66098,2,"-2.66098, 51.13501"
82567,5,51.12695,-2.65325,2,"-2.65325, 51.12695"
82568,5,51.12698,-2.65335,2,"-2.65335, 51.12698"
82569,5,51.11598,-2.6558,2,"-2.6558, 51.11598"
82570,5,51.11601,-2.65591,2,"-2.65591, 51.11601"
83861,5,51.12101,-2.75077,3,"-2.75077, 51.12101"
84839,5,51.2004,-2.62502,2,"-2.62502, 51.2004"
84841,5,51.20038,-2.62518,2,"-2.62518, 51.20038"
84855,5,51.21563,-2.64548,4,"-2.64548, 51.21563"
85050,5,51.23554,-2.49977,2,"-2.49977, 51.23554"
85504,5,51.22024,-2.48274,3,"-2.48274, 51.22024"
85505,5,51.22015,-2.48278,4,"-2.48278, 51.22015"
85508,5,51.22381,-2.53139,2,"-2.53139, 51.22381"
