node,layer,lat,lon,degree,geometry
1481,5,54.92954,-1.38669,31,"-1.38669, 54.92954"
10843,5,54.94641,-1.42031,32,"-1.42031, 54.94641"
17739,5,54.91284,-1.4171,16,"-1.4171, 54.91284"
23449,5,54.91823,-1.3829,13,"-1.3829, 54.91823"
29097,5,54.91145,-1.3838,24,"-1.3838, 54.91145"
30669,5,54.90285,-1.39223,25,"-1.39223, 54.90285"
34182,5,54.90386,-1.44826,15,"-1.44826, 54.90386"
35077,5,54.90659,-1.40131,21,"-1.40131, 54.90659"
36943,5,54.90534,-1.3823,106,"-1.3823, 54.90534"
42410,5,54.83665,-1.34092,21,"-1.34092, 54.83665"
51745,5,54.81932,-1.39277,3,"-1.39277, 54.81932"
51747,5,54.81933,-1.39372,3,"-1.39372, 54.81933"
52044,5,54.76952,-1.32647,4,"-1.32647, 54.76952"
52083,5,54.81887,-1.3647,3,"-1.3647, 54.81887"
52084,5,54.81938,-1.36536,3,"-1.36536, 54.81938"
52106,5,54.7618,-1.34343,2,"-1.34343, 54.7618"
52110,5,54.76213,-1.34364,2,"-1.34364, 54.76213"
52119,5,54.78467,-1.35766,2,"-1.35766, 54.78467"
52337,5,54.73985,-1.42191,2,"-1.42191, 54.73985"
52338,5,54.73905,-1.42193,2,"-1.42193, 54.73905"
52645,5,54.89248,-1.36575,3,"-1.36575, 54.89248"
52646,5,54.89534,-1.36608,2,"-1.36608, 54.89534"
52647,5,54.90457,-1.3706,2,"-1.3706, 54.90457"
52648,5,54.9004,-1.36669,2,"-1.36669, 54.9004"
52649,5,54.89768,-1.36591,2,"-1.36591, 54.89768"
52650,5,54.89029,-1.36454,2,"-1.36454, 54.89029"
52656,5,54.75483,-1.35495,3,"-1.35495, 54.75483"
52657,5,54.75473,-1.35529,2,"-1.35529, 54.75473"
52719,5,54.8205,-1.3925,2,"-1.3925, 54.8205"
53193,5,54.92791,-1.42738,3,"-1.42738, 54.92791"
53197,5,54.92856,-1.44125,3,"-1.44125, 54.92856"
54214,5,54.90519,-1.3726,2,"-1.3726, 54.90519"
54215,5,54.9056,-1.36991,2,"-1.36991, 54.9056"
54216,5,54.90635,-1.36752,4,"-1.36752, 54.90635"
54217,5,54.90935,-1.36652,2,"-1.36652, 54.90935"
54218,5,54.90919,-1.36657,2,"-1.36657, 54.90919"
54219,5,54.90639,-1.36738,4,"-1.36738, 54.90639"
54220,5,54.90509,-1.37331,2,"-1.37331, 54.90509"
54221,5,54.9105,-1.36478,2,"-1.36478, 54.9105"
54222,5,54.91153,-1.3662,4,"-1.3662, 54.91153"
56415,5,54.88488,-1.38103,2,"-1.38103, 54.88488"
56751,5,54.84666,-1.49664,2,"-1.49664, 54.84666"
56752,5,54.84576,-1.50517,3,"-1.50517, 54.84576"
56753,5,54.84433,-1.50166,2,"-1.50166, 54.84433"
